Country	HA200002	HA201416	ID	id_row
Guatemala	644.5	923.0	Q774	67
Guinea	1241.1	3172.5	Q1006	68
Guinea-Bissau	141.9	146.3	Q1007	69
Guyana	109.1	153.2	Q734	70
Haiti	408.5	514.3	Q790	71
Honduras	431.6	423.2	Q783	72
Hungary	2953.0	2565.9	Q28	73
India	94470.9	98590.0	Q668	74
Indonesia	14648.0	19600.0	Q252	75
Iran, Islamic Rep.	8743.9	8452.1	Q794	76
Iraq	3157.4	1301.6	Q796	77
Ireland	299.5	281.3	Q27	78
Israel	100.8	61.0	Q801	79
Italy	4284.6	3254.0	Q38	80
Jamaica	1.5	2.2	Q766	81
Japan	2002.2	1815.8	Q17	82
Jordan	88.6	55.4	Q810	83
Kazakhstan	13900.9	15144.3	Q232	84
Kenya	2046.3	2813.3	Q114	85
Korea, Dem. Peopleâ€™s Rep.	1319.7	1217.6	Q423	86
Korea, Rep.	1161.8	858.4	Q884	87
Kuwait	1.9	1.0	Q817	88
Kyrgyz Republic	642.4	568.2	Q813	89
Lao PDR	783.1	1232.2	Q819	90
Latvia	415.0	706.1	Q211	91
Lebanon	56.8	57.2	Q822	92
Lesotho	203.7	55.5	Q1013	93
Liberia	120.0	244.6	Q1014	94
Libya	343.4	311.1	Q1016	95
Lithuania	918.0	1326.7	Q37	96
Luxembourg	29.4	27.9	Q32	97
North Macedonia	191.5	166.1	Q221	98
Madagascar	1416.5	1059.4	Q1019	99
Malawi	1635.8	1879.0	Q1020	100
Malaysia	701.5	698.8	Q833	101
Maldives	0.1	0.1	Q826	102
Mali	3193.4	5510.7	Q912	103
Malta	2.5	2.9	Q233	104
Mauritania	111.5	256.5	Q1025	105
Mauritius	0.0	0.2	Q1027	106
Mexico	9877.1	10260.6	Q96	107
Micronesia, Fed. Sts.	0.1	0.2	Q702	108
Moldova	1014.5	922.7	Q217	109
Mongolia	217.3	377.8	Q711	110
Morocco	4947.9	3804.5	Q1028	111
Mozambique	2312.6	2053.0	Q1029	112
Myanmar	7227.5	7792.1	Q836	113
Namibia	325.0	293.7	Q1030	114
Nepal	3334.3	3306.3	Q837	115
Netherlands	226.3	174.3	Q55	116
New Caledonia	1.1	1.3	Q33788	117
New Zealand	149.7	130.8	Q664	118
Nicaragua	525.8	482.5	Q811	119
Niger	7860.1	10908.8	Q1032	120
Nigeria	17027.0	20936.6	Q1033	121
Norway	327.0	285.5	Q20	122
Oman	6.6	4.9	Q842	123
Pakistan	12022.1	14087.0	Q843	124
Panama	168.9	139.0	Q804	125
Papua New Guinea	3.2	3.9	Q691	126
Paraguay	741.0	1641.0	Q733	127
Peru	1139.8	1236.8	Q419	128
Philippines	6441.9	7040.6	Q928	129
Poland	8293.4	7400.3	Q36	130
Portugal	514.9	257.3	Q45	131
Puerto Rico	0.2	0.1	Q1183	132
Qatar	1.6	0.3	Q846	133
Romania	5714.0	5480.5	Q218	134
Russian Federation	43030.6	44419.0	Q159	135
Rwanda	299.9	454.4	Q1037	136
Sao Tome and Principe	1.2	0.5	Q1039	137
Saudi Arabia	704.8	267.0	Q851	138
Senegal	1205.3	1453.5	Q1041	139
Sierra Leone	468.4	863.8	Q1044	140
Slovak Republic	820.0	753.8	Q214	141
Slovenia	100.4	99.4	Q215	142
Solomon Islands	0.5	1.6	Q685	143
Somalia	574.0	280.7	Q1045	144
South Africa	4706.2	2667.8	Q258	145
Spain	6748.1	6240.0	Q29	146
Sri Lanka	848.8	999.8	Q854	147
St. Vincent and the Grenadines	0.0	0.0	Q757	148
Suriname	40.1	62.7	Q730	149
Sweden	1129.3	1001.7	Q34	150
Switzerland	173.5	144.3	Q39	151
Syrian Arab Republic	2975.9	2128.5	Q858	152
Tajikistan	363.9	408.2	Q863	153
Tanzania	3354.2	6568.8	Q924	154
Thailand	10941.8	10700.1	Q869	155
Timor-Leste	88.4	85.4	Q574	156
Togo	708.6	1116.8	Q945	157
Trinidad and Tobago	4.3	3.4	Q754	158
Tunisia	446.2	858.7	Q948	159
Turkey	13748.0	11359.6	Q43	160
Turkmenistan	842.5	2133.6	Q874	161
Uganda	1445.0	1849.7	Q1036	162
Ukraine	13801.7	14020.4	Q212	163
United Arab Emirates	0.2	0.2	Q878	164
United Kingdom	3245.2	3127.6	Q145	165
United States	53570.7	58438.8	Q30	166
Uruguay	483.8	728.5	Q77	167
Uzbekistan	1504.4	1717.5	Q265	168
Vanuatu	1.4	1.5	Q686	169
Venezuela, RB	806.6	520.1	Q717	170
Vietnam	8322.7	8888.0	Q881	171
West Bank and Gaza	33.7	24.5	Q407199	172
Yemen, Rep.	593.1	519.8	Q805	173
Zambia	532.0	1287.7	Q953	174
Zimbabwe	1586.3	1819.7	Q954	175
