Country	Rank	EducationIndex	Expectedyearsofschooling	Meanyearsofschooling	HDIrank	ID	id_row
Singapore	35.0	814.0	15.4	11.6	5.0	Q334	35
Argentina	37.0	808.0	17.3	9.8	45.0	Q414	36
Palau	37.0	808.0	14.3	12.3	60.0	Q695	37
Kazakhstan	39.0	805.0	15.0	11.7	56.0	Q232	38
Ukraine	40.0	803.0	15.3	11.3	84.0	Q212	39
Croatia	41.0	798.0	15.3	11.2	45.0	Q224	40
Montenegro	42.0	797.0	15.1	11.3	48.0	Q236	41
Georgia	43.0	794.0	13.9	12.2	70.0	Q230	42
Cyprus	44.0	786.0	14.3	11.7	33.0	Q229	43
Chile	45.0	784.0	16.3	9.9	38.0	Q298	44
Luxembourg	46.0	783.0	13.9	12.0	20.0	Q32	45
Malta	47.0	781.0	14.6	11.3	33.0	Q233	46
Cuba	48.0	779.0	13.9	11.8	68.0	Q241	47
Bulgaria	49.0	778.0	15.0	10.8	56.0	Q219	48
Fiji	50.0	777.0	15.3	10.5	91.0	Q712	49
Romania	51.0	769.0	14.7	10.8	50.0	Q218	50
Barbados	52.0	773.0	15.3	10.5	54.0	Q244	51
Saudi Arabia	53.0	768.0	16.1	9.6	38.0	Q851	52
Tonga	54.0	766.0	14.3	11.1	101.0	Q678	53
Serbia	55.0	760.0	14.4	10.8	66.0	Q403	54
Portugal	56.0	756.0	16.6	8.9	41.0	Q45	55
Sri Lanka	57.0	752.0	14.0	10.9	73.0	Q854	56
Uzbekistan	58.0	740.0	12.2	12.0	105.0	Q265	57
Mongolia	59.0	737.0	14.8	9.8	92.0	Q711	58
Armenia	60.0	730.0	12.7	11.3	84.0	Q399	59
Grenada	61.0	725.0	15.8	8.6	79.0	Q769	60
Mauritius	61.0	725.0	15.2	9.1	64.0	Q1027	61
Moldova	61.0	725.0	11.8	11.9	107.0	Q217	62
Azerbaijan	64.0	723.0	12.7	11.2	78.0	Q227	63
Kyrgyzstan	65.0	721.0	13.0	10.8	120.0	Q813	64
Andorra	66.0	718.0	13.5	10.3	32.0	Q228	65
Bahrain	67.0	717.0	14.5	9.4	47.0	Q398	66
Trinidad and Tobago	67.0	717.0	12.7	10.9	65.0	Q754	67
Uruguay	67.0	717.0	15.5	8.6	54.0	Q77	68
Brunei Darussalam	70.0	716.0	14.9	9.0	30.0	Q921	69
Albania	71.0	715.0	14.2	9.6	75.0	Q222	70
Bahamas	71.0	715.0	12.7	10.9	58.0	Q778	71
Venezuela	73.0	710.0	14.3	9.4	71.0	Q717	72
Seychelles	74.0	706.0	14.1	9.4	63.0	Q1042	73
South Africa	75.0	705.0	13.0	10.3	119.0	Q258	74
Belize	76.0	704.0	12.8	10.5	103.0	Q242	75
Iran	76.0	704.0	14.8	8.8	69.0	Q794	76
Samoa	78.0	702.0	12.9	10.3	104.0	Q683	77
Jordan	79.0	701.0	13.1	10.1	86.0	Q810	78
Malaysia	80.0	700.0	13.1	10.1	59.0	Q833	79
Qatar	81.0	698.0	13.4	9.8	33.0	Q846	80
Antigua and Barbuda	82.0	694.0	13.9	9.2	62.0	Q781	81
Bosnia and Herzegovina	82.0	694.0	14.2	9.0	81.0	Q225	82
Panama	84.0	691.0	13.0	9.9	60.0	Q804	83
United Arab Emirates	85.0	687.0	13.3	9.5	42.0	Q878	84
Costa Rica	86.0	684.0	14.2	8.7	66.0	Q800	85
Brazil	87.0	681.0	15.2	7.8	79.0	Q155	86
Jamaica	88.0	678.0	12.8	9.6	94.0	Q766	87
Saint Lucia	89.0	677.0	13.1	9.3	92.0	Q760	88
North Macedonia	90.0	673.0	12.9	9.4	82.0	Q221	89
Peru	91.0	672.0	13.4	9.0	87.0	Q419	90
Turkey	92.0	668.0	14.6	7.9	71.0	Q43	91
Ecuador	93.0	665.0	14.0	8.3	89.0	Q736	92
Saint Kitts and Nevis	94.0	659.0	13.7	8.4	74.0	Q763	93
Algeria	95.0	658.0	14.4	7.8	83.0	Q262	94
Botswana	95.0	658.0	12.6	9.2	108.0	Q963	95
Tajikistan	95.0	658.0	11.3	10.4	129.0	Q863	96
Saint Vincent and the Grenadines	98.0	657.0	13.3	8.6	99.0	Q757	97
Bolivia	99.0	656.0	13.8	8.2	118.0	Q750	98
Lebanon	99.0	656.0	13.3	8.6	76.0	Q822	99
Mexico	101.0	655.0	13.3	8.6	77.0	Q96	100
Palestine	101.0	655.0	12.8	8.9	114.0	Q219060	101
Oman	103.0	652.0	13.7	8.1	52.0	Q842	102
Micronesia	104.0	649.0	11.7	9.7	127.0	Q702	103
Tunisia	105.0	643.0	14.6	7.1	97.0	Q948	104
Thailand	106.0	641.0	13.6	7.9	87.0	Q869	105
Philippines	107.0	637.0	11.7	9.3	116.0	Q928	106
China	108.0	631.0	13.5	7.6	90.0	Q148	107
Colombia	109.0	630.0	13.6	7.6	95.0	Q739	108
Suriname	109.0	630.0	12.7	8.3	97.0	Q730	109
Turkmenistan	111.0	629.0	10.8	9.9	111.0	Q874	110
India	112.0	624.0	12.6	6.9	131.0	Q668	111
Dominican Republic	113.0	622.0	13.2	7.7	99.0	Q786	112
Indonesia	113.0	622.0	12.9	7.9	113.0	Q252	113
Dominica	115.0	618.0	12.8	7.9	96.0	Q784	114
Gabon	115.0	618.0	12.6	8.1	109.0	Q1000	115
Viet Nam	117.0	617.0	12.6	8.0	115.0	Q881	116
Libya	118.0	616.0	13.4	7.3	102.0	Q1016	117
Paraguay	119.0	613.0	12.3	8.1	110.0	Q733	118
Kuwait	120.0	611.0	13.3	7.3	51.0	Q817	119
Egypt	121.0	601.0	13.1	7.1	111.0	Q79	120
Kiribati	121.0	590.0	11.9	7.8	137.0	Q710	121
El Salvador	123.0	584.0	13.2	6.5	117.0	Q792	122
Zambia	124.0	577.0	12.5	6.9	139.0	Q953	123
Guyana	125.0	568.0	10.3	8.4	127.0	Q734	124
Maldives	126.0	561.0	12.7	6.2	105.0	Q826	125
Ghana	127.0	551.0	11.5	6.9	139.0	Q117	126
Pakistan	128.0	550.0	12.1	10.1	147.0	Q843	127
Namibia	129.0	546.0	11.7	6.7	125.0	Q1030	128
Eswatini	130.0	545.0	11.4	6.8	148.0	Q1050	129
Zimbabwe	131.0	544.0	10.3	7.7	154.0	Q954	130
Nicaragua	132.0	542.0	11.7	6.5	124.0	Q811	131
Cabo Verde	133.0	534.0	13.5	4.8	122.0	Q1011	132
Vanuatu	134.0	526.0	10.8	6.8	134.0	Q686	133
Congo	135.0	520.0	11.1	6.3	135.0	Q971	134
Honduras	136.0	518.0	11.2	6.2	130.0	Q783	135
Kenya	136.0	518.0	11.1	6.3	146.0	Q114	136
Sao Tome and Principe	138.0	509.0	12.0	5.3	142.0	Q1039	137
Guatemala	139.0	508.0	10.7	6.3	125.0	Q774	138
Lesotho	140.0	503.0	10.7	6.1	160.0	Q1013	139
Morocco	140.0	503.0	12.1	5.0	123.0	Q1028	140
Iraq	142.0	500.0	10.1	6.6	121.0	Q796	141
Timor-Leste	143.0	494.0	12.5	4.4	133.0	Q574	142
Cameroon	144.0	493.0	10.4	6.1	153.0	Q1009	143
Madagascar	145.0	492.0	10.3	6.1	158.0	Q1019	144
Togo	146.0	489.0	12.0	4.7	166.0	Q945	145
Angola	147.0	482.0	11.4	5.0	150.0	Q916	146
Nigeria	148.0	477.0	10.0	6.0	152.0	Q1033	147
Democratic Republic of the Congo	149.0	475.0	9.8	6.1	176.0	Q974	148
Nepal	149.0	475.0	12.2	4.1	144.0	Q837	149
Laos	151.0	474.0	10.8	5.2	138.0	Q819	150
Comoros	152.0	469.0	11.1	4.8	160.0	Q970	151
Uganda	153.0	467.0	10.0	5.7	163.0	Q1036	152
Cambodia	154.0	459.0	10.9	4.7	143.0	Q424	153
Bangladesh	155.0	457.0	10.2	5.2	139.0	Q902	154
Bhutan	156.0	452.0	12.5	3.1	132.0	Q917	155
Malawi	157.0	445.0	10.8	4.4	170.0	Q1020	156
Solomon Islands	157.0	445.0	9.6	5.3	156.0	Q685	157
Tanzania	159.0	441.0	8.9	5.8	151.0	Q924	158
Equatorial Guinea	160.0	439.0	9.2	5.5	135.0	Q983	159
Rwanda	161.0	426.0	10.8	3.8	159.0	Q1037	160
Haiti	162.0	425.0	9.1	5.2	163.0	Q790	161
Liberia	163.0	423.0	9.9	4.4	177.0	Q1014	162
Papua New Guinea	164.0	419.0	9.9	4.3	154.0	Q691	163
Syrian Arab Republic	165.0	417.0	9.0	5.1	149.0	Q858	164
Cote d'Ivoire	166.0	415.0	8.9	5.0	171.0	Q1008	165
Benin	167.0	414.0	10.7	3.5	167.0	Q962	166
Myanmar	168.0	410.0	9.1	4.7	145.0	Q836	167
Afghanistan	169.0	398.0	10.1	3.5	169.0	Q889	168
Burundi	170.0	395.0	10.6	3.0	184.0	Q967	169
Mauritania	171.0	377.0	8.5	4.3	157.0	Q1025	170
Sierra Leone	172.0	374.0	9.5	3.3	179.0	Q1044	171
Mozambique	173.0	369.0	9.1	3.5	181.0	Q1029	172
Gambia	174.0	358.0	8.9	3.3	173.0	Q1005	173
Senegal	175.0	355.0	9.5	2.8	162.0	Q1041	174
Guinea-Bissau	176.0	353.0	9.2	2.9	178.0	Q1007	175
Yemen	177.0	350.0	9.0	3.0	168.0	Q805	176
Central African Republic	178.0	338.0	7.1	4.2	188.0	Q929	177
Guinea	179.0	330.0	8.8	2.6	183.0	Q1006	178
Ethiopia	180.0	318.0	8.4	2.6	174.0	Q115	179
Sudan	180.0	318.0	7.2	3.5	165.0	Q1049	180
Mali	182.0	312.0	8.4	2.3	175.0	Q912	181
Djibouti	183.0	310.0	6.3	4.1	172.0	Q977	182
South Sudan	184.0	297.0	4.9	4.8	181.0	Q958	183
Chad	185.0	280.0	7.3	2.3	186.0	Q657	184
Eritrea	186.0	267.0	5.0	3.9	179.0	Q986	185
Burkina Faso	187.0	262.0	7.7	1.4	185.0	Q965	186
Niger	188.0	206.0	5.4	1.7	187.0	Q1032	187
