Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Ecuador	34.5	40.1	53.0	56.9	Q736	50
Egypt, Arab Rep.	19.5	17.8	38.4	34.0	Q79	51
El Salvador	31.7	27.9	45.6	43.1	Q792	52
Equatorial Guinea	73.9	71.3	90.7	87.5	Q983	53
Eritrea	82.6	81.0	93.6	92.9	Q986	54
Estonia	5.8	7.5	4.8	4.8	Q191	55
Eswatini	15.8	26.6	30.8	39.7	Q1050	56
Ethiopia	87.7	83.6	91.9	89.3	Q115	57
Fiji	38.2	41.2	39.2	48.1	Q712	58
Finland	11.5	11.7	6.6	7.4	Q33	59
France	7.8	8.6	6.2	6.2	Q142	60
French Polynesia	17.6	14.2	13.6	10.6	Q30971	61
Gabon	33.2	27.1	55.6	39.2	Q1000	62
Gambia, The	67.5	64.2	85.2	83.2	Q1005	63
Georgia	58.5	49.0	62.1	49.8	Q230	64
Germany	6.3	6.2	5.2	5.0	Q183	65
Ghana	69.7	60.8	85.5	78.5	Q117	66
Greece	33.3	27.4	35.2	23.7	Q41	67
Guam	10.9	10.6	7.2	7.1	Q16635	68
Guatemala	41.9	32.7	55.7	47.6	Q774	69
Guinea	85.0	82.1	96.4	95.5	Q1006	70
Guinea-Bissau	70.3	67.9	86.4	84.7	Q1007	71
Guyana	28.6	23.9	36.0	28.8	Q734	72
Haiti	70.1	64.5	85.5	81.8	Q790	73
Honduras	35.9	34.5	50.5	53.1	Q783	74
Hungary	12.3	6.6	7.5	5.5	Q28	75
Iceland	13.8	10.0	7.6	6.1	Q189	76
India	81.4	74.1	90.5	76.3	Q668	77
Indonesia	61.4	42.6	70.6	57.2	Q252	78
Iran, Islamic Rep.	41.2	41.3	46.6	42.2	Q794	79
Iraq	28.5	21.1	35.8	8.7	Q796	80
Ireland	17.8	14.9	6.4	5.7	Q27	81
Israel	8.7	8.9	5.2	7.6	Q801	82
Italy	22.4	19.4	18.2	13.4	Q38	83
Jamaica	41.3	39.9	33.0	30.6	Q766	84
Japan	11.5	8.7	17.1	8.0	Q17	85
Jordan	10.8	10.6	2.0	1.8	Q810	86
Kazakhstan	35.8	23.5	44.4	22.6	Q232	87
Kenya	47.0	43.5	73.4	59.9	Q114	88
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5	94.3	93.8	Q423	89
Korea, Rep.	26.1	19.3	35.5	19.1	Q884	90
Kuwait	2.8	1.4	0.3	0.0	Q817	91
Kyrgyz Republic	52.1	37.7	50.7	27.8	Q813	92
Lao PDR	83.7	73.7	93.1	87.4	Q819	93
Latvia	10.4	7.4	11.1	7.0	Q211	94
Lebanon	37.8	30.9	15.0	14.1	Q822	95
Lesotho	16.1	14.1	21.7	19.5	Q1013	96
Liberia	70.7	65.4	89.8	90.1	Q1014	97
Libya	6.4	6.4	4.4	4.3	Q1016	98
Lithuania	20.4	10.8	15.6	7.7	Q37	99
Luxembourg	6.5	5.7	6.4	5.6	Q32	100
Madagascar	80.9	81.0	86.6	89.6	Q1019	101
Malawi	56.5	53.7	68.3	65.4	Q1020	102
Malaysia	22.8	20.3	22.7	24.6	Q833	103
Maldives	22.8	15.6	52.7	34.2	Q826	104
Mali	77.1	75.9	91.0	88.0	Q912	105
Malta	10.2	12.7	4.1	5.9	Q233	106
Mauritania	50.8	46.0	72.6	68.2	Q1025	107
Mauritius	20.6	18.2	12.5	13.1	Q1027	108
Mexico	30.9	25.4	33.5	29.3	Q96	109
Moldova	35.0	41.0	37.7	34.3	Q217	110
Mongolia	58.1	51.7	55.1	45.5	Q711	111
Montenegro	15.8	16.8	10.5	9.3	Q236	112
Morocco	52.6	44.0	69.5	61.0	Q1028	113
Mozambique	78.5	72.9	95.9	92.8	Q1029	114
Myanmar	72.4	58.6	72.0	61.2	Q836	115
Namibia	20.3	24.3	41.6	38.2	Q1030	116
Nepal	74.1	65.5	92.9	89.1	Q837	117
Netherlands	8.2	14.2	7.7	10.9	Q55	118
New Caledonia	13.6	13.1	9.6	10.2	Q33788	119
New Zealand	16.5	13.6	10.1	10.5	Q664	120
Nicaragua	46.0	36.0	47.2	47.7	Q811	121
Niger	88.5	91.0	92.4	97.4	Q1032	122
Nigeria	74.7	71.9	86.4	84.9	Q1033	123
North Macedonia	20.7	21.1	22.5	16.8	Q221	124
Norway	7.5	6.2	3.8	3.5	Q20	125
Oman	9.8	2.4	9.5	3.7	Q842	126
Pakistan	63.1	51.7	66.5	71.5	Q843	127
Panama	36.5	34.7	19.3	33.5	Q804	128
Papua New Guinea	73.0	69.4	89.0	87.2	Q691	129
Paraguay	52.1	35.4	53.5	41.0	Q733	130
Peru	48.4	44.9	64.6	57.8	Q419	131
Philippines	43.2	30.1	46.6	37.4	Q928	132
Poland	24.4	18.6	22.3	13.3	Q36	133
Portugal	18.9	14.2	21.0	9.3	Q45	134
Puerto Rico	14.0	17.0	6.0	6.6	Q1183	135
Qatar	0.7	0.2	0.0	0.1	Q846	136
Romania	42.4	24.9	48.0	23.2	Q218	137
Russian Federation	10.3	5.9	9.6	4.8	Q159	138
Rwanda	86.4	58.2	94.9	77.7	Q1037	139
Samoa	32.0	33.0	31.1	24.4	Q683	140
Sao Tome and Principe	47.0	44.5	59.1	56.0	Q1039	141
Saudi Arabia	6.0	3.3	2.1	1.2	Q851	142
Senegal	75.0	59.8	86.2	72.5	Q1041	143
Serbia	32.6	27.2	35.2	21.5	Q403	144
Sierra Leone	83.1	80.5	93.1	91.9	Q1044	145
Singapore	11.5	11.9	7.0	6.6	Q334	146
Slovak Republic	7.6	14.9	2.8	8.2	Q214	147
Slovenia	13.4	12.8	11.2	9.7	Q215	148
Solomon Islands	60.9	57.2	78.1	75.0	Q685	149
Somalia	86.4	85.2	94.8	94.1	Q1045	150
South Africa	7.4	10.4	16.1	10.2	Q258	151
South Sudan	76.2	79.5	89.7	91.1	Q958	152
Spain	15.1	13.2	13.3	8.4	Q29	153
Sri Lanka	40.3	37.0	43.9	43.3	Q854	154
St. Lucia	31.4	32.4	25.0	26.0	Q760	155
St. Vincent and the Grenadines	22.0	21.8	17.4	17.2	Q757	156
Sudan	55.2	44.9	72.2	64.7	Q1049	157
Suriname	18.9	13.5	10.7	10.0	Q730	158
Sweden	9.7	7.9	4.3	4.1	Q34	159
Switzerland	10.4	8.6	11.3	9.5	Q39	160
Syrian Arab Republic	40.6	35.4	51.8	15.2	Q858	161
Tajikistan	42.1	39.3	53.2	46.6	Q863	162
Tanzania	84.8	78.0	93.9	88.3	Q924	163
Thailand	55.1	47.6	59.3	50.2	Q869	164
Timor-Leste	74.0	58.6	80.5	79.3	Q574	165
Togo	81.7	74.1	93.8	88.1	Q945	166
Tonga	52.9	49.3	59.3	57.4	Q678	167
Trinidad and Tobago	18.3	21.9	16.8	13.0	Q754	168
Tunisia	25.7	21.9	27.3	14.4	Q948	169
Turkey	34.6	24.9	57.6	33.2	Q43	170
Turkmenistan	27.7	25.7	29.6	25.1	Q874	171
Uganda	79.1	68.4	93.2	82.6	Q1036	172
Ukraine	15.6	16.7	20.2	13.0	Q212	173
United Arab Emirates	1.7	0.7	0.5	2.3	Q878	174
United Kingdom	11.5	16.0	6.2	9.7	Q145	175
United States	4.7	4.3	3.8	3.4	Q30	176
Uruguay	25.4	26.5	20.1	21.9	Q77	177
Uzbekistan	44.5	40.5	53.8	44.9	Q265	178
Vanuatu	68.8	67.4	76.4	74.7	Q686	179
Venezuela, RB	35.0	35.3	40.0	35.3	Q717	180
Vietnam	77.6	48.8	84.4	60.9	Q881	181
Virgin Islands (U.S.)	8.4	9.1	5.4	5.9	Q11703	182
West Bank and Gaza	27.1	23.4	44.0	22.1	Q407199	183
Yemen, Rep.	36.9	43.8	58.0	67.3	Q805	184
Zambia	73.0	69.2	90.3	88.1	Q953	185
Zimbabwe	46.0	54.5	76.9	74.4	Q954	186
