Country	Income2010	Income2019	ID	id_row
Guinea-Bissau	60.0	76.0	Q1007	66
Guyana	371.0	468.0	Q734	67
Haiti	3147.0	3497.0	Q790	68
Honduras	2882.0	5894.0	Q783	69
Hungary	-629.0	-1397.0	Q28	70
Iceland	-93.0	-182.0	Q189	71
India	52110.0	72867.0	Q668	72
Indonesia	4630.0	7629.0	Q252	73
Iraq	-2507.0	308.0	Q796	74
Ireland	-1839.0	-3653.0	Q27	75
Israel	8142.0	7733.0	Q801	76
Italy	-26430.0	-19105.0	Q38	77
Jamaica	2010.0	2452.0	Q766	78
Japan	-12395.0	-12649.0	Q17	79
Jordan	3822.0	5058.0	Q810	80
Kazakhstan	-489.0	329.0	Q232	81
Kenya	2327.0	4448.0	Q114	82
Kiribati	30.0	59.0	Q710	83
Korea, Rep.	-5317.0	-6063.0	Q884	84
Kosovo	1302.0	1515.0	Q1246	85
Kuwait	-12258.0	-14855.0	Q817	86
Kyrgyz Republic	1391.0	2421.0	Q813	87
Lao PDR	179.0	242.0	Q819	88
Latvia	558.0	262.0	Q211	89
Lebanon	2450.0	1578.0	Q822	90
Lesotho	673.0	585.0	Q1013	91
Liberia	796.0	153.0	Q1014	92
Libya	-1828.0	-753.0	Q1016	93
Lithuania	1059.0	852.0	Q37	94
Luxembourg	165.0	-482.0	Q32	95
Madagascar	541.0	973.0	Q1019	96
Malawi	641.0	563.0	Q1020	97
Malaysia	-6770.0	-4778.0	Q833	98
Maldives	-199.0	-491.0	Q826	99
Mali	538.0	1568.0	Q912	100
Malta	101.0	-175.0	Q233	101
Marshall Islands	60.0	43.0	Q709	102
Mauritania	311.0	205.0	Q1025	103
Mauritius	183.0	-293.0	Q1027	104
Mexico	21904.0	35279.0	Q96	105
Moldova	1268.0	1224.0	Q217	106
Mongolia	187.0	241.0	Q711	107
Montenegro	240.0	318.0	Q236	108
Morocco	7270.0	7816.0	Q1028	109
Mozambique	828.0	338.0	Q1029	110
Myanmar	239.0	2581.0	Q836	111
Namibia	1152.0	1333.0	Q1030	112
Nepal	4086.0	8982.0	Q837	113
Netherlands	-11889.0	-7749.0	Q55	114
New Zealand	38.0	-438.0	Q664	115
Nicaragua	1161.0	1611.0	Q811	116
Niger	449.0	486.0	Q1032	117
Nigeria	20705.0	24134.0	Q1033	118
North Macedonia	1790.0	1969.0	Q221	119
Norway	-5061.0	-6534.0	Q20	120
Oman	-5704.0	-9958.0	Q842	121
Pakistan	13793.0	24829.0	Q843	122
Palau	27.0	16.0	Q695	123
Panama	138.0	-31.0	Q804	124
Papua New Guinea	188.0	314.0	Q691	125
Paraguay	557.0	793.0	Q733	126
Peru	3026.0	3556.0	Q419	127
Philippines	17596.0	27620.0	Q928	128
Poland	-118.0	-2045.0	Q36	129
Portugal	751.0	4708.0	Q45	130
Qatar	-12651.0	-16607.0	Q846	131
Romania	4181.0	1660.0	Q218	132
Russian Federation	-6318.0	-10182.0	Q159	133
Rwanda	581.0	657.0	Q1037	134
Samoa	147.0	180.0	Q683	135
Sao Tome and Principe	9.0	26.0	Q1039	136
Saudi Arabia	-27921.0	-36620.0	Q851	137
Senegal	1551.0	2059.0	Q1041	138
Serbia	4443.0	4346.0	Q403	139
Seychelles	5.0	-6.0	Q1042	140
Sierra Leone	179.0	324.0	Q1044	141
Singapore	-5512.0	-6280.0	Q334	142
Sint Maarten (Dutch part)	-42.0	513.0	Q26273	143
Slovak Republic	-741.0	-1154.0	Q214	144
Slovenia	-80.0	-569.0	Q215	145
Solomon Islands	132.0	30.0	Q685	146
South Africa	-2278.0	-2462.0	Q258	147
Spain	-16744.0	-14323.0	Q29	148
Sri Lanka	3660.0	6163.0	Q854	149
St. Kitts and Nevis	47.0	-28.0	Q763	150
St. Lucia	15.0	8.0	Q760	151
St. Vincent and the Grenadines	10.0	44.0	Q757	152
Sudan	2167.0	375.0	Q1049	153
Suriname	87.0	90.0	Q730	154
Sweden	-8166.0	-10226.0	Q34	155
Switzerland	-8419.0	-11347.0	Q39	156
Tajikistan	593.0	650.0	Q863	157
Tanzania	1051.0	469.0	Q924	158
Thailand	6116.0	7283.0	Q869	159
Timor-Leste	484.0	-70.0	Q574	160
Togo	356.0	422.0	Q945	161
Tonga	91.0	174.0	Q678	162
Trinidad and Tobago	29.0	-96.0	Q754	163
Tunisia	1935.0	1767.0	Q948	164
Turkey	1475.0	974.0	Q43	165
Uganda	1362.0	1814.0	Q1036	166
Ukraine	2975.0	6308.0	Q212	167
United Kingdom	-30962.0	-35194.0	Q145	168
United States	-104261.0	-138923.0	Q30	169
Uruguay	140.0	190.0	Q77	170
Vanuatu	22.0	21.0	Q686	171
Vietnam	7885.0	8857.0	Q881	172
West Bank and Gaza	1991.0	1774.0	Q407199	173
Zambia	432.0	331.0	Q953	174
Zimbabwe	1498.0	1697.0	Q954	175
