Country	Date	cases	deaths	Cumulative_number_for_14_days_of_COVID-19_cases_per_100000	ID
Afghanistan	06/11/20	684	21	25.46412354	Q889
Afghanistan	06/10/20	542	15	25.30903081	Q889
Afghanistan	06/09/20	575	12	25.61395889	Q889
Afghanistan	06/08/20	791	30	25.65601794	Q889
Afghanistan	06/07/20	582	18	25.11187903	Q889
Afghanistan	06/06/20	915	9	25.63761711	Q889
Afghanistan	06/05/20	787	6	24.65185822	Q889
Afghanistan	06/04/20	758	24	23.97891349	Q889
Afghanistan	06/03/20	759	5	23.27968185	Q889
Afghanistan	06/02/20	545	8	22.81177497	Q889
Afghanistan	06/01/20	680	8	22.45164439	Q889
Afghanistan	05/31/20	866	3	21.35285181	Q889
Afghanistan	05/30/20	623	11	19.07640596	Q889
Afghanistan	05/29/20	580	8	20.23302972	Q889
Afghanistan	05/28/20	625	7	19.00543132	Q889
Afghanistan	05/27/20	658	1	18.04333065	Q889
Afghanistan	05/26/20	591	1	17.04968569	Q889
Afghanistan	05/25/20	584	2	16.24530644	Q889
Afghanistan	05/24/20	782	11	15.68013801	Q889
Afghanistan	05/23/20	540	12	14.29481819	Q889
Afghanistan	05/22/20	531	6	13.44049382	Q889
Afghanistan	05/21/20	492	9	12.49416529	Q889
Afghanistan	05/20/20	581	5	11.64246962	Q889
Afghanistan	05/19/20	408	4	10.98266833	Q889
Afghanistan	05/18/20	262	1	10.40961384	Q889
Afghanistan	05/17/20	0	0	10.3386392	Q889
Afghanistan	05/16/20	1063	32	10.6908837	Q889
Afghanistan	05/15/20	113	6	8.32769107	Q889
Afghanistan	05/14/20	259	3	8.61421832	Q889
Afghanistan	05/13/20	280	5	8.25408774	Q889
Afghanistan	05/12/20	285	2	7.84401204	Q889
Afghanistan	05/11/20	369	5	7.54697003	Q889
Afghanistan	05/10/20	255	6	6.75573423	Q889
Afghanistan	05/09/20	215	3	6.37983151	Q889
Afghanistan	05/08/20	171	2	5.99867141	Q889
Afghanistan	05/07/20	168	9	5.82517784	Q889
Afghanistan	05/06/20	330	5	5.60436785	Q889
Afghanistan	05/05/20	190	5	4.89725015	Q889
Afghanistan	05/04/20	235	13	4.48980314	Q889
Afghanistan	05/03/20	134	4	4.10338566	Q889
Afghanistan	05/02/20	164	4	3.91674864	Q889
Afghanistan	05/01/20	222	4	3.61970663	Q889
Afghanistan	04/30/20	122	0	3.06242427	Q889
Afghanistan	04/29/20	124	3	2.92573237	Q889
Afghanistan	04/28/20	172	0	2.7285806	Q889
Afghanistan	04/27/20	68	10	2.42890989	Q889
Afghanistan	04/26/20	112	4	2.38685085	Q889
Afghanistan	04/25/20	70	1	2.181813	Q889
Afghanistan	04/24/20	105	2	2.09506622	Q889
Afghanistan	04/23/20	84	4	1.97940384	Q889
Afghanistan	04/22/20	61	1	1.90580051	Q889
Afghanistan	04/21/20	35	2	1.82431111	Q889
Afghanistan	04/20/20	88	3	1.83219718	Q889
Afghanistan	04/19/20	63	0	1.67710445	Q889
Afghanistan	04/18/20	51	1	1.60350112	Q889
Afghanistan	04/17/20	10	4	1.46943791	Q889
Afghanistan	04/16/20	70	2	1.55618469	Q889
Afghanistan	04/15/20	49	2	1.44052232	Q889
Afghanistan	04/14/20	58	3	1.37743375	Q889
Afghanistan	04/13/20	52	0	1.29594435	Q889
Afghanistan	04/12/20	34	3	1.18028197	Q889
Afghanistan	04/11/20	37	0	1.13033686	Q889
Afghanistan	04/10/20	61	1	1.07513436	Q889
Afghanistan	04/09/20	56	3	0.91478425	Q889
Afghanistan	04/08/20	30	4	0.85432437	Q889
Afghanistan	04/07/20	38	0	0.78072104	Q889
Afghanistan	04/06/20	29	2	0.69660295	Q889
Afghanistan	04/05/20	35	1	0.64665783	Q889
Afghanistan	04/04/20	0	0	0.55465367	Q889
Afghanistan	04/03/20	43	0	0.55991105	Q889
Afghanistan	04/02/20	26	0	0.44687736	Q889
Afghanistan	04/01/20	25	0	0.37853141	Q889
Afghanistan	03/31/20	27	0	0.31544284	Q889
Afghanistan	03/30/20	8	1	0.25761166	Q889
Afghanistan	03/29/20	15	1	0.25235427	Q889
Afghanistan	03/28/20	16	1	0.22080999	Q889
Afghanistan	03/27/20	0	0	0.18663702	Q889
Afghanistan	03/26/20	33	0	0.19452309	Q889
Afghanistan	03/25/20	2	0	0.1077763	Q889
Afghanistan	03/24/20	6	1	0.10251892	Q889
Afghanistan	03/23/20	10	0	0.08674678	Q889
Afghanistan	03/22/20	0	0	0.06045988	Q889
Afghanistan	03/21/20	2	0	0.06045988	Q889
Afghanistan	03/20/20	0	0	0.0552025	Q889
Afghanistan	03/19/20	0	0	0.05783119	Q889
Afghanistan	03/18/20	1	0	0.05783119	Q889
Afghanistan	03/17/20	5	0	0.0552025	Q889
Afghanistan	03/16/20	6	0	0.04205905	Q889
Afghanistan	03/15/20	3	0	0.0262869	Q889
Afghanistan	03/11/20	3	0	0.01840083	Q889
Afghanistan	03/08/20	3	0	0.01051476	Q889
Afghanistan	03/02/20	0	0	0.00262869	Q889
Afghanistan	03/01/20	0	0	0.00262869	Q889
Afghanistan	02/29/20	0	0	0.00262869	Q889
Afghanistan	02/28/20	0	0	0.00262869	Q889
Afghanistan	02/27/20	0	0	0.00262869	Q889
Afghanistan	02/26/20	0	0	0.00262869	Q889
Afghanistan	02/25/20	1	0	0.00262869	Q889
Afghanistan	02/24/20	0	0	0.0	Q889
Afghanistan	02/23/20	0	0	0.0	Q889
Afghanistan	02/22/20	0	0	0.0	Q889
Afghanistan	02/21/20	0	0	0.0	Q889
Afghanistan	02/20/20	0	0	0.0	Q889
Afghanistan	02/19/20	0	0	0.0	Q889
Afghanistan	02/18/20	0	0	0.0	Q889
Afghanistan	02/17/20	0	0	0.0	Q889
Afghanistan	02/16/20	0	0	0.0	Q889
Afghanistan	02/15/20	0	0	0.0	Q889
Afghanistan	02/14/20	0	0	0.0	Q889
Afghanistan	02/13/20	0	0	0.0	Q889
Afghanistan	02/12/20	0	0	0.0	Q889
Afghanistan	02/11/20	0	0	0.0	Q889
Afghanistan	02/10/20	0	0	0.0	Q889
Afghanistan	02/09/20	0	0	0.0	Q889
Afghanistan	02/08/20	0	0	0.0	Q889
Afghanistan	02/07/20	0	0	0.0	Q889
Afghanistan	02/06/20	0	0	0.0	Q889
Afghanistan	02/05/20	0	0	0.0	Q889
Afghanistan	02/04/20	0	0	0.0	Q889
Afghanistan	02/03/20	0	0	0.0	Q889
Afghanistan	02/02/20	0	0	0.0	Q889
Afghanistan	02/01/20	0	0	0.0	Q889
Afghanistan	01/31/20	0	0	0.0	Q889
Afghanistan	01/30/20	0	0	0.0	Q889
Afghanistan	01/29/20	0	0	0.0	Q889
Afghanistan	01/28/20	0	0	0.0	Q889
Afghanistan	01/27/20	0	0	0.0	Q889
Afghanistan	01/26/20	0	0	0.0	Q889
Afghanistan	01/25/20	0	0	0.0	Q889
Afghanistan	01/24/20	0	0	0.0	Q889
Afghanistan	01/23/20	0	0	0.0	Q889
Afghanistan	01/22/20	0	0	0.0	Q889
Afghanistan	01/21/20	0	0	0.0	Q889
Afghanistan	01/20/20	0	0	0.0	Q889
Afghanistan	01/19/20	0	0	0.0	Q889
Afghanistan	01/18/20	0	0	0.0	Q889
Afghanistan	01/17/20	0	0	0.0	Q889
Afghanistan	01/16/20	0	0	0.0	Q889
Afghanistan	01/15/20	0	0	0.0	Q889
Afghanistan	01/14/20	0	0	0.0	Q889
Afghanistan	01/13/20	0	0	0.0	Q889
Afghanistan	01/12/20	0	0		Q889
Afghanistan	01/11/20	0	0		Q889
Afghanistan	01/10/20	0	0		Q889
Afghanistan	01/09/20	0	0		Q889
Afghanistan	01/08/20	0	0		Q889
Afghanistan	01/07/20	0	0		Q889
Afghanistan	01/06/20	0	0		Q889
Afghanistan	01/05/20	0	0		Q889
Afghanistan	01/04/20	0	0		Q889
Afghanistan	01/03/20	0	0		Q889
Afghanistan	01/02/20	0	0		Q889
Afghanistan	01/01/20	0	0		Q889
Afghanistan	12/31/19	0	0		Q889
Albania	10/28/20	284	7	138.93804104	Q222
Albania	10/27/20	288	3	135.37463139	Q222
Albania	10/26/20	299	4	131.28719089999998	Q222
Albania	10/25/20	302	4	126.71065498	Q222
Albania	10/24/20	306	4	121.92450672	Q222
Albania	10/23/20	302	3	117.06848769	Q222
Albania	10/22/20	297	4	112.42208098	Q222
Albania	10/21/20	301	4	107.7058035	Q222
Albania	10/20/20	295	3	102.71004291	Q222
Albania	10/19/20	281	3	97.43479921	Q222
Albania	10/18/20	273	5	92.8233279	Q222
Albania	10/17/20	289	4	88.59614586	Q222
Albania	10/16/20	257	5	84.05454532	Q222
Albania	10/15/20	203	5	80.56100645	Q222
Albania	10/14/20	182	5	78.04565846	Q222
Albania	10/13/20	171	4	76.12421208	Q222
Albania	10/12/20	168	4	74.76173191	Q222
Albania	10/11/20	165	3	72.59573781	Q222
Albania	10/10/20	167	2	70.60442065	Q222
Albania	10/09/20	169	4	69.10219894	Q222
Albania	10/08/20	162	4	67.87946033	Q222
Albania	10/07/20	158	3	66.44710939	Q222
Albania	10/06/20	144	4	65.5038539	Q222
Albania	10/05/20	149	4	65.71346623	Q222
Albania	10/04/20	152	3	66.06282012	Q222
Albania	10/03/20	159	1	66.09775551	Q222
Albania	10/02/20	157	1	64.90995229	Q222
Albania	10/01/20	131	3	64.03656757	Q222
Albania	09/30/20	127	4	64.49072762	Q222
Albania	09/29/20	132	3	65.36411234	Q222
Albania	09/28/20	106	2	66.58685095	Q222
Albania	09/27/20	108	2	68.75284505	Q222
Albania	09/26/20	124	3	70.70922682	Q222
Albania	09/25/20	134	0	72.00183620000001	Q222
Albania	09/24/20	121	3	72.77041476	Q222
Albania	09/23/20	131	3	73.81847642	Q222
Albania	09/22/20	150	2	74.37744264	Q222
Albania	09/21/20	159	4	74.41237803	Q222
Albania	09/20/20	153	5	74.20276569	Q222
Albania	09/19/20	125	5	73.5739287	Q222
Albania	09/18/20	132	5	73.50405792	Q222
Albania	09/17/20	144	3	72.9450917	Q222
Albania	09/16/20	152	2	72.17651315	Q222
Albania	09/15/20	167	4	70.11532521	Q222
Albania	09/14/20	168	4	68.92752199	Q222
Albania	09/13/20	164	3	66.58685095	Q222
Albania	09/12/20	161	3	63.79201985	Q222
Albania	09/11/20	156	2	62.0801858	Q222
Albania	09/10/20	151	1	62.0801858	Q222
Albania	09/09/20	147	2	62.67408741	Q222
Albania	09/08/20	151	3	62.91863513	Q222
Albania	09/07/20	153	4	63.86189063	Q222
Albania	09/06/20	135	6	63.82695524	Q222
Albania	09/05/20	123	5	64.56059839999999	Q222
Albania	09/04/20	116	5	65.57372467	Q222
Albania	09/03/20	122	6	66.93620484	Q222
Albania	09/02/20	93	6	68.19387883	Q222
Albania	09/01/20	133	4	70.35987293	Q222
Albania	08/31/20	101	5	69.87077749	Q222
Albania	08/30/20	84	4	70.53454988	Q222
Albania	08/29/20	112	5	72.59573781	Q222
Albania	08/28/20	156	3	73.78354103	Q222
Albania	08/27/20	168	4	73.71367025	Q222
Albania	08/26/20	154	5	72.77041476	Q222
Albania	08/25/20	178	4	72.28131931	Q222
Albania	08/24/20	152	5	70.42974371	Q222
Albania	08/23/20	156	5	69.87077749	Q222
Albania	08/22/20	152	2	68.75284505	Q222
Albania	08/21/20	155	4	68.15894344	Q222
Albania	08/20/20	158	2	67.18075256	Q222
Albania	08/19/20	155	2	66.51698017	Q222
Albania	08/18/20	119	2	65.64359545	Q222
Albania	08/17/20	120	3	65.01475845	Q222
Albania	08/16/20	143	6	65.11956462	Q222
Albania	08/15/20	146	6	64.31605068	Q222
Albania	08/14/20	154	5	61.97537963	Q222
Albania	08/13/20	141	3	59.80938553	Q222
Albania	08/12/20	140	5	58.6565177	Q222
Albania	08/11/20	125	1	57.85300376	Q222
Albania	08/10/20	136	6	57.57352065	Q222
Albania	08/09/20	124	4	57.22416676	Q222
Albania	08/08/20	135	1	55.23284961	Q222
Albania	08/07/20	127	6	54.14985256	Q222
Albania	08/06/20	139	6	53.48608017	Q222
Albania	08/05/20	130	4	51.00566757	Q222
Albania	08/04/20	101	6	50.62137829	Q222
Albania	08/03/20	123	5	49.92267052	Q222
Albania	08/02/20	120	4	48.49031958	Q222
Albania	08/01/20	79	3	47.86148258	Q222
Albania	07/31/20	92	4	47.02303325	Q222
Albania	07/30/20	108	2	47.26758097	Q222
Albania	07/29/20	117	4	46.46406703	Q222
Albania	07/28/20	117	6	45.73042387	Q222
Albania	07/27/20	126	4	45.73042387	Q222
Albania	07/26/20	67	6	44.22820215	Q222
Albania	07/25/20	104	5	45.13652226	Q222
Albania	07/24/20	108	3	44.64742682	Q222
Albania	07/23/20	68	3	43.73910671	Q222
Albania	07/22/20	119	4	43.73910671	Q222
Albania	07/21/20	81	1	42.16701422	Q222
Albania	07/20/20	82	1	41.81766033	Q222
Albania	07/19/20	102	4	41.53817722	Q222
Albania	07/18/20	55	3	40.31543861	Q222
Albania	07/17/20	99	3	41.53817722	Q222
Albania	07/16/20	85	4	40.94427561	Q222
Albania	07/15/20	96	2	39.54686006	Q222
Albania	07/14/20	117	2	38.60360456	Q222
Albania	07/13/20	83	4	36.75202896	Q222
Albania	07/12/20	93	4	36.36773968	Q222
Albania	07/11/20	90	2	35.24980724	Q222
Albania	07/10/20	82	0	34.79564719	Q222
Albania	07/09/20	68	2	34.65590564	Q222
Albania	07/08/20	74	2	34.62097025	Q222
Albania	07/07/20	71	3	33.85239169	Q222
Albania	07/06/20	74	2	33.74758553	Q222
Albania	07/05/20	67	2	32.42004076	Q222
Albania	07/04/20	90	3	31.93094531	Q222
Albania	07/03/20	82	4	30.53352976	Q222
Albania	07/02/20	45	3	29.97456354	Q222
Albania	07/01/20	69	4	30.14924049	Q222
Albania	06/30/20	64	3	30.60340054	Q222
Albania	06/29/20	72	2	30.77807748	Q222
Albania	06/28/20	61	2	30.25404665	Q222
Albania	06/27/20	77	2	29.799886600000004	Q222
Albania	06/26/20	78	2	28.19285872	Q222
Albania	06/25/20	67	2	27.0050555	Q222
Albania	06/24/20	52	1	26.13167078	Q222
Albania	06/23/20	68	0	25.57270456	Q222
Albania	06/22/20	36	1	23.79099974	Q222
Albania	06/21/20	53	1	23.02242118	Q222
Albania	06/20/20	50	3	21.86955335	Q222
Albania	06/19/20	66	1	20.64681475	Q222
Albania	06/18/20	50	1	18.79523914	Q222
Albania	06/17/20	82	1	17.74717748	Q222
Albania	06/16/20	69	0	15.61611877	Q222
Albania	06/15/20	57	0	13.41518928	Q222
Albania	06/14/20	48	0	11.94790295	Q222
Albania	06/13/20	31	1	11.07451823	Q222
Albania	06/12/20	44	1	10.79503512	Q222
Albania	06/11/20	42	0	10.16619812	Q222
Albania	06/10/20	36	0	9.43255496	Q222
Albania	06/09/20	17	0	9.04826569	Q222
Albania	06/08/20	14	0	8.66397641	Q222
Albania	06/07/20	20	1	8.48929947	Q222
Albania	06/06/20	15	0	8.070074799999999	Q222
Albania	06/05/20	13	0	7.96526863	Q222
Albania	06/04/20	20	0	7.68578552	Q222
Albania	06/03/20	21	0	7.51110858	Q222
Albania	06/02/20	6	0	6.81240081	Q222
Albania	06/01/20	15	0	6.67265925	Q222
Albania	05/31/20	23	0	6.60278847	Q222
Albania	05/30/20	23	0	6.39317614	Q222
Albania	05/29/20	26	0	6.2184992	Q222
Albania	05/28/20	21	0	5.93901609	Q222
Albania	05/27/20	25	1	5.34511448	Q222
Albania	05/26/20	6	0	4.61147131	Q222
Albania	05/25/20	9	1	4.54160054	Q222
Albania	05/24/20	8	0	4.6464067	Q222
Albania	05/23/20	12	0	4.57653593	Q222
Albania	05/22/20	5	0	4.43679437	Q222
Albania	05/21/20	15	0	4.61147131	Q222
Albania	05/20/20	1	0	4.50666515	Q222
Albania	05/19/20	2	0	5.06563137	Q222
Albania	05/18/20	13	0	5.275243700000001	Q222
Albania	05/17/20	17	0	5.03069598	Q222
Albania	05/16/20	18	0	4.68134209	Q222
Albania	05/15/20	18	0	4.36692359	Q222
Albania	05/14/20	4	0	3.98263432	Q222
Albania	05/13/20	4	0	4.40185898	Q222
Albania	05/12/20	4	0	4.75121287	Q222
Albania	05/11/20	12	0	4.9608252	Q222
Albania	05/10/20	6	0	5.03069598	Q222
Albania	05/09/20	8	0	6.00888686	Q222
Albania	05/08/20	10	0	6.25343459	Q222
Albania	05/07/20	12	0	6.91720697	Q222
Albania	05/06/20	17	0	7.37136703	Q222
Albania	05/05/20	8	0	7.65085014	Q222
Albania	05/04/20	6	0	8.13994558	Q222
Albania	05/03/20	7	0	8.41942869	Q222
Albania	05/02/20	9	0	8.48929947	Q222
Albania	05/01/20	7	0	8.90852413	Q222
Albania	04/30/20	16	1	9.50242574	Q222
Albania	04/29/20	14	2	9.6072319	Q222
Albania	04/28/20	10	0	9.39761957	Q222
Albania	04/27/20	14	1	9.78190885	Q222
Albania	04/26/20	34	0	9.74697346	Q222
Albania	04/25/20	15	0	9.15307185	Q222
Albania	04/24/20	29	0	8.87358874	Q222
Albania	04/23/20	25	1	8.17488097	Q222
Albania	04/22/20	25	0	7.89539786	Q222
Albania	04/21/20	22	0	7.23162547	Q222
Albania	04/20/20	14	0	7.02201314	Q222
Albania	04/19/20	9	0	7.51110858	Q222
Albania	04/18/20	21	0	8.20981636	Q222
Albania	04/17/20	24	1	8.41942869	Q222
Albania	04/16/20	19	1	8.20981636	Q222
Albania	04/15/20	8	1	8.10501019	Q222
Albania	04/14/20	21	0	8.52423485	Q222
Albania	04/13/20	13	0	8.17488097	Q222
Albania	04/12/20	17	0	8.24475174	Q222
Albania	04/11/20	7	0	8.03513941	Q222
Albania	04/10/20	9	1	8.20981636	Q222
Albania	04/09/20	17	0	8.87358874	Q222
Albania	04/08/20	6	0	9.08320107	Q222
Albania	04/07/20	16	1	9.67710268	Q222
Albania	04/06/20	28	2	9.50242574	Q222
Albania	04/05/20	29	2	8.97839491	Q222
Albania	04/04/20	27	1	8.17488097	Q222
Albania	04/03/20	18	1	7.23162547	Q222
Albania	04/02/20	16	0	6.98707775	Q222
Albania	04/01/20	20	3	6.56785308	Q222
Albania	03/31/20	11	2	6.00888686	Q222
Albania	03/30/20	15	0	5.93901609	Q222
Albania	03/29/20	11	1	5.55472681	Q222
Albania	03/28/20	12	3	5.34511448	Q222
Albania	03/27/20	28	1	5.275243700000001	Q222
Albania	03/26/20	23	0	4.71627748	Q222
Albania	03/25/20	23	1	3.94769893	Q222
Albania	03/24/20	11	2	3.28392654	Q222
Albania	03/23/20	13	0	3.03937882	Q222
Albania	03/22/20	6	0	2.65508954	Q222
Albania	03/21/20	0	0		Q222
Albania	03/20/20	11	0		Q222
Albania	03/19/20	4	1		Q222
Albania	03/18/20	4	0		Q222
Albania	03/17/20	9	0		Q222
Albania	03/16/20	4	0		Q222
Albania	03/15/20	5	0		Q222
Albania	03/14/20	10	0		Q222
Albania	03/13/20	12	0		Q222
Albania	03/12/20	1	1		Q222
Albania	03/11/20	4	0		Q222
Albania	03/10/20	4	0		Q222
Albania	03/09/20	2	0		Q222
Algeria	10/28/20	287	9	7.68122048	Q262
Algeria	10/27/20	276	8	7.41875362	Q262
Algeria	10/26/20	263	7	7.133059599999998	Q262
Algeria	10/25/20	250	10	6.82878385	Q262
Algeria	10/24/20	273	9	6.56399428	Q262
Algeria	10/23/20	266	8	6.26900939	Q262
Algeria	10/22/20	252	15	5.9717018	Q262
Algeria	10/21/20	223	0	5.66742606	Q262
Algeria	10/20/20	214	9	5.44909079	Q262
Algeria	10/19/20	199	10	5.26327354	Q262
Algeria	10/18/20	215	5	5.12855604	Q262
Algeria	10/17/20	211	5	4.97293409	Q262
Algeria	10/16/20	193	9	4.84750745	Q262
Algeria	10/15/20	185	9	4.77085784	Q262
Algeria	10/14/20	174	9	4.71743538	Q262
Algeria	10/13/20	153	8	4.67330378	Q262
Algeria	10/12/20	132	6	4.65704477	Q262
Algeria	10/11/20	136	6	4.7058218	Q262
Algeria	10/10/20	146	6	4.76156697	Q262
Algeria	10/09/20	138	4	4.82892572	Q262
Algeria	10/08/20	121	6	4.92415706	Q262
Algeria	10/07/20	129	5	5.07513358	Q262
Algeria	10/06/20	134	8	5.21914195	Q262
Algeria	10/05/20	141	4	5.36547303	Q262
