Country	Tax	ID	id_row
Senegal	16.2	Q1041	145
Serbia	13.0	Q403	146
Seychelles	18.8	Q1042	147
Sierra Leone	18.5	Q1044	148
Singapore	2.1	Q334	149
Slovak Republic	9.1	Q214	150
Slovenia	12.7	Q215	151
Solomon Islands	23.3	Q685	152
South Africa	21.8	Q258	153
South Sudan	9.2	Q958	154
Spain	10.6	Q29	155
Sri Lanka	1.2	Q854	156
St. Kitts and Nevis	30.5	Q763	157
St. Lucia	25.8	Q760	158
St. Vincent and the Grenadines	27.6	Q757	159
Sudan	11.5	Q1049	160
Suriname	27.9	Q730	161
Eswatini	25.2	Q1050	162
Sweden	13.1	Q34	163
Switzerland	9.3	Q39	164
Syrian Arab Republic	23.0	Q858	165
Tajikistan	17.7	Q863	166
Tanzania	20.8	Q924	167
Thailand	22.2	Q869	168
Timor-Leste	10.5	Q574	169
Togo	10.3	Q945	170
Tonga	21.2	Q678	171
Trinidad and Tobago	25.8	Q754	172
Tunisia	13.6	Q948	173
Turkey	20.0	Q43	174
Uganda	22.3	Q1036	175
Ukraine	10.2	Q212	176
United Arab Emirates	0.0	Q878	177
United Kingdom	16.6	Q145	178
United States	20.7	Q30	179
Uruguay	23.6	Q77	180
Uzbekistan	11.8	Q265	181
Vanuatu	0.0	Q686	182
Venezuela, RB	9.4	Q717	183
Vietnam	13.2	Q881	184
West Bank and Gaza	15.0	Q407199	185
Yemen, Rep.	13.8	Q805	186
Zambia	2.0	Q953	187
Zimbabwe	17.6	Q954	188
