Country	ForestArea2000	ForestArea2016	Permanentcropland2000	Permanentcropland2016	Arableland2000	Arableland2016	ID	id_row
India	22.0	2020.8	2020.1	2020.4	54.1	52.6	Q668	77
Indonesia	54.9	49.9	2020.6	2020.4	2020.3	13.0	Q252	78
Iran, Islamic Rep.	2020.7	2020.6	0.8	2020.1	2020.2	9.0	Q794	79
Iraq	1.9	1.9	0.5	0.7	9.4	11.5	Q796	80
Ireland	9.2	11.0	0.0	0.0	15.6	6.5	Q27	81
Israel	7.1	7.7	4.0	4.5	15.6	13.6	Q801	82
Italy	28.5	31.8	9.5	8.3	28.8	22.4	Q38	83
Jamaica	31.5	30.9	10.2	8.8	12.9	11.1	Q766	84
Japan	68.2	68.5	1.0	0.8	12.3	11.5	Q17	85
Jordan	1.1	1.1	1.0	1.0	2.2	2.7	Q810	86
Kazakhstan	1.2	1.2	0.1	0.0	11.2	10.9	Q232	87
Kenya	6.2	7.8	0.8	0.9	8.6	10.2	Q114	88
Kiribati	15.0	15.0	39.5	39.5	2.5	2.5	Q710	89
Korea, Dem. Peopleâ€™s Rep.	57.6	40.7	1.7	1.9	19.1	19.5	Q423	90
Korea, Rep.	65.2	63.4	2.1	2.3	17.8	14.6	Q884	91
Kuwait	0.3	0.4	0.1	0.3	0.6	0.4	Q817	92
Kyrgyz Republic	4.5	3.3	0.3	0.4	7.1	6.7	Q813	93
Lao PDR	71.6	82.1	0.4	0.7	4.0	6.6	Q819	94
Latvia	52.1	54.0	0.2	0.1	15.6	20.7	Q211	95
Lebanon	12.8	13.4	13.8	12.3	12.6	12.9	Q822	96
Lesotho	1.4	1.6	0.1	0.2	10.9	11.6	Q1013	97
Liberia	48.1	43.1	2.2	2.1	4.2	5.2	Q1014	98
Libya	0.1	0.1	0.2	0.2	1.0	1.0	Q1016	99
Lithuania	32.2	34.8	0.7	0.6	45.9	34.2	Q37	100
Luxembourg	35.7	35.7	0.4	0.6	25.5	25.5	Q32	101
North Macedonia	37.7	39.6	1.7	1.6	21.8	16.5	Q221	102
Madagascar	22.4	21.4	1.0	1.1	5.0	6.0	Q1019	103
Malawi	37.8	33.2	1.4	1.5	29.2	40.3	Q1020	104
Malaysia	65.7	67.6	17.6	22.7	2.6	2.7	Q833	105
Maldives	3.3	3.3	16.7	10.0	10.0	13.0	Q826	106
Mali	4.8	3.8	0.1	0.1	3.7	5.3	Q912	107
Malta	1.1	1.1	3.1	4.1	25.0	28.3	Q233	108
Marshall Islands	70.2	70.2	44.4	36.1	5.6	11.1	Q709	109
Mauritania	0.3	0.2	0.0	0.0	0.5	0.4	Q1025	110
Mauritius	20.6	19.0	2.0	2.0	44.3	36.9	Q1027	111
Mexico	34.9	33.9	1.3	1.4	11.8	11.6	Q96	112
Micronesia, Fed. Sts.	91.2	91.9	24.3	24.3	3.6	2.9	Q702	113
Moldova	9.9	12.6	10.2	8.2	55.6	55.6	Q217	114
Mongolia	7.5	8.0	0.0	0.0	0.8	0.4	Q711	115
Morocco	11.2	12.6	2.0	3.3	19.6	18.2	Q1028	116
Mozambique	52.4	48.0	0.3	0.4	5.0	7.2	Q1029	117
Myanmar	53.4	43.6	0.9	2.4	15.2	16.7	Q836	118
Namibia	9.8	8.3	0.0	0.0	1.0	1.0	Q1030	119
Nepal	27.2	25.4	0.8	1.5	16.4	14.7	Q837	120
Netherlands	10.7	11.2	1.0	1.1	27.0	30.5	Q55	121
New Caledonia	45.9	45.9	0.2	0.2	0.4	0.3	Q33788	122
New Zealand	38.5	38.6	0.2	0.3	5.7	2.2	Q664	123
Nicaragua	31.7	25.9	1.9	2.4	15.9	12.5	Q811	124
Niger	1.0	0.9	0.0	0.1	11.0	13.3	Q1032	125
Nigeria	14.4	7.2	6.6	7.1	38.4	37.3	Q1033	126
Northern Mariana Islands	69.5	63.8	2.2	2.2	2.2	2.2	Q16644	127
Norway	33.2	33.2	0.0	0.0	2.4	2.2	Q20	128
Oman	0.0	0.0	0.1	0.1	0.1	0.2	Q842	129
Pakistan	2.7	1.9	0.9	1.0	40.3	40.3	Q843	130
