Country	Bothsexes	Male	Female	ID	id_row
Kuwait	17.7	20.2	13.4	Q817	91
Kyrgyzstan	22.7	23.2	22.3	Q813	92
Lao People's Democratic Republic	19.3	19.4	19.2	Q819	93
Latvia	36.4	40.4	33.2	Q211	94
Lebanon	19.7	22.9	16.5	Q822	95
Lesotho	21.5	19.1	23.9	Q1013	96
Liberia	22.3	22.7	21.9	Q1014	97
Libya	20.5	22.6	18.6	Q1016	98
Lithuania	34.5	38.5	31.2	Q37	99
Luxembourg	26.2	31.5	21.1	Q32	100
Madagascar	21.8	22.2	21.3	Q1019	101
Malawi	21.7	21.3	22.1	Q1020	102
Malaysia	20.6	23.2	18.1	Q833	103
Maldives	20.0	23.1	17.0	Q826	104
Mali	24.9	24.1	25.6	Q912	105
Malta	24.9	29.0	20.8	Q233	106
Marshall Islands	20.4	22.9	17.9	Q709	107
Mauritania	25.7	26.2	25.1	Q1025	108
Mauritius	27.0	27.6	26.5	Q1027	109
Mexico	18.5	20.6	16.6	Q96	110
Micronesia (Federated States of)	20.5	21.8	19.2	Q702	111
Mongolia	24.7	27.9	21.7	Q711	112
Montenegro	34.0	37.9	30.2	Q236	113
Morocco	23.8	23.8	23.8	Q1028	114
Mozambique	22.8	22.1	23.4	Q1029	115
Myanmar	22.5	22.6	22.4	Q836	116
Namibia	22.4	22.3	22.4	Q1030	117
Nauru	19.7	22.9	16.5	Q697	118
Nepal	26.1	27.3	25.0	Q837	119
Netherlands	25.0	28.4	21.7	Q55	120
New Zealand	20.1	22.5	17.9	Q664	121
Nicaragua	17.2	18.2	16.2	Q811	122
Niger	27.1	26.5	27.7	Q1032	123
Nigeria	18.2	17.8	18.6	Q1033	124
Niue	23.3	24.9	21.6	Q34020	125
Norway	24.9	28.9	21.0	Q20	126
Oman	16.2	16.7	15.0	Q842	127
Pakistan	25.4	26.9	23.8	Q843	128
Palau	22.0	24.7	19.3	Q695	129
Panama	19.3	21.5	17.1	Q804	130
Papua New Guinea	20.3	20.2	20.4	Q691	131
Paraguay	21.6	24.9	18.4	Q733	132
Peru	12.6	14.7	10.4	Q419	133
Philippines	19.0	20.4	17.7	Q928	134
Poland	34.2	38.2	30.6	Q36	135
Portugal	31.7	35.0	28.6	Q45	136
Qatar	15.4	16.4	11.5	Q846	137
Republic of Korea	13.2	15.4	11.2	Q884	138
Republic of Moldova	33.2	35.3	31.5	Q217	139
North Macedonia	32.4	35.6	29.2	Q221	140
Romania	35.4	38.4	32.6	Q218	141
Russian Federation	31.7	34.5	29.4	Q159	142
Rwanda	19.6	19.2	20.0	Q1037	143
Saint Kitts and Nevis	26.2	28.3	24.3	Q763	144
Saint Lucia	27.6	29.9	25.5	Q760	145
Saint Vincent and the Grenadines	23.0	25.3	20.6	Q757	146
Samoa	22.0	24.1	19.7	Q683	147
Sao Tome and Principe	19.6	20.9	18.4	Q1039	148
Saudi Arabia	19.1	21.0	16.2	Q851	149
Senegal	23.0	22.9	23.1	Q1041	150
Serbia	35.0	37.8	32.5	Q403	151
Seychelles	23.5	25.7	21.3	Q1042	152
Sierra Leone	23.3	23.4	23.3	Q1044	153
Singapore	16.7	19.7	13.7	Q334	154
Slovakia	33.0	37.1	29.2	Q214	155
Slovenia	38.2	41.8	34.8	Q215	156
Solomon Islands	17.1	16.5	17.7	Q685	157
Somalia	25.8	27.0	24.7	Q1045	158
South Africa	24.0	23.6	24.4	Q258	159
Spain	25.2	28.2	22.3	Q29	160
Sri Lanka	23.8	23.8	23.8	Q854	161
Sudan (former)	24.0	25.0	23.0	Q1049	162
Suriname	21.7	23.5	19.9	Q730	163
Sweden	25.9	29.5	22.3	Q34	164
Switzerland	23.5	26.9	20.2	Q39	165
Syrian Arab Republic	20.3	21.3	19.4	Q858	166
Tajikistan	20.7	21.4	20.0	Q863	167
Thailand	25.0	26.2	23.8	Q869	168
Timor-Leste	21.2	20.9	21.5	Q574	169
Togo	21.9	22.0	21.8	Q945	170
Tonga	21.5	22.5	20.6	Q678	171
Trinidad and Tobago	27.6	28.7	26.6	Q754	172
Tunisia	22.8	23.2	22.4	Q948	173
Turkey	19.9	19.2	20.4	Q43	174
Turkmenistan	21.6	22.6	20.6	Q874	175
Tuvalu	22.8	24.9	20.8	Q672	176
Uganda	19.5	20.0	19.0	Q1036	177
Ukraine	32.4	34.9	30.4	Q212	178
United Arab Emirates	13.0	14.6	8.7	Q878	179
United Kingdom of Great Britain and Northern Ireland	20.3	21.9	18.8	Q145	180
United Republic of Tanzania	20.9	21.0	20.9	Q924	181
United States of America	16.4	18.0	15.0	Q30	182
Uruguay	24.4	26.8	22.3	Q77	183
Uzbekistan	21.6	22.6	20.7	Q265	184
Vanuatu	20.0	20.6	19.5	Q686	185
Venezuela (Bolivarian Republic of)	17.4	20.1	14.8	Q717	186
Viet Nam	22.2	23.0	21.5	Q881	187
Yemen	22.5	22.7	22.4	Q805	188
Zambia	19.5	21.0	18.0	Q953	189
Zimbabwe	20.3	19.9	20.7	Q954	190
