Country	Male_2000	Male_2018	Female_2000	Female_2018	ID	id_row
Timor-Leste	8.8	11.1	6.0	7.5	Q574	165
Togo	12.0	12.5	15.6	13.2	Q945	166
Tonga	13.2	14.7	59.2	50.9	Q678	167
Trinidad and Tobago	37.1	37.6	13.5	12.6	Q754	168
Tunisia	30.5	32.6	35.7	33.0	Q948	169
Turkey	27.3	31.6	11.5	16.1	Q43	170
Turkmenistan	35.4	45.0	36.9	38.2	Q874	171
Uganda	9.9	9.8	5.4	3.3	Q1036	172
Ukraine	34.8	34.3	17.9	13.7	Q212	173
United Arab Emirates	36.1	40.5	13.7	5.5	Q878	174
United Kingdom	36.2	27.5	12.0	7.4	Q145	175
United States	34.2	29.4	12.7	8.8	Q30	176
Uruguay	28.5	27.7	14.1	8.7	Q77	177
Uzbekistan	26.8	37.5	15.8	16.8	Q265	178
Vanuatu	9.9	9.3	2.3	2.3	Q686	179
Venezuela, RB	28.8	23.6	12.8	8.3	Q717	180
Vietnam	14.6	30.7	10.1	22.6	Q881	181
Virgin Islands (U.S.)	38.5	32.3	10.7	7.7	Q11703	182
West Bank and Gaza	38.3	35.4	11.4	9.5	Q407199	183
Yemen, Rep.	16.6	10.1	6.8	10.9	Q805	184
Zambia	10.5	16.8	3.1	4.4	Q953	185
Zimbabwe	18.1	11.9	4.3	2.0	Q954	186
