Country	FHFreepressreport	RWBPressfreedomindex	ID	id_row
Sierra Leone	49.0	26.35	Q1044	139
Singapore	67.0	43.43	Q334	140
Slovakia	21.0	13.25	Q214	141
Slovenia	25.0	20.49	Q215	142
Somalia	84.0	73.59	Q1045	143
South Africa	34.0	24.56	Q258	144
South Korea	32.0	24.48	Q884	145
South Sudan	59.0	36.2	Q958	146
Spain	24.0	20.5	Q29	147
Sri Lanka	72.0	56.59	Q854	148
Sudan	78.0	70.06	Q1049	149
Suriname	23.0	18.19	Q730	150
Swaziland	76.0	46.76	Q1050	151
Sweden	10.0	9.23	Q34	152
Switzerland	12.0	9.94	Q39	153
Syria	89.0	78.53	Q858	154
Taiwan	25.0	23.82	Q865	155
Tajikistan	79.0	35.71	Q863	156
Tanzania	49.0	27.34	Q924	157
Thailand	60.0	38.6	Q869	158
Timor-Leste	35.0	28.72	Q574	159
Togo	69.0	28.45	Q945	160
Tonga	29.0	26.7	Q678	161
Trinidad and Tobago	25.0	23.12	Q754	162
Tunisia	51.0	39.93	Q948	163
Turkey	55.0	46.56	Q43	164
Turkmenistan	96.0	79.14	Q874	165
Uganda	57.0	31.69	Q1036	166
Ukraine	59.0	36.79	Q212	167
United Arab Emirates	72.0	33.49	Q878	168
United Kingdom	21.0	16.89	Q145	169
United States	18.0	18.22	Q30	170
Uruguay	26.0	15.92	Q77	171
Uzbekistan	95.0	60.39	Q265	172
Venezuela	76.0	34.44	Q717	173
Vietnam	84.0	71.78	Q881	174
Yemen	83.0	69.22	Q805	175
Zambia	60.0	27.93	Q953	176
Zimbabwe	80.0	38.12	Q954	177
