Country	Mostrecentyear	Tariff	ID	id_row
Tonga	2017	64.28	Q678	142
Trinidad and Tobago	2013	36.22	Q754	143
Tunisia	2016	53.05	Q948	144
Turkey	2017	5.39	Q43	145
Uganda	2016	36.33	Q1036	146
Ukraine	2017	1.51	Q212	147
United Arab Emirates	2017	0.25	Q878	148
United Kingdom	2017	5.45	Q145	149
United States	2017	5.99	Q30	150
Uruguay	2017	32.32	Q77	151
Vanuatu	2017	43.26	Q686	152
Venezuela, RB	2017	27.56	Q717	153
Vietnam	2017	20.95	Q881	154
Yemen, Rep.	2017	1.93	Q805	155
Zambia	2016	27.11	Q953	156
Zimbabwe	2016	18.87	Q954	157
