Entity	Date	Excess mortality P-scores, all ages	ID
Germany	2020-08-16	20	Q183
Germany	2020-08-23	6	Q183
Germany	2020-08-30	0	Q183
Germany	2020-09-06	3	Q183
Germany	2020-09-13	3	Q183
Greece	2020-01-05	-3	Q41
Greece	2020-01-12	-2	Q41
Greece	2020-01-19	1	Q41
Greece	2020-01-26	0	Q41
Greece	2020-02-02	7	Q41
Greece	2020-02-09	6	Q41
Greece	2020-02-16	10	Q41
Greece	2020-02-23	0	Q41
Greece	2020-03-01	3	Q41
Greece	2020-03-08	9	Q41
Greece	2020-03-15	8	Q41
Greece	2020-03-22	9	Q41
Greece	2020-03-29	6	Q41
Greece	2020-04-05	4	Q41
Greece	2020-04-12	2	Q41
Greece	2020-04-19	1	Q41
Greece	2020-04-26	-2	Q41
Greece	2020-05-03	1	Q41
Greece	2020-05-10	-2	Q41
Greece	2020-05-17	16	Q41
Greece	2020-05-24	13	Q41
Greece	2020-05-31	-12	Q41
Greece	2020-06-07	-4	Q41
Greece	2020-06-14	-2	Q41
Greece	2020-06-21	-2	Q41
Greece	2020-06-28	-8	Q41
Greece	2020-07-05	13	Q41
Greece	2020-07-12	2	Q41
Hungary	2020-01-05	-10	Q28
Hungary	2020-01-12	-11	Q28
Hungary	2020-01-19	-12	Q28
Hungary	2020-01-26	-10	Q28
Hungary	2020-02-02	-8	Q28
Hungary	2020-02-09	-14	Q28
Hungary	2020-02-16	-8	Q28
Hungary	2020-02-23	-13	Q28
Hungary	2020-03-01	-4	Q28
Hungary	2020-03-08	-7	Q28
Hungary	2020-03-15	-5	Q28
Hungary	2020-03-22	6	Q28
Hungary	2020-03-29	0	Q28
Hungary	2020-04-05	1	Q28
Hungary	2020-04-12	4	Q28
Hungary	2020-04-19	3	Q28
Hungary	2020-04-26	-3	Q28
Hungary	2020-05-03	-5	Q28
Hungary	2020-05-10	-1	Q28
Hungary	2020-05-17	3	Q28
Hungary	2020-05-24	-7	Q28
Hungary	2020-05-31	-4	Q28
Hungary	2020-06-07	6	Q28
Hungary	2020-06-14	0	Q28
Hungary	2020-06-21	-8	Q28
Hungary	2020-06-28	3	Q28
Hungary	2020-07-05	4	Q28
Hungary	2020-07-12	-5	Q28
Hungary	2020-07-19	-8	Q28
Hungary	2020-07-26	-10	Q28
Hungary	2020-08-02	1	Q28
Hungary	2020-08-09	0	Q28
Hungary	2020-08-16	-2	Q28
Hungary	2020-08-23	0	Q28
Hungary	2020-08-30	-5	Q28
Hungary	2020-09-06	-1	Q28
Iceland	2020-01-05	24	Q189
Iceland	2020-01-12	15	Q189
Iceland	2020-01-19	17	Q189
Iceland	2020-01-26	23	Q189
Iceland	2020-02-02	-14	Q189
Iceland	2020-02-16	4	Q189
Iceland	2020-02-23	4	Q189
Iceland	2020-03-08	10	Q189
Iceland	2020-03-22	-6	Q189
Iceland	2020-03-29	-11	Q189
Iceland	2020-04-05	15	Q189
Iceland	2020-04-12	10	Q189
Iceland	2020-04-19	23	Q189
Iceland	2020-05-03	9	Q189
Iceland	2020-05-10	-11	Q189
Iceland	2020-05-24	15	Q189
Iceland	2020-05-31	17	Q189
Iceland	2020-06-14	-2	Q189
Iceland	2020-06-21	-17	Q189
Iceland	2020-06-28	-28	Q189
Iceland	2020-07-05	-19	Q189
Iceland	2020-07-12	20	Q189
Iceland	2020-07-19	7	Q189
Iceland	2020-07-26	-22	Q189
Iceland	2020-08-02	-3	Q189
Iceland	2020-08-16	8	Q189
Iceland	2020-08-23	-22	Q189
Iceland	2020-08-30	-22	Q189
Iceland	2020-09-06	40	Q189
Iceland	2020-09-13	-6	Q189
Iceland	2020-09-27	-32	Q189
Israel	2020-01-05	8	Q801
Israel	2020-01-12	-4	Q801
Israel	2020-01-19	6	Q801
Israel	2020-01-26	-5	Q801
Israel	2020-02-02	-6	Q801
Israel	2020-02-09	-10	Q801
Israel	2020-02-16	-2	Q801
Israel	2020-02-23	1	Q801
Israel	2020-03-01	-6	Q801
Israel	2020-03-08	-1	Q801
Israel	2020-03-15	5	Q801
Israel	2020-03-22	3	Q801
Israel	2020-03-29	10	Q801
Israel	2020-04-05	18	Q801
Israel	2020-04-12	5	Q801
Israel	2020-04-19	12	Q801
Israel	2020-04-26	5	Q801
Israel	2020-05-03	2	Q801
Israel	2020-05-10	5	Q801
Israel	2020-05-17	6	Q801
Israel	2020-05-24	20	Q801
Israel	2020-05-31	6	Q801
Israel	2020-06-07	4	Q801
Israel	2020-06-14	4	Q801
Israel	2020-06-21	3	Q801
Israel	2020-06-28	3	Q801
Israel	2020-07-05	1	Q801
Israel	2020-07-12	10	Q801
Israel	2020-07-19	10	Q801
Israel	2020-07-26	3	Q801
Israel	2020-08-02	22	Q801
Israel	2020-08-09	9	Q801
Israel	2020-08-16	23	Q801
Israel	2020-08-23	16	Q801
Israel	2020-08-30	14	Q801
Israel	2020-09-06	12	Q801
Israel	2020-09-13	19	Q801
Israel	2020-09-20	23	Q801
Italy	2020-01-05	-12	Q38
Italy	2020-01-12	-10	Q38
Italy	2020-01-19	-8	Q38
Italy	2020-01-26	-5	Q38
Italy	2020-02-02	-5	Q38
Italy	2020-02-09	-4	Q38
Italy	2020-02-16	-3	Q38
Italy	2020-02-23	-4	Q38
Italy	2020-03-01	0	Q38
Italy	2020-03-08	11	Q38
Italy	2020-03-15	42	Q38
Italy	2020-03-22	78	Q38
Italy	2020-03-29	90	Q38
Italy	2020-04-05	69	Q38
Italy	2020-04-12	56	Q38
Italy	2020-04-19	39	Q38
Italy	2020-04-26	24	Q38
Italy	2020-05-03	13	Q38
Italy	2020-05-10	7	Q38
Italy	2020-05-17	4	Q38
Italy	2020-05-24	-2	Q38
Italy	2020-05-31	-4	Q38
Italy	2020-06-07	-6	Q38
Italy	2020-06-14	-10	Q38
Latvia	2020-01-05	-2	Q211
Latvia	2020-01-12	-5	Q211
Latvia	2020-01-19	-15	Q211
Latvia	2020-01-26	-10	Q211
Latvia	2020-02-02	-9	Q211
Latvia	2020-02-09	-10	Q211
Latvia	2020-02-16	-10	Q211
Latvia	2020-02-23	-13	Q211
Latvia	2020-03-01	-29	Q211
Latvia	2020-03-08	-22	Q211
Latvia	2020-03-15	-14	Q211
Latvia	2020-03-22	-6	Q211
Latvia	2020-03-29	-11	Q211
Latvia	2020-04-05	-4	Q211
Latvia	2020-04-12	-15	Q211
Latvia	2020-04-19	4	Q211
Latvia	2020-04-26	-2	Q211
Latvia	2020-05-03	4	Q211
Latvia	2020-05-10	7	Q211
Latvia	2020-05-17	-2	Q211
Latvia	2020-05-24	7	Q211
Latvia	2020-05-31	-4	Q211
Latvia	2020-06-07	0	Q211
Latvia	2020-06-14	10	Q211
Latvia	2020-06-21	-6	Q211
Latvia	2020-06-28	-4	Q211
Latvia	2020-07-05	22	Q211
Latvia	2020-07-12	-8	Q211
Latvia	2020-07-19	-5	Q211
Latvia	2020-07-26	-1	Q211
Latvia	2020-08-02	1	Q211
Latvia	2020-08-09	-3	Q211
Latvia	2020-08-16	3	Q211
Latvia	2020-08-23	11	Q211
Latvia	2020-08-30	5	Q211
Latvia	2020-09-06	-4	Q211
Latvia	2020-09-13	-3	Q211
Latvia	2020-09-20	-2	Q211
Latvia	2020-09-27	-9	Q211
Latvia	2020-10-04	5	Q211
Lithuania	2020-01-05	-6	Q37
Lithuania	2020-01-12	-8	Q37
Lithuania	2020-01-19	-14	Q37
Lithuania	2020-01-26	-14	Q37
Lithuania	2020-02-02	-16	Q37
Lithuania	2020-02-09	-15	Q37
Lithuania	2020-02-16	-8	Q37
Lithuania	2020-02-23	-21	Q37
Lithuania	2020-03-01	-7	Q37
Lithuania	2020-03-08	-8	Q37
Lithuania	2020-03-15	-6	Q37
Lithuania	2020-03-22	0	Q37
Lithuania	2020-03-29	4	Q37
Lithuania	2020-04-05	-3	Q37
Lithuania	2020-04-12	2	Q37
Lithuania	2020-04-19	0	Q37
Lithuania	2020-04-26	3	Q37
Lithuania	2020-05-03	3	Q37
Lithuania	2020-05-10	-6	Q37
Lithuania	2020-05-17	-1	Q37
Lithuania	2020-05-24	-8	Q37
Lithuania	2020-05-31	-1	Q37
Lithuania	2020-06-07	-1	Q37
Lithuania	2020-06-14	15	Q37
Lithuania	2020-06-21	7	Q37
Lithuania	2020-06-28	11	Q37
Lithuania	2020-07-05	-1	Q37
Lithuania	2020-07-12	0	Q37
Lithuania	2020-07-19	8	Q37
Lithuania	2020-07-26	1	Q37
Lithuania	2020-08-02	2	Q37
Lithuania	2020-08-09	1	Q37
Lithuania	2020-08-16	7	Q37
Lithuania	2020-08-23	13	Q37
Lithuania	2020-08-30	1	Q37
Lithuania	2020-09-06	-2	Q37
Lithuania	2020-09-13	9	Q37
Lithuania	2020-09-20	2	Q37
Lithuania	2020-09-27	8	Q37
Luxembourg	2020-01-05	-27	Q32
Luxembourg	2020-01-12	-8	Q32
Luxembourg	2020-01-19	3	Q32
Luxembourg	2020-01-26	-2	Q32
Luxembourg	2020-02-02	-9	Q32
Luxembourg	2020-02-09	-7	Q32
Luxembourg	2020-02-16	-29	Q32
Luxembourg	2020-03-01	-16	Q32
Luxembourg	2020-03-15	12	Q32
Luxembourg	2020-03-22	3	Q32
Luxembourg	2020-03-29	30	Q32
Luxembourg	2020-04-05	8	Q32
Luxembourg	2020-04-12	62	Q32
Luxembourg	2020-04-19	13	Q32
Luxembourg	2020-04-26	13	Q32
Luxembourg	2020-05-03	-4	Q32
Luxembourg	2020-05-10	26	Q32
Luxembourg	2020-05-17	8	Q32
Luxembourg	2020-05-24	2	Q32
Luxembourg	2020-06-07	-1	Q32
Luxembourg	2020-06-14	-8	Q32
Luxembourg	2020-06-21	17	Q32
Luxembourg	2020-06-28	-1	Q32
Luxembourg	2020-07-05	-6	Q32
Luxembourg	2020-07-12	-9	Q32
Luxembourg	2020-07-19	0	Q32
Luxembourg	2020-08-02	19	Q32
Luxembourg	2020-08-09	26	Q32
Luxembourg	2020-08-16	35	Q32
Netherlands	2020-01-05	-5	Q55
Netherlands	2020-01-12	0	Q55
Netherlands	2020-01-19	-4	Q55
Netherlands	2020-01-26	-9	Q55
Netherlands	2020-02-02	-5	Q55
Netherlands	2020-02-09	-3	Q55
Netherlands	2020-02-16	-4	Q55
Netherlands	2020-02-23	-13	Q55
Netherlands	2020-03-01	-6	Q55
Netherlands	2020-03-08	-7	Q55
Netherlands	2020-03-15	1	Q55
Netherlands	2020-03-22	18	Q55
Netherlands	2020-03-29	47	Q55
Netherlands	2020-04-05	75	Q55
Netherlands	2020-04-12	75	Q55
Netherlands	2020-04-19	52	Q55
Netherlands	2020-04-26	40	Q55
Netherlands	2020-05-03	24	Q55
Netherlands	2020-05-10	7	Q55
Netherlands	2020-05-17	2	Q55
Netherlands	2020-05-24	2	Q55
Netherlands	2020-05-31	0	Q55
Netherlands	2020-06-07	1	Q55
Netherlands	2020-06-14	2	Q55
Netherlands	2020-06-21	3	Q55
Netherlands	2020-06-28	0	Q55
Netherlands	2020-07-05	-4	Q55
Netherlands	2020-07-12	-1	Q55
Netherlands	2020-07-19	-6	Q55
Netherlands	2020-07-26	-1	Q55
Netherlands	2020-08-02	2	Q55
Netherlands	2020-08-09	0	Q55
Netherlands	2020-08-16	25	Q55
Netherlands	2020-08-23	9	Q55
Netherlands	2020-08-30	5	Q55
Netherlands	2020-09-06	4	Q55
Netherlands	2020-09-13	3	Q55
Netherlands	2020-09-20	3	Q55
Netherlands	2020-09-27	7	Q55
