Country	Total	ID	id_row
Namibia	43.0	Q1030	121
Nauru	11.0	Q697	122
Nepal	33.0	Q837	123
Netherlands	31.0	Q55	124
New Zealand	41.0	Q664	125
Nicaragua	45.0	Q811	126
Niger	17.0	Q1032	127
Nigeria	3.0	Q1033	128
Norway	41.0	Q20	129
Oman	2.0	Q842	130
Pakistan	20.0	Q843	131
Palau	13.0	Q695	132
Panama	21.0	Q804	133
Papua New Guinea	0.0	Q691	134
Paraguay	15.0	Q733	135
Peru	30.0	Q419	136
Philippines	28.0	Q928	137
Poland	29.0	Q36	138
Portugal	39.0	Q45	139
Qatar	10.0	Q846	140
Romania	22.0	Q218	141
Russian Federation	16.0	Q159	142
Rwanda	61.0	Q1037	143
Samoa	10.0	Q683	144
San Marino	25.0	Q238	145
Sao Tome and Principe	15.0	Q1039	146
Saudi Arabia	20.0	Q851	147
Senegal	42.0	Q1041	148
Serbia	38.0	Q403	149
Seychelles	21.0	Q1042	150
Sierra Leone	12.0	Q1044	151
Singapore	23.0	Q334	152
Slovak Republic	20.0	Q214	153
Slovenia	28.0	Q215	154
Solomon Islands	4.0	Q685	155
Somalia	24.0	Q1045	156
South Africa	46.0	Q258	157
South Sudan	28.0	Q958	158
Spain	44.0	Q29	159
Sri Lanka	5.0	Q854	160
St. Kitts and Nevis	13.0	Q763	161
St. Lucia	17.0	Q760	162
St. Vincent and the Grenadines	13.0	Q757	163
Sudan	31.0	Q1049	164
Suriname	31.0	Q730	165
Sweden	47.0	Q34	166
Switzerland	42.0	Q39	167
Syrian Arab Republic	13.0	Q858	168
Tajikistan	19.0	Q863	169
Tanzania	37.0	Q924	170
Thailand	16.0	Q869	171
Timor-Leste	38.0	Q574	172
Togo	16.0	Q945	173
Tonga	7.0	Q678	174
Trinidad and Tobago	31.0	Q754	175
Tunisia	23.0	Q948	176
Turkey	17.0	Q43	177
Turkmenistan	25.0	Q874	178
Tuvalu	6.0	Q672	179
Uganda	35.0	Q1036	180
Ukraine	21.0	Q212	181
United Arab Emirates	50.0	Q878	182
United Kingdom	32.0	Q145	183
United States	23.0	Q30	184
Uruguay	19.0	Q77	185
Uzbekistan	16.0	Q265	186
Vanuatu	0.0	Q686	187
Venezuela, RB	22.0	Q717	188
Vietnam	27.0	Q881	189
Yemen, Rep.	0.0	Q805	190
Zambia	18.0	Q953	191
Zimbabwe	32.0	Q954	192
