Country	Imports2007	Imports2017	ID	id_row
Lesotho	0.5	20.8	Q1013	118
Liberia	52.2	52.2	Q1014	119
Madagascar	33.0	47.0	Q1019	120
Malawi	12.5	32.4	Q1020	121
Mali	15.5	27.9	Q912	122
Mauritania	20.1	22.1	Q1025	123
Mauritius	43.7	44.3	Q1027	124
Mozambique	15.5	25.3	Q1029	125
Namibia	4.5	18.3	Q1030	126
Niger	22.2	33.1	Q1032	127
Nigeria	19.1	31.4	Q1033	128
Rwanda	14.6	40.5	Q1037	129
Sao Tome and Principe	3.3	9.9	Q1039	130
Senegal	30.8	36.8	Q1041	131
Seychelles	19.3	22.9	Q1042	132
Sierra Leone	18.0	48.7	Q1044	133
Somalia	34.9	56.9	Q1045	134
South Africa	27.2	35.3	Q258	135
Sudan	22.7	34.0	Q1049	136
Eswatini	11.9	11.1	Q1050	137
Tanzania	27.8	34.2	Q924	138
Togo	26.9	38.5	Q945	139
Uganda	25.8	44.2	Q1036	140
Zambia	11.6	17.4	Q953	141
Zimbabwe	3.4	6.3	Q954	142
