Country	Migrants	ID	id_row
Togo	-10.0	Q945	173
Tonga	-4.0	Q678	174
Trinidad and Tobago	-400.0	Q754	175
Tunisia	-2000.0	Q948	176
Turkey	1.42	Q43	177
Turkmenistan	-25.0	Q874	178
Uganda	843.0	Q1036	179
Ukraine	50.0	Q212	180
United Arab Emirates	20000.0	Q878	181
United Kingdom	1.303	Q145	182
United States	4.774	Q30	183
Uruguay	-1500.0	Q77	184
Uzbekistan	-44.0	Q265	185
Vanuatu	1.0	Q686	186
Venezuela, RB	-3266.0	Q717	187
Vietnam	-40000.0	Q881	188
Virgin Islands (U.S.)	-200.0	Q11703	189
West Bank and Gaza	-53.0	Q407199	190
Yemen, Rep.	-150.0	Q805	191
Zambia	-40.0	Q953	192
Zimbabwe	-584.0	Q954	193
