Country	Totalpoints	ID	id_row
Gabon	1297.0	Q1000	71
Gambia	1015.0	Q1005	72
Georgia	1274.0	Q230	73
Germany	1602.0	Q183	74
Ghana	1439.0	Q117	75
Gibraltar	886.0	Q1410	76
Greece	1413.0	Q41	77
Grenada	1015.0	Q769	78
Guam	873.0	Q16635	79
Guatemala	1104.0	Q774	80
Guinea	1328.0	Q1006	81
Guinea-Bissau	1155.0	Q1007	82
Guyana	988.0	Q734	83
Haiti	1285.0	Q790	84
Honduras	1377.0	Q783	85
Hong Kong	1072.0	Q8646	86
Hungary	1418.0	Q28	87
Iceland	1457.0	Q189	88
India	1187.0	Q668	89
Indonesia	964.0	Q252	90
IR Iran	1489.0	Q794	91
Iraq	1344.0	Q796	92
Israel	1265.0	Q801	93
Italy	1612.0	Q38	94
Jamaica	1438.0	Q766	95
Japan	1500.0	Q17	96
Jordan	1238.0	Q810	97
Kazakhstan	1156.0	Q232	98
Kenya	1199.0	Q114	99
Korea DPR	1170.0	Q423	100
Korea Republic	1464.0	Q884	101
Kosovo	1167.0	Q1246	102
Kuwait	1060.0	Q817	103
Kyrgyz Republic	1240.0	Q813	104
Laos	912.0	Q819	105
Latvia	1076.0	Q211	106
Lebanon	1269.0	Q822	107
Lesotho	1074.0	Q1013	108
Liberia	1047.0	Q1014	109
Libya	1215.0	Q1016	110
Liechtenstein	932.0	Q347	111
Lithuania	1093.0	Q37	112
Luxembourg	1237.0	Q32	113
Macau	922.0	Q14773	114
Madagascar	1267.0	Q1019	115
Malawi	1141.0	Q1020	116
Malaysia	1040.0	Q833	117
Maldives	1038.0	Q826	118
Mali	1389.0	Q912	119
Malta	917.0	Q233	120
Mauritania	1223.0	Q1025	121
Mauritius	965.0	Q1027	122
Mexico	1621.0	Q96	123
Moldova	959.0	Q217	124
Mongolia	906.0	Q711	125
Montenegro	1376.0	Q236	126
Montserrat	921.0	Q13353	127
Morocco	1456.0	Q1028	128
Mozambique	1200.0	Q1029	129
Myanmar	1081.0	Q836	130
Namibia	1160.0	Q1030	131
Nepal	974.0	Q837	132
Netherlands	1603.0	Q55	133
New Caledonia	1035.0	Q33788	134
New Zealand	1149.0	Q664	135
Nicaragua	1051.0	Q811	136
Niger	1179.0	Q1032	137
Nigeria	1493.0	Q1033	138
North Macedonia	1351.0	Q221	139
Northern Ireland	1468.0	Q26	140
Norway	1452.0	Q20	141
Oman	1303.0	Q842	142
Pakistan	867.0	Q843	143
Palestine	1204.0	Q219060	144
Panama	1305.0	Q804	145
Papua New Guinea	991.0	Q691	146
Paraguay	1461.0	Q733	147
Peru	1544.0	Q419	148
Philippines	1136.0	Q928	149
Poland	1558.0	Q36	150
Portugal	1653.0	Q45	151
Puerto Rico	941.0	Q1183	152
Qatar	1396.0	Q846	153
Republic of Ireland	1475.0	Q27	154
Romania	1483.0	Q218	155
Russia	1485.0	Q159	156
Rwanda	1089.0	Q1037	157
Samoa	894.0	Q683	158
San Marino	811.0	Q238	159
Saudi Arabia	1351.0	Q851	160
Scotland	1428.0	Q22	161
Senegal	1555.0	Q1041	162
Serbia	1486.0	Q403	163
Seychelles	866.0	Q1042	164
Sierra Leone	1155.0	Q1044	165
Singapore	1020.0	Q334	166
Slovakia	1479.0	Q214	167
Slovenia	1368.0	Q215	168
Solomon Islands	1073.0	Q685	169
Somalia	879.0	Q1045	170
South Africa	1334.0	Q258	171
South Sudan	983.0	Q958	172
Spain	1642.0	Q29	173
Sri Lanka	853.0	Q854	174
St. Kitts and Nevis	1074.0	Q763	175
St. Lucia	953.0	Q760	176
St. Vincent and the Grenadines	986.0	Q757	177
Sudan	1112.0	Q1049	178
Suriname	1073.0	Q730	179
Sweden	1567.0	Q34	180
Switzerland	1600.0	Q39	181
Syria	1314.0	Q858	182
São Tomé and Príncipe	923.0	Q1039	183
Tahiti	1014.0	Q42000	184
Tajikistan	1148.0	Q863	185
Tanzania	1086.0	Q924	186
Thailand	1178.0	Q869	187
Timor-Leste	879.0	Q574	188
Togo	1127.0	Q945	189
Tonga	862.0	Q678	190
Trinidad and Tobago	1201.0	Q754	191
Tunisia	1506.0	Q948	192
Turkey	1485.0	Q43	193
Turkmenistan	1107.0	Q874	194
Turks and Caicos Islands	862.0	Q18221	195
Uganda	1321.0	Q1036	196
Ukraine	1539.0	Q212	197
United Arab Emirates	1334.0	Q878	198
Uruguay	1645.0	Q77	199
US Virgin Islands	844.0	Q11703	200
USA	1542.0	Q30	201
Uzbekistan	1290.0	Q265	202
Vanuatu	996.0	Q686	203
Venezuela	1517.0	Q717	204
Vietnam	1258.0	Q881	205
Wales	1550.0	Q25	206
Yemen	1071.0	Q805	207
Zambia	1279.0	Q953	208
Zimbabwe	1180.0	Q954	209
