Country	Externalhealthexpenditure	ID	id_row
Netherlands	0.0	Q55	117
New Zealand	0.0	Q664	118
Nicaragua	7.5	Q811	119
Niger	16.5	Q1032	120
Nigeria	7.9	Q1033	121
North Macedonia	0.4	Q221	122
Norway	0.0	Q20	123
Oman	0.0	Q842	124
Pakistan	1.7	Q843	125
Palau	14.4	Q695	126
Panama	0.5	Q804	127
Papua New Guinea	15.6	Q691	128
Paraguay	0.3	Q733	129
Peru	0.2	Q419	130
Philippines	2.6	Q928	131
Poland	0.0	Q36	132
Portugal	0.0	Q45	133
Qatar	0.0	Q846	134
Romania	0.0	Q218	135
Russian Federation	0.0	Q159	136
Rwanda	50.4	Q1037	137
Samoa	13.1	Q683	138
San Marino	0.0	Q238	139
Sao Tome and Principe	38.9	Q1039	140
Saudi Arabia	0.0	Q851	141
Senegal	16.7	Q1041	142
Serbia	0.2	Q403	143
Seychelles	0.6	Q1042	144
Sierra Leone	18.7	Q1044	145
Singapore	0.0	Q334	146
Slovak Republic	0.0	Q214	147
Slovenia	0.0	Q215	148
Solomon Islands	23.4	Q685	149
South Africa	2.0	Q258	150
South Sudan	68.1	Q958	151
Spain	0.0	Q29	152
Sri Lanka	1.3	Q854	153
St. Kitts and Nevis	0.0	Q763	154
St. Lucia	0.2	Q760	155
St. Vincent and the Grenadines	1.2	Q757	156
Sudan	5.4	Q1049	157
Suriname	0.3	Q730	158
Sweden	0.0	Q34	159
Switzerland	0.0	Q39	160
Tajikistan	7.7	Q863	161
Tanzania	31.8	Q924	162
Thailand	0.2	Q869	163
Timor-Leste	22.4	Q574	164
Togo	13.7	Q945	165
Tonga	27.4	Q678	166
Trinidad and Tobago	0.0	Q754	167
Tunisia	0.4	Q948	168
Turkey	0.0	Q43	169
Turkmenistan	0.1	Q874	170
Tuvalu	26.8	Q672	171
Uganda	42.5	Q1036	172
Ukraine	1.7	Q212	173
United Arab Emirates	0.0	Q878	174
United Kingdom	0.0	Q145	175
United States	0.0	Q30	176
Uruguay	0.0	Q77	177
Uzbekistan	2.6	Q265	178
Vanuatu	26.2	Q686	179
Venezuela, RB	0.0	Q717	180
Vietnam	2.0	Q881	181
Yemen, Rep.	7.8	Q805	182
Zambia	42.6	Q953	183
Zimbabwe	14.7	Q954	184
