Country	Receipts2012	Receipts2018	Receipts2012	Receipts2018	ID	id_row
Croatia	8912.0	12075.0	38.1	39.3	Q224	37
Curacao	676.0	605.0	28.8	31.5	Q25279	38
Cyprus	2603.0	3449.0	18.9	18.9	Q229	39
Czech Republic	8174.0	8291.0	5.2	4.3	Q213	40
Denmark	6135.0	9097.0	3.4	4.6	Q35	41
Djibouti	21.0	57.0	4.5	1.2	Q977	42
Dominica	76.0	111.0	47.4	68.5	Q784	43
Dominican Republic	4687.0	7561.0	31.1	37.4	Q786	44
Ecuador	1039.0	1878.0	3.9	7.4	Q736	45
Egypt. Arab Rep.	10823.0	12704.0	22.3	24.6	Q79	46
El Salvador	900.0	1370.0	14.7	18.2	Q792	47
Estonia	1286.0	2332.0	6.5	10.2	Q191	48
Ethiopia	1980.0	3548.0	33.0	46.5	Q115	49
Fiji	989.0	1370.0	40.7	51.3	Q712	50
Finland	5419.0	5663.0	5.3	5.3	Q33	51
France	63975.0	73125.0	8.0	8.1	Q142	52
Gambia. The	104.0	168.0	37.9	48.3	Q1005	53
Georgia	1565.0	3518.0	26.0	39.5	Q230	54
Germany	51626.0	60260.0	3.2	3.2	Q183	55
Ghana	1154.0	996.0	6.9	4.4	Q117	56
Greece	14665.0	21594.0	23.2	26.4	Q41	57
Grenada	122.0	548.0	59.1	84.3	Q769	58
Guatemala	1419.0	1553.0	12.5	11.6	Q774	59
Guinea	2.0	8.0	0.1	0.2	Q1006	60
Guinea-Bissau	7.0	20.0	4.4	5.3	Q1007	61
Guyana	64.0	28.0	3.7	1.8	Q734	62
Haiti	447.0	620.0	33.7	34.9	Q790	63
Honduras	684.0	745.0	10.3	10.2	Q783	64
Hungary	6149.0	9595.0	5.6	7.1	Q28	65
Iceland	865.0	3128.0	10.7	25.6	Q189	66
India	18340.0	29143.0	4.1	5.4	Q668	67
Indonesia	9463.0	15600.0	4.5	7.4	Q252	68
Iraq	1640.0	1986.0	1.7	2.2	Q796	69
Ireland	9060.0	14658.0	4.0	3.1	Q27	70
Israel	6165.0	8073.0	6.7	7.4	Q801	71
Italy	40943.0	51602.0	6.9	7.9	Q38	72
Jamaica	2069.0	3099.0	46.1	53.4	Q766	73
Japan	16197.0	45276.0	1.8	4.9	Q17	74
Jordan	5123.0	6221.0	35.8	41.3	Q810	75
Kazakhstan	2154.0	2651.0	2.3	3.9	Q232	76
Korea. Rep.	18731.0	19856.0	2.7	2.7	Q884	77
Kuwait	780.0	919.0	0.6	1.1	Q817	78
Kyrgyz Republic	486.0	487.0	13.9	17.8	Q813	79
Lao PDR	461.0	757.0	16.2	12.2	Q819	80
Latvia	744.0	1057.0	4.3	5.0	Q211	81
Lebanon	7361.0	8694.0	36.6	45.4	Q822	82
Lesotho	22.0	24.0	2.2	1.9	Q1013	83
Lithuania	1317.0	1419.0	3.9	3.2	Q37	84
Luxembourg	5395.0	5537.0	5.2	4.1	Q32	85
North Macedonia	237.0	387.0	5.5	5.1	Q221	86
Madagascar	596.0	879.0	21.2	20.2	Q1019	87
Malawi	35.0	43.0	2.5	3.8	Q1020	88
Malaysia	21711.0	21774.0	8.7	8.8	Q833	89
Maldives	2032.0	3054.0	81.7	82.7	Q826	90
Malta	1260.0	1845.0	8.3	8.7	Q233	91
Marshall Islands	4.0	20.0	3.5	15.6	Q709	92
Mauritania	50.0	6.0	1.8	0.3	Q1025	93
Mauritius	1778.0	2161.0	29.4	38.9	Q1027	94
Mexico	13320.0	23802.0	3.4	5.0	Q96	95
Moldova	279.0	500.0	10.3	14.5	Q217	96
Mongolia	215.0	526.0	4.8	6.8	Q711	97
Montenegro	860.0	1224.0	50.6	52.2	Q236	98
Morocco	8491.0	9523.0	26.3	22.0	Q1028	99
Mozambique	224.0	331.0	4.8	5.5	Q1029	100
Myanmar	550.0	1670.0	5.8	10.6	Q836	101
Namibia	635.0	488.0	12.5	9.9	Q1030	102
Nepal	379.0	744.0	19.7	27.8	Q837	103
Netherlands	17675.0	25850.0	2.6	3.4	Q55	104
New Zealand	7142.0	10961.0	14.1	19.1	Q664	105
Nicaragua	421.0	544.0	8.4	9.9	Q811	106
Nigeria	638.0	1977.0	0.6	2.9	Q1033	107
Norway	6784.0	7096.0	3.3	4.3	Q20	108
Oman	1723.0	2975.0	3.1	6.4	Q842	109
Pakistan	1014.0	818.0	3.2	2.7	Q843	110
Panama	4585.0	5615.0	14.7	19.7	Q804	111
Paraguay	291.0	393.0	2.4	2.7	Q733	112
Peru	3074.0	4894.0	6.0	8.7	Q419	113
Philippines	4963.0	9730.0	7.4	10.8	Q928	114
Poland	11889.0	15748.0	5.3	4.8	Q36	115
Portugal	14578.0	24105.0	17.7	22.8	Q45	116
Qatar	7220.0	15239.0	5.1	14.9	Q846	117
Romania	1904.0	3261.0	3.0	3.2	Q218	118
Russian Federation	17876.0	18670.0	3.0	3.7	Q159	119
Rwanda	337.0	528.0	30.4	25.8	Q1037	120
Samoa	148.0	191.0	66.7	62.6	Q683	121
Sao Tome and Principe	15.0	72.0	45.5	73.2	Q1039	122
Saudi Arabia	8400.0	16975.0	2.1	5.4	Q851	123
Serbia	1080.0	1921.0	7.3	7.7	Q403	124
Seychelles	429.0	611.0	34.8	36.4	Q1042	125
Sierra Leone	47.0	39.0	3.8	5.2	Q1044	126
Singapore	18795.0	20416.0	3.2	3.1	Q334	127
Sint Maarten (Dutch part)	854.0	468.0	73.0	57.8	Q26273	128
Slovak Republic	2365.0	3318.0	2.8	3.3	Q214	129
Slovenia	2793.0	3378.0	8.2	7.3	Q215	130
Solomon Islands	65.0	92.0	10.6	13.5	Q685	131
South Africa	11202.0	9789.0	9.5	8.9	Q258	132
Spain	62936.0	81250.0	15.1	16.3	Q29	133
Sri Lanka	1756.0	5608.0	12.9	27.7	Q854	134
St. Kitts and Nevis	95.0	367.0	36.9	60.6	Q763	135
St. Lucia	337.0	989.0	55.8	81.3	Q760	136
St. Vincent and the Grenadines	94.0	241.0	49.9	76.3	Q757	137
Sudan	772.0	1043.0	15.1	20.9	Q1049	138
Suriname	79.0	73.0	2.8	3.2	Q730	139
Eswatini	29.0	16.0	1.6	0.9	Q1050	140
Sweden	10104.0	14926.0	4.1	5.9	Q34	141
Switzerland	19594.0	20276.0	4.4	4.4	Q39	142
Tajikistan	287.0	171.0	21.8	15.3	Q863	143
Tanzania	1754.0	2465.0	20.2	29.4	Q924	144
Thailand	34565.0	65242.0	12.6	19.9	Q869	145
Timor-Leste	21.0	78.0	20.4	64.0	Q574	146
Tonga	40.0	48.0	49.8	45.9	Q678	147
Trinidad and Tobago	852.0	541.0	4.8	4.8	Q754	148
Tunisia	2931.0	2320.0	13.2	11.9	Q948	149
Turkey	31566.0	37140.0	15.4	15.6	Q43	150
Uganda	1157.0	1044.0	23.4	18.5	Q1036	151
Ukraine	5988.0	2269.0	6.9	3.8	Q212	152
United Kingdom	40927.0	48515.0	5.0	5.5	Q145	153
United States	200997.0	256145.0	9.1	10.2	Q30	154
Uruguay	2439.0	2439.0	13.5	14.9	Q77	155
Vanuatu	268.0	325.0	75.2	62.8	Q686	156
Vietnam	6850.0	10080.0	5.5	3.9	Q881	157
West Bank and Gaza	469.0	245.0	25.1	8.4	Q407199	158
Zambia	518.0	742.0	4.9	7.4	Q953	159
