Country	Consumption20002018	Consumption20172018	ID	id_row
Russian Federation	-1.3	7.8	Q159	136
Rwanda	2.6	2.6	Q1037	137
Samoa	-1.5	0.9	Q683	138
Sao Tome and Principe	10.0	-4.0	Q1039	139
Saudi Arabia	1.2	-9.0	Q851	140
Senegal	0.7	4.3	Q1041	141
Serbia	-1.0	-1.1	Q403	142
Seychelles	0.8	-1.1	Q1042	143
Sierra Leone	-0.8	3.2	Q1044	144
Singapore	-0.2	3.7	Q334	145
Slovak Republic	-0.5	4.9	Q214	146
Slovenia	0.5	-1.9	Q215	147
Solomon Islands	0.4	-0.5	Q685	148
South Africa	0.5	1.3	Q258	149
Spain	1.4	0.0	Q29	150
Sri Lanka	2.0	0.3	Q854	151
St. Kitts and Nevis	0.3	0.9	Q763	152
St. Lucia	-1.4	-0.9	Q760	153
St. Vincent and the Grenadines	-0.3	1.0	Q757	154
Sudan	-1.1	-1.3	Q1049	155
Suriname	0.9	-2.2	Q730	156
Sweden	0.4	1.7	Q34	157
Switzerland	0.3	5.6	Q39	158
Tajikistan	-4.6	-0.7	Q863	159
Tanzania	1.4	5.0	Q924	160
Thailand	0.3	2.3	Q869	161
Timor-Leste	-0.4	1.7	Q574	162
Togo	7.1	4.1	Q945	163
Tonga	0.4	0.9	Q678	164
Trinidad and Tobago	-1.1	5.9	Q754	165
Tunisia	0.7	1.0	Q948	166
Turkey	0.0	6.4	Q43	167
Turkmenistan	2.0	0.1	Q874	168
Tuvalu	1.6	-1.1	Q672	169
Uganda	9.3	4.9	Q1036	170
Ukraine	-2.2	0.2	Q212	171
United Arab Emirates	-5.7	0.3	Q878	172
United Kingdom	0.8	1.2	Q145	173
United States	0.4	0.4	Q30	174
Uruguay	6.9	9.1	Q77	175
Uzbekistan	-2.3	1.3	Q265	176
Vanuatu	-0.3	-2.0	Q686	177
Vietnam	1.5	1.1	Q881	178
Zambia	0.2	0.0	Q953	179
Zimbabwe	0.7	-8.6	Q954	180
