Country	EthnicFractionalization	LinguisticFractionalization	ReligiousFractionalization	ID	id_row
French Polynesia	0.0	607.8	581.3	Q30971	66
Gabon	769.0	782.1	667.4	Q1000	67
Gambia	786.4	807.6	97.0	Q1005	68
Gaza Strip	0.0	10.4	34.2	Q39760	69
Georgia	492.3	474.9	654.3	Q230	70
Germany	168.2	164.2	657.1	Q183	71
Ghana	673.3	673.1	798.7	Q117	72
Greece	157.6	30.0	153.0	Q41	73
Greenland	0.0	218.8	459.2	Q223	74
Grenada	266.1	0.0	589.8	Q769	75
Guadeloupe	0.0	93.3	306.9	Q3118683	76
Guam	0.0	732.0	408.2	Q16635	77
Guatemala	512.2	458.6	375.3	Q774	78
Guinea	738.9	772.5	264.9	Q1006	79
Guinea-Bissau	808.2	814.1	612.8	Q1007	80
Guyana	619.5	68.8	787.6	Q734	81
Haiti	95.0	0.0	470.4	Q790	82
Honduras	186.7	55.3	235.7	Q783	83
Hong Kong	62.0	212.8	419.1	Q8646	84
Hungary	152.2	29.7	524.4	Q28	85
Iceland	79.8	82.0	191.3	Q189	86
India	418.2	806.9	326.0	Q668	87
Indonesia	735.1	768.0	234.0	Q252	88
Iran	668.4	746.2	115.2	Q794	89
Iraq	368.9	369.4	484.4	Q796	90
Ireland	120.6	31.2	155.0	Q27	91
Isle of Man	0.0	0.0	472.9	Q9676	92
Israel	343.6	552.5	346.9	Q801	93
Italy	114.5	114.7	302.7	Q38	94
Jamaica	412.9	109.8	616.0	Q766	95
Japan	11.9	17.8	540.6	Q17	96
Jersey	0.0	0.0	547.9	Q785	97
Jordan	592.6	39.6	65.9	Q810	98
Kazakhstan	617.1	662.1	589.8	Q232	99
Kenya	858.8	886.0	776.5	Q114	100
Kiribati	51.1	23.7	554.1	Q710	101
South Korea	39.2	2.8	489.1	Q884	102
North Korea	2.0	2.1	660.4	Q423	103
Kyrgyzstan	675.2	594.9	447.0	Q813	104
Kuwait	660.4	344.4	674.5	Q817	105
Laos	513.9	638.2	545.3	Q819	106
Latvia	586.7	579.5	555.6	Q211	107
Lebanon	131.4	131.2	788.6	Q822	108
Lesotho	255.0	254.3	721.1	Q1013	109
Liberia	908.4	903.8	488.3	Q1014	110
Libya	792.0	75.8	57.0	Q1016	111
Liechtenstein	572.6	224.6	334.3	Q347	112
Lithuania	322.3	321.9	414.1	Q37	113
Luxembourg	530.2	644.0	91.1	Q32	114
Macau	0.0	251.9	551.1	Q14773	115
Macedonia	502.3	502.1	589.9	Q221	116
Madagascar	879.1	20.4	519.1	Q1019	117
Malawi	674.4	602.3	819.2	Q1020	118
Malaysia	588.0	597.0	665.7	Q833	119
Mali	690.6	838.8	182.0	Q912	120
Malta	41.4	90.7	122.3	Q233	121
Marshall Islands	60.3	73.4	520.7	Q709	122
Martinique	0.0	0.0	233.6	Q17054	123
Mauritania	615.0	326.0	14.9	Q1025	124
Mauritius	463.4	454.7	638.5	Q1027	125
Mayotte	0.0	721.2	62.0	Q17063	126
Mexico	541.8	151.1	179.6	Q96	127
F.S. Micronesia	700.5	748.3	646.9	Q702	128
Moldova	553.5	553.3	560.3	Q217	129
Monaco	683.8	730.5	304.7	Q235	130
Mongolia	368.2	373.4	79.9	Q711	131
Morocco	484.1	468.3	3.5	Q1028	132
Mozambique	693.2	812.5	675.9	Q1029	133
Burma	506.2	507.2	197.4	Q836	134
Namibia	632.9	700.5	662.6	Q1030	135
Nauru	583.2	616.1	619.4	Q697	136
Nepal	663.2	716.7	141.7	Q837	137
Netherlands	105.4	514.3	722.2	Q55	138
New Caledonia	0.0	663.3	546.2	Q33788	139
New Zealand	396.9	165.7	811.0	Q664	140
Nicaragua	484.4	47.3	429.0	Q811	141
Niger	651.8	651.9	201.3	Q1032	142
Nigeria	850.5	831.6	742.1	Q1033	143
Northern Mariana Islands	0.0	775.4	481.1	Q16644	144
Norway	58.6	67.3	204.8	Q20	145
Oman	437.3	356.7	432.2	Q842	146
Pakistan	709.8	719.0	384.8	Q843	147
Palau	431.2	315.7	714.7	Q695	148
Panama	552.8	387.3	333.8	Q804	149
Papua New Guinea	271.8	352.6	552.3	Q691	150
Paraguay	168.9	597.5	212.3	Q733	151
Peru	656.6	335.8	198.8	Q419	152
Philippines	238.5	836.0	305.6	Q928	153
Poland	118.3	46.8	171.2	Q36	154
Portugal	46.8	19.8	143.8	Q45	155
Puerto Rico	0.0	35.2	495.2	Q1183	156
Qatar	745.6	480.0	95.0	Q846	157
Réunion	0.0	157.8	195.2	Q17070	158
Romania	306.9	172.3	237.3	Q218	159
Russia	245.2	248.5	439.8	Q159	160
Rwanda	323.8	0.0	506.6	Q1037	161
Saint Lucia	176.9	316.9	332.0	Q760	162
Saint Vincent and the Grenadines	306.6	17.5	702.8	Q757	163
Western Samoa	137.6	11.1	787.1	Q683	164
San Marino	292.7	0.0	197.5	Q238	165
São Tomé and Príncipe	0.0	232.2	186.6	Q1039	166
Saudi Arabia	180.0	94.9	127.0	Q851	167
Senegal	693.9	708.1	149.7	Q1041	168
Serbia	573.6	0.0	0.0	Q403	169
Seychelles	202.5	160.6	232.3	Q1042	170
Sierra Leone	819.1	763.4	539.5	Q1044	171
Singapore	385.7	383.5	656.1	Q334	172
Slovakia	253.9	255.1	565.5	Q214	173
Slovenia	221.6	220.1	286.8	Q215	174
Solomon Islands	111.0	525.4	670.8	Q685	175
Somalia	811.7	32.6	2.8	Q1045	176
South Africa	751.7	865.2	860.3	Q258	177
Spain	416.5	413.2	451.4	Q29	178
Sri Lanka	415.0	464.5	485.3	Q854	179
Saint Kitts and Nevis	184.2	0.0	661.4	Q763	180
Sudan	714.7	719.0	430.7	Q1049	181
Suriname	733.2	331.0	791.0	Q730	182
Swaziland	58.2	172.2	444.4	Q1050	183
Sweden	60.0	196.8	234.2	Q34	184
Switzerland	531.4	544.1	608.3	Q39	185
Syria	539.9	181.7	431.0	Q858	186
Taiwan	274.4	502.8	684.5	Q865	187
Tajikistan	510.7	547.3	338.6	Q863	188
Tanzania	735.3	898.3	633.4	Q924	189
Thailand	633.8	634.4	99.4	Q869	190
Togo	709.9	898.0	659.6	Q945	191
Tonga	86.9	378.2	621.4	Q678	192
Trinidad and Tobago	647.5	125.1	793.6	Q754	193
Tunisia	39.4	12.4	10.4	Q948	194
Turkey	320.0	221.6	4.9	Q43	195
Turkmenistan	391.8	398.4	232.7	Q874	196
Tuvalu	162.9	137.2	252.4	Q672	197
Uganda	930.2	922.7	633.2	Q1036	198
Ukraine	473.7	474.1	615.7	Q212	199
United Arab Emirates	625.2	487.4	331.0	Q878	200
United Kingdom	121.1	53.2	694.4	Q145	201
United States	490.1	564.7	824.1	Q30	202
Uruguay	250.4	81.7	354.8	Q77	203
Uzbekistan	412.5	412.0	213.3	Q265	204
Vanuatu	41.3	579.4	704.4	Q686	205
Venezuela	496.6	68.6	135.0	Q717	206
Vietnam	238.3	237.7	508.0	Q881	207
U.S. Virgin Islands	0.0	314.0	635.9	Q11703	208
West Bank	0.0	143.8	309.5	Q36678	209
Yemen	0.0	8.0	2.3	Q805	210
Zambia	780.8	873.4	735.9	Q953	211
Zimbabwe	387.4	447.2	736.3	Q954	212
