Country	MortalityRate1990	MortalityRate2019	ID	id_row
Switzerland	4.0	3.0	Q39	165
Syrian Arab Republic	16.0	11.0	Q858	166
Tajikistan	31.0	15.0	Q863	167
Tanzania	40.0	20.0	Q924	168
Thailand	21.0	5.0	Q869	169
Timor-Leste	55.0	20.0	Q574	170
Togo	43.0	25.0	Q945	171
Tonga	10.0	7.0	Q678	172
Trinidad and Tobago	20.0	12.0	Q754	173
Tunisia	28.0	12.0	Q948	174
Turkey	33.0	5.0	Q43	175
Turkmenistan	27.0	24.0	Q874	176
Tuvalu	28.0	16.0	Q672	177
Uganda	39.0	20.0	Q1036	178
Ukraine	12.0	5.0	Q212	179
United Arab Emirates	8.0	4.0	Q878	180
United Kingdom	5.0	3.0	Q145	181
United States	6.0	4.0	Q30	182
Uruguay	12.0	4.0	Q77	183
Uzbekistan	31.0	10.0	Q265	184
Vanuatu	16.0	11.0	Q686	185
Venezuela, RB	13.0	15.0	Q717	186
Vietnam	23.0	11.0	Q881	187
West Bank and Gaza	22.0	11.0	Q407199	188
Yemen, Rep.	43.0	27.0	Q805	189
Zambia	36.0	23.0	Q953	190
Zimbabwe	25.0	26.0	Q954	191
