Country	Measles	DTP3	ID	id_row
Iceland	93.0	91.0	Q189	75
India	95.0	91.0	Q668	76
Indonesia	88.0	85.0	Q252	77
Iran, Islamic Rep.	99.0	99.0	Q794	78
Iraq	82.0	84.0	Q796	79
Ireland	91.0	94.0	Q27	80
Israel	98.0	98.0	Q801	81
Italy	94.0	95.0	Q38	82
Jamaica	94.0	96.0	Q766	83
Japan	96.0	98.0	Q17	84
Jordan	87.0	89.0	Q810	85
Kazakhstan	99.0	97.0	Q232	86
Kenya	89.0	92.0	Q114	87
Kiribati	94.0	97.0	Q710	88
Korea, Dem. Peopleâ€™s Rep.	98.0	97.0	Q423	89
Korea, Rep.	98.0	98.0	Q884	90
Kuwait	98.0	91.0	Q817	91
Kyrgyz Republic	96.0	95.0	Q813	92
Lao PDR	69.0	68.0	Q819	93
Latvia	99.0	99.0	Q211	94
Lebanon	82.0	83.0	Q822	95
Lesotho	90.0	87.0	Q1013	96
Liberia	85.0	74.0	Q1014	97
Libya	73.0	73.0	Q1016	98
Lithuania	93.0	92.0	Q37	99
Luxembourg	99.0	99.0	Q32	100
Madagascar	69.0	79.0	Q1019	101
Malawi	92.0	95.0	Q1020	102
Malaysia	97.0	98.0	Q833	103
Maldives	99.0	99.0	Q826	104
Mali	70.0	77.0	Q912	105
Malta	96.0	98.0	Q233	106
Marshall Islands	85.0	79.0	Q709	107
Mauritania	78.0	81.0	Q1025	108
Mauritius	99.0	96.0	Q1027	109
Mexico	73.0	82.0	Q96	110
Micronesia, Fed. Sts.	78.0	78.0	Q702	111
Moldova	97.0	91.0	Q217	112
Monaco	88.0	99.0	Q235	113
Mongolia	98.0	98.0	Q711	114
Montenegro	42.0	86.0	Q236	115
Morocco	99.0	99.0	Q1028	116
Mozambique	87.0	88.0	Q1029	117
Myanmar	84.0	90.0	Q836	118
Namibia	80.0	87.0	Q1030	119
Nepal	92.0	93.0	Q837	120
Netherlands	94.0	94.0	Q55	121
New Zealand	92.0	92.0	Q664	122
Nicaragua	99.0	98.0	Q811	123
Niger	79.0	81.0	Q1032	124
Nigeria	54.0	57.0	Q1033	125
North Macedonia	75.0	92.0	Q221	126
Norway	97.0	97.0	Q20	127
Oman	99.0	99.0	Q842	128
Pakistan	75.0	75.0	Q843	129
Palau	97.0	97.0	Q695	130
Panama	97.0	88.0	Q804	131
Papua New Guinea	37.0	35.0	Q691	132
Paraguay	87.0	86.0	Q733	133
Peru	85.0	88.0	Q419	134
Philippines	67.0	65.0	Q928	135
Poland	93.0	95.0	Q36	136
Portugal	99.0	99.0	Q45	137
Qatar	99.0	98.0	Q846	138
Romania	90.0	88.0	Q218	139
Russian Federation	98.0	97.0	Q159	140
Rwanda	96.0	98.0	Q1037	141
Samoa	87.0	58.0	Q683	142
San Marino	86.0	88.0	Q238	143
Sao Tome and Principe	95.0	95.0	Q1039	144
Saudi Arabia	95.0	96.0	Q851	145
Senegal	90.0	93.0	Q1041	146
Serbia	87.0	97.0	Q403	147
Seychelles	99.0	99.0	Q1042	148
Sierra Leone	93.0	95.0	Q1044	149
Singapore	95.0	96.0	Q334	150
Slovak Republic	96.0	97.0	Q214	151
Slovenia	94.0	95.0	Q215	152
Solomon Islands	81.0	94.0	Q685	153
Somalia	46.0	42.0	Q1045	154
South Africa	72.0	77.0	Q258	155
South Sudan	49.0	49.0	Q958	156
Spain	98.0	96.0	Q29	157
Sri Lanka	99.0	99.0	Q854	158
St. Kitts and Nevis	97.0	96.0	Q763	159
St. Lucia	96.0	92.0	Q760	160
St. Vincent and the Grenadines	99.0	97.0	Q757	161
Sudan	90.0	93.0	Q1049	162
Suriname	64.0	77.0	Q730	163
Sweden	97.0	98.0	Q34	164
Switzerland	95.0	96.0	Q39	165
Syrian Arab Republic	59.0	54.0	Q858	166
Tajikistan	98.0	97.0	Q863	167
Tanzania	88.0	89.0	Q924	168
Thailand	96.0	97.0	Q869	169
Timor-Leste	85.0	83.0	Q574	170
Togo	75.0	84.0	Q945	171
Tonga	99.0	99.0	Q678	172
Trinidad and Tobago	99.0	93.0	Q754	173
Tunisia	95.0	92.0	Q948	174
Turkey	97.0	99.0	Q43	175
Turkmenistan	99.0	99.0	Q874	176
Tuvalu	96.0	92.0	Q672	177
Uganda	87.0	93.0	Q1036	178
Ukraine	93.0	80.0	Q212	179
United Arab Emirates	99.0	99.0	Q878	180
United Kingdom	91.0	93.0	Q145	181
United States	90.0	94.0	Q30	182
Uruguay	96.0	94.0	Q77	183
Uzbekistan	98.0	96.0	Q265	184
Vanuatu	80.0	90.0	Q686	185
Venezuela, RB	93.0	64.0	Q717	186
Vietnam	95.0	89.0	Q881	187
Yemen, Rep.	67.0	73.0	Q805	188
Zambia	93.0	88.0	Q953	189
Zimbabwe	85.0	90.0	Q954	190
