Country	percapita	ID	id_row
Lesotho	1.2	Q1013	106
Liberia	0.3	Q1014	107
Libya	9.4	Q1016	108
Liechtenstein	1.3	Q347	109
Lithuania	4.4	Q37	110
Luxembourg	17.4	Q32	111
Madagascar	3.6	Q1019	112
Malawi	0.1	Q1020	113
Malaysia	0.1	Q833	114
Maldives	8.1	Q826	115
Mali	3.0	Q912	116
Malta	0.2	Q233	117
Marshall Islands	5.4	Q709	118
Mauritania	2.5	Q1025	119
Mauritius	0.7	Q1027	120
Mexico	3.3	Q96	121
Micronesia, Fed. Sts.	4.0	Q702	122
Moldova	1.3	Q217	123
Monaco	1.7	Q235	124
Montenegro	10.1	Q236	125
Morocco	3.4	Q1028	126
Mozambique	1.8	Q1029	127
Myanmar	0.3	Q836	128
Namibia	0.3	Q1030	129
Nepal	1.6	Q837	130
Netherlands	0.3	Q55	131
New Caledonia	10.0	Q33788	132
New Zealand	18.2	Q664	133
Nicaragua	7.7	Q811	134
Niger	0.8	Q1032	135
Nigeria	0.1	Q1033	136
North Macedonia	0.7	Q221	137
Norway	9.3	Q20	138
Oman	15.2	Q842	139
Pakistan	0.9	Q843	140
Palau	12.7	Q695	141
Panama	2.8	Q804	142
Papua New Guinea	0.7	Q691	143
Paraguay	0.9	Q733	144
Peru	1.7	Q419	145
Philippines	1.0	Q928	146
Poland	7.5	Q36	147
Portugal	4.3	Q45	148
Qatar	43.5	Q846	149
Romania	3.5	Q218	150
Russian Federation	12.1	Q159	151
Rwanda	0.1	Q1037	152
Samoa	1.1	Q683	153
Sao Tome and Principe	0.6	Q1039	154
Saudi Arabia	19.4	Q851	155
Senegal	0.7	Q1041	156
Serbia	5.2	Q403	157
Seychelles	5.3	Q1042	158
Sierra Leone	0.2	Q1044	159
Singapore	10.4	Q334	160
Sint Maarten (Dutch part)	19.5	Q26273	161
Slovak Republic	5.7	Q214	162
Slovenia	6.1	Q215	163
Solomon Islands	0.3	Q685	164
Somalia	0.0	Q1045	165
South Africa	8.9	Q258	166
South Sudan	0.1	Q958	167
Spain	5.0	Q29	168
Sri Lanka	0.9	Q854	169
St. Kitts and Nevis	4.5	Q763	170
St. Lucia	2.3	Q760	171
St. Vincent and the Grenadines	2.0	Q757	172
Sudan	0.3	Q1049	173
Suriname	4.1	Q730	174
Sweden	4.5	Q34	175
Switzerland	4.4	Q39	176
Syrian Arab Republic	1.6	Q858	177
Tajikistan	0.6	Q863	178
Tanzania	0.2	Q924	179
Thailand	4.1	Q869	180
Timor-Leste	0.4	Q574	181
Togo	0.4	Q945	182
Tonga	1.1	Q678	183
Trinidad and Tobago	34.0	Q754	184
Tunisia	2.6	Q948	185
Turkey	4.5	Q43	186
Turkmenistan	12.5	Q874	187
Turks and Caicos Islands	5.6	Q18221	188
Tuvalu	1.0	Q672	189
Uganda	0.1	Q1036	190
Ukraine	5.0	Q212	191
United Arab Emirates	24.5	Q878	192
United Kingdom	6.5	Q145	193
United States	16.4	Q30	194
Uruguay	2.0	Q77	195
Uzbekistan	3.4	Q265	196
Vanuatu	0.6	Q686	197
Venezuela, RB	6.2	Q717	198
Vietnam	1.8	Q881	199
West Bank and Gaza	0.7	Q407199	200
Yemen, Rep.	1.0	Q805	201
Zambia	0.3	Q953	202
Zimbabwe	0.9	Q954	203
