Country	GDP2010	GDP2019	ID	id_row
North Macedonia	10.0	9.0	Q221	125
Norway	2.0	2.0	Q20	126
Oman	1.0	3.0	Q842	127
Pakistan	23.0	22.0	Q843	128
Palau	4.0	3.0	Q695	129
Panama	4.0	2.0	Q804	130
Papua New Guinea	20.0	18.0	Q691	131
Paraguay	13.0	10.0	Q733	132
Peru	7.0	7.0	Q419	133
Philippines	14.0	9.0	Q928	134
Poland	3.0	2.0	Q36	135
Portugal	2.0	2.0	Q45	136
Puerto Rico	1.0	1.0	Q1183	137
Qatar	0.0	0.0	Q846	138
Romania	5.0	4.0	Q218	139
Russian Federation	3.0	3.0	Q159	140
Rwanda	24.0	24.0	Q1037	141
Samoa	10.0	10.0	Q683	142
Sao Tome and Principe	12.0	11.0	Q1039	143
Saudi Arabia	3.0	2.0	Q851	144
Senegal	16.0	15.0	Q1041	145
Serbia	7.0	6.0	Q403	146
Seychelles	2.0	2.0	Q1042	147
Sierra Leone	53.0	57.0	Q1044	148
Singapore	0.0	0.0	Q334	149
Sint Maarten (Dutch part)	0.0	0.0	Q26273	150
Slovak Republic	2.0	3.0	Q214	151
Slovenia	2.0	2.0	Q215	152
South Africa	2.0	2.0	Q258	153
Spain	2.0	3.0	Q29	154
Sri Lanka	8.0	7.0	Q854	155
St. Kitts and Nevis	1.0	1.0	Q763	156
St. Lucia	3.0	2.0	Q760	157
St. Vincent and the Grenadines	6.0	7.0	Q757	158
Sudan	34.0	28.0	Q1049	159
Suriname	9.0	10.0	Q730	160
Sweden	2.0	1.0	Q34	161
Switzerland	1.0	1.0	Q39	162
Tajikistan	20.0	19.0	Q863	163
Tanzania	26.0	29.0	Q924	164
Thailand	11.0	8.0	Q869	165
Timor-Leste	26.0	17.0	Q574	166
Togo	29.0	23.0	Q945	167
Trinidad and Tobago	1.0	1.0	Q754	168
Tunisia	8.0	10.0	Q948	169
Turkey	9.0	6.0	Q43	170
Turks and Caicos Islands	1.0	1.0	Q18221	171
Uganda	32.0	22.0	Q1036	172
Ukraine	7.0	9.0	Q212	173
United Arab Emirates	1.0	1.0	Q878	174
United Kingdom	1.0	1.0	Q145	175
United States	1.0	1.0	Q30	176
Uruguay	7.0	6.0	Q77	177
Uzbekistan	29.0	26.0	Q265	178
Vietnam	18.0	14.0	Q881	179
Yemen, Rep.	8.0	4.0	Q805	180
Zambia	9.0	3.0	Q953	181
Zimbabwe	10.0	8.0	Q954	182
