Country	Medianwealth	Meanwealth	Adultpopulation	ID	id_row
China	20942.0	58544.0	1090231.0	Q148	43
Mauritius	20875.0	50796.0	951.0	Q1027	44
Czech Republic	20854.0	64663.0	8509.0	Q213	45
Barbados	20497.0	64658.0	214.0	Q244	46
Bahamas	20129.0	76507.0	292.0	Q778	47
Tonga	19709.0	47889.0	59.0	Q678	48
Romania	19582.0	43074.0	15517.0	Q218	49
Chile	19231.0	56972.0	13331.0	Q298	50
Bulgaria	18948.0	42686.0	5697.0	Q219	51
Hungary	17666.0	44321.0	7803.0	Q28	52
Saudi Arabia	16599.0	67032.0	23208.0	Q851	53
Trinidad and Tobago	14888.0	41094.0	1006.0	Q754	54
Albania	14731.0	31366.0	2225.0	Q222	55
Oman	14723.0	43291.0	3608.0	Q842	56
Brunei	13634.0	44541.0	304.0	Q921	57
St. Lucia	13418.0	36586.0	133.0	Q760	58
Latvia	13348.0	60347.0	1536.0	Q211	59
Samoa	13286.0	37066.0	106.0	Q683	60
Panama	13259.0	3998.0	2711.0	Q804	61
Bosnia and Herzegovina	13037.0	27873.0	2815.0	Q225	62
Grenada	12218.0	45272.0	71.0	Q769	63
Lebanon	12198.0	55226.0	4205.0	Q822	64
Costa Rica	11793.0	33683.0	3547.0	Q800	65
Uruguay	11084.0	3032.0	2501.0	Q77	66
Jordan	10947.0	26475.0	5512.0	Q810	67
Serbia	10737.0	25046.0	6798.0	Q403	68
El Salvador	10148.0	2987.0	4087.0	Q792	69
Mexico	9944.0	31553.0	85594.0	Q96	70
Dominica	9447.0	33306.0	55.0	Q784	71
Malaysia	894.0	3127.0	21823.0	Q833	72
Maldives	8555.0	23297.0	315.0	Q826	73
Libya	833.0	19473.0	4169.0	Q1016	74
Armenia	8309.0	19517.0	2177.0	Q399	75
Sri Lanka	8283.0	20628.0	14408.0	Q854	76
Belarus	7931.0	1659.0	739.0	Q184	77
Iraq	7331.0	1654.0	19788.0	Q796	78
Turkmenistan	6974.0	15691.0	3607.0	Q874	79
Antigua and Barbuda	6961.0	24964.0	71.0	Q781	80
Jamaica	6798.0	20878.0	2002.0	Q766	81
Kazakhstan	6642.0	26317.0	12147.0	Q232	82
Turkey	6568.0	24398.0	55543.0	Q43	83
South Africa	6476.0	2138.0	36027.0	Q258	84
Ecuador	6399.0	19144.0	10725.0	Q736	85
Fiji	6126.0	15598.0	580.0	Q712	86
Vanuatu	6098.0	1509.0	157.0	Q686	87
Gabon	6035.0	15113.0	1149.0	Q1000	88
Moldova	5855.0	12804.0	3193.0	Q217	89
Equatorial Guinea	5545.0	17023.0	724.0	Q983	90
St. Vincent and the Grenadines	5508.0	20088.0	75.0	Q757	91
Namibia	5502.0	1722.0	1395.0	Q1030	92
Tunisia	5395.0	13853.0	8111.0	Q948	93
Colombia	5325.0	16411.0	34254.0	Q739	94
Solomon Islands	526.0	12933.0	321.0	Q685	95
Iran	5254.0	13437.0	57686.0	Q794	96
Georgia	5226.0	12609.0	2932.0	Q230	97
Azerbaijan	515.0	11865.0	6997.0	Q227	98
Brazil	5031.0	2355.0	150089.0	Q155	99
Peru	4989.0	17843.0	21132.0	Q419	100
Egypt	49.0	15395.0	58309.0	Q79	101
Botswana	455.0	14684.0	1409.0	Q963	102
Morocco	401.0	12929.0	23613.0	Q1028	103
Paraguay	3887.0	11865.0	4268.0	Q733	104
Bolivia	3843.0	11672.0	6678.0	Q750	105
Guyana	3829.0	11349.0	482.0	Q734	106
Russia	3683.0	27381.0	111481.0	Q159	107
Vietnam	3679.0	11712.0	68085.0	Q881	108
Kenya	3553.0	9791.0	25384.0	Q114	109
Thailand	3526.0	21853.0	53073.0	Q869	110
Algeria	3267.0	9348.0	26983.0	Q262	111
Belize	3166.0	10864.0	228.0	Q242	112
Argentina	3164.0	10256.0	3032.0	Q414	113
India	3042.0	14569.0	865783.0	Q668	114
Nicaragua	3005.0	9279.0	3937.0	Q811	115
Bangladesh	2787.0	6643.0	104872.0	Q902	116
Philippines	2663.0	12063.0	63365.0	Q928	117
Mongolia	2654.0	6135.0	1986.0	Q711	118
Timor-Leste	2453.0	5143.0	602.0	Q574	119
Kyrgyzstan	2412.0	5758.0	3721.0	Q813	120
Papua New Guinea	212.0	6485.0	4611.0	Q691	121
Cambodia	2029.0	5395.0	9797.0	Q424	122
Laos	2002.0	672.0	4042.0	Q819	123
Indonesia	1977.0	10545.0	172908.0	Q252	124
Eritrea	191.0	4134.0	2526.0	Q986	125
Zimbabwe	1843.0	4734.0	834.0	Q954	126
Pakistan	1766.0	4096.0	113388.0	Q843	127
Ghana	1706.0	4292.0	15377.0	Q117	128
Comoros	1679.0	5155.0	423.0	Q970	129
Senegal	1632.0	4265.0	7763.0	Q1041	130
Tajikistan	1589.0	3602.0	5118.0	Q863	131
Suriname	1562.0	6089.0	373.0	Q730	132
Myanmar	1556.0	3323.0	34915.0	Q836	133
Sao Tome and Principe	1545.0	3654.0	98.0	Q1039	134
Nepal	151.0	387.0	17585.0	Q837	135
Yemen	1467.0	4926.0	1458.0	Q805	136
Angola	137.0	3649.0	13403.0	Q916	137
Ethiopia	136.0	3085.0	5297.0	Q115	138
Tanzania	1282.0	3069.0	26837.0	Q924	139
Rwanda	1259.0	3435.0	6313.0	Q1037	140
Nigeria	1249.0	4881.0	90731.0	Q1033	141
Ukraine	1223.0	8792.0	34998.0	Q212	142
Djibouti	112.0	2936.0	583.0	Q977	143
Cameroon	1036.0	284.0	11754.0	Q1009	144
Mauritania	976.0	2397.0	231.0	Q1025	145
Congo, Republic of	913.0	2701.0	2618.0	Q971	146
Syria	884.0	2179.0	9664.0	Q858	147
Benin	845.0	2166.0	5475.0	Q962	148
Liberia	820.0	2169.0	235.0	Q1014	149
Guinea	802.0	2185.0	6268.0	Q1006	150
Zambia	784.0	2565.0	7926.0	Q953	151
Mali	773.0	1955.0	8088.0	Q912	152
Gambia	693.0	2141.0	969.0	Q1005	153
Guinea-Bissau	655.0	1647.0	936.0	Q1007	154
Afghanistan	640.0	1463.0	16838.0	Q889	155
Madagascar	626.0	161.0	12909.0	Q1019	156
Uganda	612.0	1603.0	1865.0	Q1036	157
Burkina Faso	589.0	144.0	8862.0	Q965	158
Togo	469.0	1241.0	3909.0	Q945	159
Malawi	468.0	1313.0	8798.0	Q1020	160
Niger	463.0	1126.0	8909.0	Q1032	161
Chad	435.0	1167.0	6551.0	Q657	162
Lesotho	384.0	1313.0	1233.0	Q1013	163
Democratic Republic of the Congo	382.0	1084.0	371.0	Q974	164
Mozambique	352.0	880.0	13814.0	Q1029	165
Sierra Leone	278.0	693.0	3698.0	Q1044	166
Burundi	250.0	609.0	5131.0	Q967	167
Central African Republic	244.0	749.0	2183.0	Q929	168
Sudan	218.0	534.0	20474.0	Q1049	169
Haiti	214.0	723.0	6426.0	Q790	170
