Country	Exports2010	Exports2019	ID	id_row
Guinea-Bissau	57.0	37.0	Q1007	69
Guyana	51.0	66.0	Q734	70
Haiti	5.0	4.0	Q790	71
Honduras	66.0	71.0	Q783	72
Hungary	49.0	49.0	Q28	73
Iceland	29.0	21.0	Q189	74
India	70.0	72.0	Q668	75
Indonesia	38.0	31.0	Q252	76
Iraq	6.0	38.0	Q796	77
Ireland	69.0	82.0	Q27	78
Israel	63.0	79.0	Q801	79
Italy	40.0	40.0	Q38	80
Jamaica	10.0	12.0	Q766	81
Japan	54.0	56.0	Q17	82
Jordan	10.0	5.0	Q810	83
Kazakhstan	13.0	12.0	Q232	84
Kenya	14.0	17.0	Q114	85
Kiribati	17.0	23.0	Q710	86
Korea, Rep.	37.0	51.0	Q884	87
Kosovo	26.0	13.0	Q1246	88
Kuwait	42.0	43.0	Q817	89
Kyrgyz Republic	46.0	15.0	Q813	90
Lao PDR	8.0	7.0	Q819	91
Latvia	27.0	41.0	Q211	92
Lebanon	33.0	26.0	Q822	93
Lesotho	35.0	18.0	Q1013	94
Liberia	0.0	0.0	Q1014	95
Libya	3.0	20.0	Q1016	96
Lithuania	20.0	27.0	Q37	97
Luxembourg	23.0	32.0	Q32	98
Madagascar	34.0	17.0	Q1019	99
Malawi	14.0	35.0	Q1020	100
Malaysia	32.0	36.0	Q833	101
Maldives	3.0	2.0	Q826	102
Mali	38.0	46.0	Q912	103
Malta	51.0	62.0	Q233	104
Marshall Islands	16.0	44.0	Q709	105
Mauritania	53.0	50.0	Q1025	106
Mauritius	34.0	23.0	Q1027	107
Mexico	2.0	0.0	Q96	108
Moldova	43.0	46.0	Q217	109
Mongolia	11.0	26.0	Q711	110
Montenegro	15.0	14.0	Q236	111
Morocco	37.0	36.0	Q1028	112
Mozambique	20.0	6.0	Q1029	113
Myanmar	35.0	54.0	Q836	114
Namibia	20.0	25.0	Q1030	115
Nepal	34.0	46.0	Q837	116
Netherlands	63.0	68.0	Q55	117
New Caledonia	36.0	20.0	Q33788	118
New Zealand	24.0	20.0	Q664	119
Nicaragua	51.0	51.0	Q811	120
Niger	6.0	45.0	Q1032	121
Nigeria	3.0	7.0	Q1033	122
North Macedonia	51.0	53.0	Q221	123
Norway	40.0	32.0	Q20	124
Oman	26.0	12.0	Q842	125
Pakistan	38.0	67.0	Q843	126
Palau	6.0	5.0	Q695	127
Panama	9.0	6.0	Q804	128
Papua New Guinea	89.0	62.0	Q691	129
Paraguay	16.0	26.0	Q733	130
Peru	1.0	8.0	Q419	131
Philippines	77.0	68.0	Q928	132
Poland	45.0	50.0	Q36	133
Portugal	28.0	25.0	Q45	134
Qatar	2.0	7.0	Q846	135
Romania	62.0	57.0	Q218	136
Russian Federation	48.0	45.0	Q159	137
Rwanda	5.0	9.0	Q1037	138
Samoa	24.0	17.0	Q683	139
Sao Tome and Principe	10.0	3.0	Q1039	140
Saudi Arabia	3.0	7.0	Q851	141
Senegal	45.0	43.0	Q1041	142
Serbia	53.0	59.0	Q403	143
Seychelles	8.0	32.0	Q1042	144
Sierra Leone	8.0	40.0	Q1044	145
Singapore	33.0	44.0	Q334	146
Sint Maarten (Dutch part)	16.0	25.0	Q26273	147
Slovak Republic	34.0	43.0	Q214	148
Slovenia	28.0	37.0	Q215	149
Solomon Islands	6.0	18.0	Q685	150
South Africa	15.0	20.0	Q258	151
Spain	49.0	34.0	Q29	152
Sri Lanka	26.0	13.0	Q854	153
St. Kitts and Nevis	18.0	5.0	Q763	154
St. Lucia	9.0	4.0	Q760	155
St. Vincent and the Grenadines	27.0	7.0	Q757	156
Sudan	52.0	2.0	Q1049	157
Suriname	55.0	22.0	Q730	158
Sweden	61.0	61.0	Q34	159
Switzerland	42.0	50.0	Q39	160
Tajikistan	55.0	13.0	Q863	161
Tanzania	13.0	7.0	Q924	162
Thailand	23.0	16.0	Q869	163
Timor-Leste	19.0	2.0	Q574	164
Togo	28.0	33.0	Q945	165
Tonga	19.0	20.0	Q678	166
Trinidad and Tobago	7.0	11.0	Q754	167
Tunisia	18.0	18.0	Q948	168
Turkey	8.0	10.0	Q43	169
Uganda	17.0	19.0	Q1036	170
Ukraine	31.0	53.0	Q212	171
United Kingdom	44.0	53.0	Q145	172
United States	46.0	47.0	Q30	173
Uruguay	19.0	41.0	Q77	174
Vanuatu	4.0	3.0	Q686	175
Venezuela, RB	13.0	13.0	Q717	176
West Bank and Gaza	17.0	54.0	Q407199	177
Yemen, Rep.	8.0	39.0	Q805	178
Zambia	5.0	6.0	Q953	179
Zimbabwe	23.0	15.0	Q954	180
