Country	billions	percapita	ID	id_row
United Arab Emirates	686.3	70.24	Q878	181
United Kingdom	3210.9	48.04	Q145	182
United States	21625.0	65.88	Q30	183
Uruguay	73.1	21.12	Q77	184
Uzbekistan	248.5	7.4	Q265	185
Vanuatu	1.0	3.31	Q686	186
Vietnam	747.2	7.75	Q881	187
West Bank and Gaza	30.8	6.74	Q407199	188
Zambia	63.9	3.58	Q953	189
Zimbabwe	40.0	2.73	Q954	190
