Country	Treatmentsuccessrate2017	Casesdetectionrate2018	ID	id_row
French Polynesia	81.0	87.0	Q30971	67
Gabon	25.0	51.0	Q1000	68
Gambia, The	81.0	60.0	Q1005	69
Georgia	84.0	73.0	Q230	70
Germany	71.0	87.0	Q183	71
Ghana	85.0	32.0	Q117	72
Greenland	77.0	87.0	Q223	73
Grenada	67.0	87.0	Q769	74
Guam	89.0	87.0	Q16635	75
Guatemala	87.0	80.0	Q774	76
Guinea	88.0	65.0	Q1006	77
Guinea-Bissau	64.0	30.0	Q1007	78
Guyana	71.0	80.0	Q734	79
Haiti	78.0	69.0	Q790	80
Honduras	87.0	80.0	Q783	81
Hungary	67.0	97.0	Q28	82
Iceland	92.0	87.0	Q189	83
India	81.0	74.0	Q668	84
Indonesia	85.0	67.0	Q252	85
Iran, Islamic Rep.	86.0	80.0	Q794	86
Iraq	92.0	44.0	Q796	87
Ireland	35.0	87.0	Q27	88
Israel	87.0	87.0	Q801	89
Jamaica	27.0	80.0	Q766	90
Japan	68.0	87.0	Q17	91
Jordan	56.0	80.0	Q810	92
Kazakhstan	91.0	100.0	Q232	93
Kenya	83.0	63.0	Q114	94
Kiribati	89.0	80.0	Q710	95
Korea, Dem. Peopleâ€™s Rep.	83.0	69.0	Q423	96
Korea, Rep.	83.0	94.0	Q884	97
Kuwait	89.0	87.0	Q817	98
Kyrgyz Republic	82.0	87.0	Q813	99
Lao PDR	89.0	57.0	Q819	100
Latvia	85.0	87.0	Q211	101
Lebanon	84.0	87.0	Q822	102
Lesotho	76.0	55.0	Q1013	103
Liberia	77.0	53.0	Q1014	104
Libya	59.0	68.0	Q1016	105
Lithuania	83.0	87.0	Q37	106
Luxembourg	0.0	87.0	Q32	107
Madagascar	84.0	55.0	Q1019	108
Malawi	86.0	48.0	Q1020	109
Malaysia	81.0	87.0	Q833	110
Maldives	68.0	80.0	Q826	111
Mali	78.0	68.0	Q912	112
Marshall Islands	83.0	170.0	Q709	113
Mauritania	77.0	59.0	Q1025	114
Mauritius	88.0	80.0	Q1027	115
Mexico	77.0	80.0	Q96	116
Micronesia, Fed. Sts.	88.0	80.0	Q702	117
Moldova	81.0	87.0	Q217	118
Mongolia	91.0	29.0	Q711	119
Montenegro	87.0	87.0	Q236	120
Morocco	88.0	87.0	Q1028	121
Mozambique	90.0	57.0	Q1029	122
Myanmar	87.0	76.0	Q836	123
Namibia	86.0	61.0	Q1030	124
Nepal	91.0	75.0	Q837	125
Netherlands	87.0	87.0	Q55	126
New Caledonia	35.0	87.0	Q33788	127
New Zealand	82.0	87.0	Q664	128
Nicaragua	86.0	80.0	Q811	129
Niger	82.0	55.0	Q1032	130
Nigeria	86.0	24.0	Q1033	131
North Macedonia	88.0	80.0	Q221	132
Northern Mariana Islands	98.0	87.0	Q16644	133
Norway	91.0	87.0	Q20	134
Oman	51.0	87.0	Q842	135
Pakistan	93.0	64.0	Q843	136
Palau	80.0	87.0	Q695	137
Panama	73.0	80.0	Q804	138
Papua New Guinea	68.0	75.0	Q691	139
Paraguay	71.0	87.0	Q733	140
Peru	86.0	80.0	Q419	141
Philippines	91.0	63.0	Q928	142
Poland	54.0	87.0	Q36	143
Portugal	38.0	87.0	Q45	144
Puerto Rico	69.0	87.0	Q1183	145
Qatar	64.0	87.0	Q846	146
Romania	86.0	87.0	Q218	147
Russian Federation	69.0	99.0	Q159	148
Rwanda	87.0	80.0	Q1037	149
Samoa	57.0	87.0	Q683	150
Sao Tome and Principe	75.0	57.0	Q1039	151
Saudi Arabia	90.0	87.0	Q851	152
Senegal	87.0	71.0	Q1041	153
Serbia	86.0	87.0	Q403	154
Seychelles	56.0	87.0	Q1042	155
Sierra Leone	90.0	75.0	Q1044	156
Singapore	79.0	87.0	Q334	157
Sint Maarten (Dutch part)	100.0	87.0	Q26273	158
Slovak Republic	92.0	87.0	Q214	159
Slovenia	77.0	89.0	Q215	160
Solomon Islands	92.0	80.0	Q685	161
Somalia	86.0	42.0	Q1045	162
South Africa	77.0	76.0	Q258	163
South Sudan	82.0	91.0	Q958	164
Spain	61.0	100.0	Q29	165
Sri Lanka	85.0	64.0	Q854	166
St. Kitts and Nevis	0.0	87.0	Q763	167
St. Lucia	91.0	87.0	Q760	168
St. Vincent and the Grenadines	67.0	87.0	Q757	169
Sudan	80.0	67.0	Q1049	170
Suriname	73.0	80.0	Q730	171
Sweden	87.0	87.0	Q34	172
Switzerland	78.0	87.0	Q39	173
Syrian Arab Republic	86.0	80.0	Q858	174
Tajikistan	91.0	75.0	Q863	175
Tanzania	90.0	53.0	Q924	176
Thailand	84.0	80.0	Q869	177
Timor-Leste	88.0	60.0	Q574	178
Togo	82.0	85.0	Q945	179
Tonga	82.0	87.0	Q678	180
Trinidad and Tobago	67.0	87.0	Q754	181
Tunisia	89.0	80.0	Q948	182
Turkey	86.0	87.0	Q43	183
Turkmenistan	85.0	80.0	Q874	184
Turks and Caicos Islands	75.0	87.0	Q18221	185
Tuvalu	68.0	87.0	Q672	186
Uganda	72.0	65.0	Q1036	187
Ukraine	76.0	75.0	Q212	188
United Arab Emirates	74.0	87.0	Q878	189
United Kingdom	81.0	89.0	Q145	190
United States	77.0	87.0	Q30	191
Uruguay	73.0	87.0	Q77	192
Uzbekistan	89.0	72.0	Q265	193
Vanuatu	96.0	67.0	Q686	194
Venezuela, RB	82.0	80.0	Q717	195
Vietnam	92.0	57.0	Q881	196
West Bank and Gaza	100.0	80.0	Q407199	197
Yemen, Rep.	89.0	71.0	Q805	198
Zambia	90.0	58.0	Q953	199
Zimbabwe	83.0	83.0	Q954	200
