Country	Christian	Muslim	Irreligion	Hindu	Buddhist	Folkreligion	Otherreligion	Jewish	ID	id_row
Croatia	93.4	1.4	5.1	0.0	0.0	0.0	0.0	0.0	Q224	141
Czech Republic	23.3	0.0	76.4	0.0	0.0	0.0	0.0	0.0	Q213	142
Germany	68.7	5.8	24.7	0.0	0.3	0.0	0.1	0.3	Q183	143
Hungary	81.0	0.0	18.6	0.0	0.0	0.0	0.0	0.1	Q28	144
Liechtenstein	91.9	5.0	2.9	0.0	0.0	0.0	0.0	0.1	Q347	145
Poland	94.3	0.0	5.6	0.0	0.0	0.0	0.0	0.0	Q36	146
Romania	99.5	0.3	0.1	0.0	0.0	0.0	0.0	0.0	Q218	147
Slovakia	85.3	0.2	14.3	0.0	0.0	0.0	0.0	0.0	Q214	148
Slovenia	78.4	3.6	18.0	0.0	0.0	0.0	0.0	0.0	Q215	149
Switzerland	81.3	5.5	11.9	0.4	0.4	0.0	0.1	0.3	Q39	150
Belarus	71.2	0.2	28.6	0.0	0.0	0.0	0.0	0.0	Q184	151
Georgia	88.5	10.7	0.7	0.0	0.0	0.0	0.0	0.0	Q230	152
Russia	73.3	10.0	16.2	0.0	0.1	0.2	0.0	0.2	Q159	153
Ukraine	83.8	1.2	14.7	0.0	0.0	0.0	0.0	0.1	Q212	154
Denmark	83.5	4.1	11.8	0.4	0.2	0.0	0.0	0.0	Q35	155
Faroe Islands	98.0	0.0	1.7	0.0	0.0	0.0	0.3	0.0	Q4628	156
Estonia	39.9	0.2	59.6	0.0	0.0	0.0	0.0	0.1	Q191	157
Finland	81.6	0.8	17.6	0.0	0.0	0.0	0.0	0.0	Q33	158
Iceland	95.0	0.2	3.5	0.3	0.4	0.5	0.2	0.0	Q189	159
Latvia	55.8	0.1	43.8	0.0	0.0	0.0	0.2	0.0	Q211	160
Lithuania	89.8	0.1	10.0	0.0	0.0	0.0	0.0	0.0	Q37	161
Norway	84.7	3.7	10.1	0.5	0.6	0.0	0.2	0.0	Q20	162
Sweden	76.2	4.6	27.0	0.2	0.4	0.2	0.2	0.1	Q34	163
Albania	18.0	80.3	1.4	0.0	0.0	0.0	0.2	0.0	Q222	164
Bosnia and Herzegovina	52.3	45.2	2.5	0.0	0.0	0.0	0.0	0.0	Q225	165
Bulgaria	82.1	13.7	4.2	0.0	0.0	0.0	0.0	0.0	Q219	166
Greece	88.1	5.3	6.1	0.1	0.0	0.1	0.0	0.0	Q41	167
Kosovo	11.4	87.0	1.6	0.0	0.0	0.0	0.0	0.0	Q1246	168
Moldova	97.4	0.6	1.4	0.0	0.0	0.0	0.0	0.6	Q217	169
Montenegro	78.1	18.7	3.2	0.0	0.0	0.0	0.0	0.0	Q236	170
North Macedonia	59.3	39.3	1.4	0.0	0.0	0.0	0.0	0.0	Q221	171
