Country	Savings2010	Savings2019	ID	id_row
Portugal	11.0	19.0	Q45	118
Qatar	60.0	47.0	Q846	119
Romania	22.0	18.0	Q218	120
Russian Federation	26.0	28.0	Q159	121
Rwanda	13.0	14.0	Q1037	122
Saudi Arabia	44.0	34.0	Q851	123
Senegal	15.0	23.0	Q1041	124
Serbia	14.0	18.0	Q403	125
Seychelles	18.0	11.0	Q1042	126
Sierra Leone	21.0	-7.0	Q1044	127
Singapore	51.0	43.0	Q334	128
Slovak Republic	21.0	22.0	Q214	129
Slovenia	22.0	27.0	Q215	130
South Africa	18.0	15.0	Q258	131
Spain	19.0	23.0	Q29	132
Sri Lanka	28.0	27.0	Q854	133
Sudan	19.0	15.0	Q1049	134
Sweden	29.0	29.0	Q34	135
Switzerland	39.0	35.0	Q39	136
Tajikistan	12.0	25.0	Q863	137
Tanzania	25.0	31.0	Q924	138
Thailand	30.0	31.0	Q869	139
Timor-Leste	257.0	14.0	Q574	140
Togo	16.0	23.0	Q945	141
Tunisia	21.0	8.0	Q948	142
Turkey	21.0	25.0	Q43	143
Uganda	19.0	24.0	Q1036	144
Ukraine	18.0	12.0	Q212	145
United Kingdom	13.0	14.0	Q145	146
United States	16.0	19.0	Q30	147
Uruguay	17.0	13.0	Q77	148
Vietnam	30.0	23.0	Q881	149
West Bank and Gaza	7.0	13.0	Q407199	150
Zambia	31.0	44.0	Q953	151
Zimbabwe	-4.0	-2.0	Q954	152
