Country	assessment2004	assessment2019	ID	id_row
Tunisia	86.7	83.3	Q948	129
Turkey	76.7	83.3	Q43	130
Turkmenistan	56.7	53.3	Q874	131
Uganda	80.0	83.3	Q1036	132
Ukraine	90.0	76.7	Q212	133
Uruguay	86.7	83.3	Q77	134
Uzbekistan	63.3	83.3	Q265	135
Vanuatu	73.3	66.7	Q686	136
Venezuela, RB	90.0	83.3	Q717	137
Vietnam	83.3	86.7	Q881	138
Yemen, Rep.	80.0	76.7	Q805	139
Zambia	86.7	76.7	Q953	140
Zimbabwe	63.3	80.0	Q954	141
