Country	Tons	Change	ID	id_row
Thailand	440411.7	111.7	Q869	154
Timor-Leste	959.3	111.8	Q574	155
Togo	22931.9	71.0	Q945	156
Tonga	155.3	24.8	Q678	157
Tunisia	39721.0	87.2	Q948	158
Turkey	445640.1	98.5	Q43	159
Turkmenistan	92178.1	13.3	Q874	160
Tuvalu	5.2	30.0	Q672	161
Uganda	80725.1	118.8	Q1036	162
Ukraine	404900.3	-57.5	Q212	163
United Arab Emirates	204888.7	182.6	Q878	164
United Kingdom	585779.8	-24.6	Q145	165
United States	6343840.5	3.4	Q30	166
Uruguay	34237.8	31.1	Q77	167
Uzbekistan	177223.8	4.6	Q265	168
Vanuatu	446.2	3.0	Q686	169
Venezuela, RB	281921.4	34.2	Q717	170
Vietnam	310664.1	213.6	Q881	171
Virgin Islands (U.S.)	61.5	35.8	Q11703	172
Yemen, Rep.	40924.6	218.5	Q805	173
Zambia	320254.2	52.8	Q953	174
Zimbabwe	72057.8	105.3	Q954	175
