Country	Total_2000	Total_2018	Youth_2000	Youth_2018	ID	id_row
Mozambique	82.9	75.7	67.1	57.9	Q1029	114
Myanmar	70.8	61.0	75.5	49.0	Q836	115
Namibia	43.8	47.3	18.5	18.2	Q1030	116
Nepal	84.2	82.6	79.0	74.5	Q837	117
Netherlands	61.1	61.4	68.4	63.9	Q55	118
New Caledonia	55.8	55.1	26.7	29.6	Q33788	119
New Zealand	60.7	67.0	54.2	56.5	Q664	120
Nicaragua	57.1	62.9	45.8	45.2	Q811	121
Niger	78.0	71.9	65.8	61.3	Q1032	122
Nigeria	57.7	48.7	27.3	25.5	Q1033	123
North Macedonia	36.1	43.8	16.1	17.2	Q221	124
Norway	64.6	61.5	58.6	49.2	Q20	125
Oman	52.2	69.9	31.2	37.4	Q842	126
Pakistan	50.7	50.3	40.9	38.3	Q843	127
Panama	60.6	64.0	46.6	40.1	Q804	128
Papua New Guinea	69.9	46.2	56.3	34.2	Q691	129
Paraguay	63.2	68.8	53.0	52.8	Q733	130
Peru	63.5	74.7	48.0	56.2	Q419	131
Philippines	60.2	58.2	41.0	34.8	Q928	132
Poland	47.1	54.8	23.2	31.6	Q36	133
Portugal	58.5	55.0	41.1	27.6	Q45	134
Puerto Rico	41.7	36.3	27.8	16.3	Q1183	135
Qatar	75.9	86.6	46.0	63.7	Q846	136
Romania	59.9	52.7	35.4	25.1	Q218	137
Russian Federation	54.8	59.2	34.6	27.5	Q159	138
Rwanda	85.0	82.8	75.6	62.9	Q1037	139
Samoa	43.6	40.2	30.2	26.1	Q683	140
Sao Tome and Principe	47.2	50.4	30.4	27.9	Q1039	141
Saudi Arabia	47.6	52.1	15.0	13.6	Q851	142
Senegal	48.6	42.7	38.1	26.1	Q1041	143
Serbia	49.1	48.1	31.1	20.5	Q403	144
Sierra Leone	61.9	55.4	38.6	25.9	Q1044	145
Singapore	63.6	67.8	39.8	37.9	Q334	146
Slovak Republic	48.4	55.9	28.4	27.6	Q214	147
Slovenia	53.4	55.9	31.3	35.1	Q215	148
Solomon Islands	82.1	83.3	69.9	69.7	Q685	149
Somalia	43.6	42.0	27.7	28.2	Q1045	150
South Africa	38.6	40.9	16.1	11.8	Q258	151
South Sudan	64.9	63.5	53.4	49.6	Q958	152
Spain	45.6	48.9	32.4	22.1	Q29	153
Sri Lanka	52.5	51.9	33.5	24.0	Q854	154
St. Lucia	53.3	53.0	37.7	27.9	Q760	155
St. Vincent and the Grenadines	51.3	53.4	32.9	29.1	Q757	156
Sudan	43.2	40.3	24.7	18.4	Q1049	157
Suriname	43.8	47.6	19.0	22.6	Q730	158
Sweden	59.0	60.4	47.4	45.7	Q34	159
Switzerland	65.6	65.2	65.0	62.7	Q39	160
Syrian Arab Republic	45.5	40.6	34.6	23.5	Q858	161
Tajikistan	36.0	37.3	17.9	21.3	Q863	162
Tanzania	84.5	81.9	74.9	69.0	Q924	163
Thailand	71.4	67.1	49.3	39.8	Q869	164
Timor-Leste	70.2	64.4	46.3	36.9	Q574	165
Togo	76.9	76.1	62.4	59.9	Q945	166
Tonga	56.7	59.1	34.7	35.2	Q678	167
Trinidad and Tobago	59.0	58.8	47.6	37.6	Q754	168
Tunisia	40.1	39.2	24.8	21.2	Q948	169
Turkey	45.6	47.2	37.6	35.7	Q43	170
Turkmenistan	55.1	62.1	34.6	41.7	Q874	171
Uganda	68.3	69.1	52.6	50.7	Q1036	172
Ukraine	50.3	49.6	32.0	27.1	Q212	173
United Arab Emirates	74.3	80.3	45.1	49.6	Q878	174
United Kingdom	58.0	60.2	55.9	50.3	Q145	175
United States	63.8	59.9	56.9	47.4	Q30	176
Uruguay	54.4	58.6	41.6	36.1	Q77	177
Uzbekistan	54.8	61.3	34.3	41.1	Q265	178
Vanuatu	65.7	66.9	49.7	50.4	Q686	179
Venezuela, RB	54.6	55.8	35.8	29.1	Q717	180
Vietnam	74.6	76.0	62.4	53.6	Q881	181
Virgin Islands (U.S.)	58.6	55.6	31.3	25.5	Q11703	182
West Bank and Gaza	36.5	32.1	24.4	17.6	Q407199	183
Yemen, Rep.	40.7	33.1	29.4	20.2	Q805	184
Zambia	69.0	66.1	53.1	42.5	Q953	185
Zimbabwe	75.0	78.8	64.7	68.0	Q954	186
