Country	Timerequired	ID	id_row
Montenegro	300.0	Q236	114
Morocco	155.0	Q1028	115
Mozambique	200.0	Q1029	116
Myanmar	282.0	Q836	117
Namibia	302.0	Q1030	118
Nepal	377.0	Q837	119
Netherlands	119.0	Q55	120
New Zealand	140.0	Q664	121
Nicaragua	201.0	Q811	122
Niger	270.0	Q1032	123
Nigeria	343.0	Q1033	124
Norway	79.0	Q20	125
Oman	68.0	Q842	126
Pakistan	283.0	Q843	127
Palau	52.0	Q695	128
Panama	408.0	Q804	129
Papua New Guinea	207.0	Q691	130
Paraguay	378.0	Q733	131
Peru	260.0	Q419	132
Philippines	171.0	Q928	133
Poland	334.0	Q36	134
Portugal	243.0	Q45	135
Puerto Rico	218.0	Q1183	136
Qatar	41.0	Q846	137
Romania	163.0	Q218	138
Russian Federation	159.0	Q159	139
Rwanda	91.0	Q1037	140
Samoa	224.0	Q683	141
San Marino	52.0	Q238	142
Sao Tome and Principe	424.0	Q1039	143
Saudi Arabia	104.0	Q851	144
Senegal	416.0	Q1041	145
Serbia	226.0	Q403	146
Seychelles	85.0	Q1042	147
Sierra Leone	343.0	Q1044	148
Singapore	64.0	Q334	149
Slovak Republic	192.0	Q214	150
Slovenia	233.0	Q215	151
Solomon Islands	80.0	Q685	152
South Africa	210.0	Q258	153
South Sudan	210.0	Q958	154
Spain	143.0	Q29	155
Sri Lanka	129.0	Q854	156
St. Kitts and Nevis	203.0	Q763	157
St. Lucia	110.0	Q760	158
St. Vincent and the Grenadines	108.0	Q757	159
Sudan	180.0	Q1049	160
Suriname	199.0	Q730	161
Eswatini	122.0	Q1050	162
Sweden	122.0	Q34	163
Switzerland	63.0	Q39	164
Syrian Arab Republic	336.0	Q858	165
Tajikistan	224.0	Q863	166
Tanzania	207.0	Q924	167
Thailand	229.0	Q869	168
Timor-Leste	234.0	Q574	169
Togo	159.0	Q945	170
Tonga	200.0	Q678	171
Trinidad and Tobago	210.0	Q754	172
Tunisia	144.0	Q948	173
Turkey	170.0	Q43	174
Uganda	195.0	Q1036	175
Ukraine	328.0	Q212	176
United Arab Emirates	116.0	Q878	177
United Kingdom	114.0	Q145	178
United States	175.0	Q30	179
Uruguay	163.0	Q77	180
Uzbekistan	181.0	Q265	181
Vanuatu	120.0	Q686	182
Venezuela, RB	920.0	Q717	183
Vietnam	384.0	Q881	184
West Bank and Gaza	174.0	Q407199	185
Yemen, Rep.	248.0	Q805	186
Zambia	158.0	Q953	187
Zimbabwe	242.0	Q954	188
