Country	Bothsexes	Male	Female	ID	id_row
Mexico	36494.0	19373.0	17121.0	Q96	106
Micronesia (Federated States of)	39.0	23.0	15.0	Q702	107
Mongolia	335.0	198.0	137.0	Q711	108
Montenegro	186.0	120.0	67.0	Q236	109
Morocco	6441.0	3574.0	2867.0	Q1028	110
Mozambique	2915.0	1452.0	1464.0	Q1029	111
Myanmar	35749.0	22361.0	13388.0	Q836	112
Namibia	726.0	410.0	316.0	Q1030	113
Nepal	18952.0	8539.0	10413.0	Q837	114
Netherlands	10843.0	5631.0	5212.0	Q55	115
New Zealand	2209.0	1143.0	1066.0	Q664	116
Nicaragua	1041.0	540.0	500.0	Q811	117
Niger	3767.0	2041.0	1726.0	Q1032	118
Nigeria	32984.0	15299.0	17684.0	Q1033	119
Norway	3136.0	1605.0	1531.0	Q20	120
Oman	174.0	113.0	62.0	Q842	121
Pakistan	71484.0	48550.0	22934.0	Q843	122
Panama	1303.0	699.0	604.0	Q804	123
Papua New Guinea	3164.0	1933.0	1231.0	Q691	124
Paraguay	1170.0	742.0	428.0	Q733	125
Peru	9700.0	5281.0	4419.0	Q419	126
Philippines	42243.0	26398.0	15845.0	Q928	127
Poland	17892.0	10640.0	7251.0	Q36	128
Portugal	7155.0	3723.0	3432.0	Q45	129
Qatar	55.0	43.0	11.0	Q846	130
Republic of Korea	16740.0	9663.0	7077.0	Q884	131
Republic of Moldova	1007.0	636.0	371.0	Q217	132
North Macedonia	911.0	545.0	365.0	Q221	133
Romania	9349.0	5920.0	3429.0	Q218	134
Russian Federation	33346.0	22817.0	10529.0	Q159	135
Rwanda	1721.0	812.0	908.0	Q1037	136
Saint Lucia	65.0	44.0	21.0	Q760	137
Saint Vincent and the Grenadines	29.0	21.0	8.0	Q757	138
Samoa	52.0	35.0	16.0	Q683	139
Sao Tome and Principe	76.0	39.0	36.0	Q1039	140
Saudi Arabia	3031.0	1651.0	1381.0	Q851	141
Senegal	2736.0	1554.0	1182.0	Q1041	142
Serbia	5514.0	3261.0	2252.0	Q403	143
Seychelles	30.0	19.0	11.0	Q1042	144
Sierra Leone	1918.0	949.0	969.0	Q1044	145
Singapore	865.0	615.0	250.0	Q334	146
Slovakia	1335.0	855.0	480.0	Q214	147
Slovenia	742.0	410.0	332.0	Q215	148
Solomon Islands	181.0	120.0	61.0	Q685	149
Somalia	2296.0	1316.0	980.0	Q1045	150
South Africa	23526.0	14255.0	9271.0	Q258	151
South Sudan	1823.0	944.0	879.0	Q958	152
Spain	43187.0	24290.0	18897.0	Q29	153
Sri Lanka	11831.0	6254.0	5577.0	Q854	154
Sudan	8730.0	4548.0	4182.0	Q1049	155
Suriname	97.0	60.0	36.0	Q730	156
Sweden	5214.0	2437.0	2777.0	Q34	157
Switzerland	3625.0	1938.0	1687.0	Q39	158
Syrian Arab Republic	2742.0	1508.0	1234.0	Q858	159
Tajikistan	1775.0	959.0	815.0	Q863	160
Thailand	30746.0	19781.0	10965.0	Q869	161
Timor-Leste	264.0	141.0	123.0	Q574	162
Togo	1664.0	832.0	832.0	Q945	163
Tonga	39.0	26.0	13.0	Q678	164
Trinidad and Tobago	405.0	241.0	164.0	Q754	165
Tunisia	3115.0	1698.0	1418.0	Q948	166
Turkey	30282.0	19850.0	10432.0	Q43	167
Turkmenistan	467.0	268.0	199.0	Q874	168
Uganda	5447.0	2554.0	2894.0	Q1036	169
Ukraine	13068.0	8904.0	4164.0	Q212	170
United Arab Emirates	825.0	716.0	109.0	Q878	171
United Kingdom of Great Britain and Northern Ireland	50026.0	25576.0	24450.0	Q145	172
United Republic of Tanzania	6997.0	3411.0	3586.0	Q924	173
United States of America	246944.0	121715.0	125229.0	Q30	174
Uruguay	2671.0	1449.0	1222.0	Q77	175
Uzbekistan	3554.0	2031.0	1522.0	Q265	176
Vanuatu	87.0	59.0	28.0	Q686	177
Venezuela (Bolivarian Republic of)	7212.0	3742.0	3470.0	Q717	178
Viet Nam	30627.0	18082.0	12545.0	Q881	179
Yemen	6395.0	3476.0	2919.0	Q805	180
Zambia	1910.0	933.0	977.0	Q953	181
Zimbabwe	2970.0	1345.0	1625.0	Q954	182
