Country	Disclosureindex	ID	id_row
India	8.0	Q668	74
Indonesia	10.0	Q252	75
Iran, Islamic Rep.	7.0	Q794	76
Iraq	4.0	Q796	77
Ireland	9.0	Q27	78
Israel	7.0	Q801	79
Italy	7.0	Q38	80
Jamaica	4.0	Q766	81
Japan	7.0	Q17	82
Jordan	4.0	Q810	83
Kazakhstan	9.0	Q232	84
Kenya	10.0	Q114	85
Kiribati	6.0	Q710	86
Korea, Rep.	8.0	Q884	87
Kosovo	9.0	Q1246	88
Kuwait	5.0	Q817	89
Kyrgyz Republic	7.0	Q813	90
Lao PDR	6.0	Q819	91
Latvia	5.0	Q211	92
Lebanon	9.0	Q822	93
Lesotho	3.0	Q1013	94
Liberia	4.0	Q1014	95
Libya	4.0	Q1016	96
Liechtenstein	2.0	Q347	97
Lithuania	7.0	Q37	98
Luxembourg	6.0	Q32	99
North Macedonia	10.0	Q221	100
Madagascar	7.0	Q1019	101
Malawi	4.0	Q1020	102
Malaysia	10.0	Q833	103
Maldives	0.0	Q826	104
Mali	7.0	Q912	105
Malta	3.0	Q233	106
Marshall Islands	2.0	Q709	107
Mauritania	6.0	Q1025	108
Mauritius	7.0	Q1027	109
Mexico	8.0	Q96	110
Micronesia, Fed. Sts.	0.0	Q702	111
Moldova	7.0	Q217	112
Mongolia	6.0	Q711	113
Montenegro	5.0	Q236	114
Morocco	9.0	Q1028	115
Mozambique	5.0	Q1029	116
Myanmar	4.0	Q836	117
Namibia	5.0	Q1030	118
Nepal	6.0	Q837	119
Netherlands	4.0	Q55	120
New Zealand	10.0	Q664	121
Nicaragua	1.0	Q811	122
Niger	7.0	Q1032	123
Nigeria	7.0	Q1033	124
Norway	7.0	Q20	125
Oman	8.0	Q842	126
Pakistan	6.0	Q843	127
Palau	0.0	Q695	128
Panama	4.0	Q804	129
Papua New Guinea	5.0	Q691	130
Paraguay	6.0	Q733	131
Peru	9.0	Q419	132
Philippines	9.0	Q928	133
Poland	7.0	Q36	134
Portugal	6.0	Q45	135
Puerto Rico	7.0	Q1183	136
Qatar	2.0	Q846	137
Romania	9.0	Q218	138
Russian Federation	6.0	Q159	139
Rwanda	8.0	Q1037	140
Samoa	5.0	Q683	141
San Marino	3.0	Q238	142
Sao Tome and Principe	3.0	Q1039	143
Saudi Arabia	9.0	Q851	144
Senegal	7.0	Q1041	145
Serbia	6.0	Q403	146
Seychelles	4.0	Q1042	147
Sierra Leone	6.0	Q1044	148
Singapore	10.0	Q334	149
Slovak Republic	3.0	Q214	150
Slovenia	5.0	Q215	151
Solomon Islands	3.0	Q685	152
Somalia	0.0	Q1045	153
South Africa	8.0	Q258	154
South Sudan	2.0	Q958	155
Spain	7.0	Q29	156
Sri Lanka	8.0	Q854	157
St. Kitts and Nevis	4.0	Q763	158
St. Lucia	4.0	Q760	159
St. Vincent and the Grenadines	4.0	Q757	160
Sudan	3.0	Q1049	161
Suriname	1.0	Q730	162
Eswatini	2.0	Q1050	163
Sweden	8.0	Q34	164
Switzerland	0.0	Q39	165
Syrian Arab Republic	7.0	Q858	166
Tajikistan	8.0	Q863	167
Tanzania	2.0	Q924	168
Thailand	10.0	Q869	169
Timor-Leste	5.0	Q574	170
Togo	7.0	Q945	171
Tonga	3.0	Q678	172
Trinidad and Tobago	4.0	Q754	173
Tunisia	6.0	Q948	174
Turkey	9.0	Q43	175
Uganda	3.0	Q1036	176
Ukraine	9.0	Q212	177
United Arab Emirates	10.0	Q878	178
United Kingdom	10.0	Q145	179
United States	7.0	Q30	180
Uruguay	3.0	Q77	181
Uzbekistan	8.0	Q265	182
Vanuatu	5.0	Q686	183
Venezuela, RB	3.0	Q717	184
Vietnam	7.0	Q881	185
West Bank and Gaza	6.0	Q407199	186
Yemen, Rep.	6.0	Q805	187
Zambia	4.0	Q953	188
Zimbabwe	8.0	Q954	189
