Country	Tax	ID	id_row
Kazakhstan	10.1	Q232	84
Kenya	1.9	Q114	85
Kiribati	8.5	Q710	86
Korea, Rep.	13.7	Q884	87
Kosovo	5.6	Q1246	88
Kuwait	13.0	Q817	89
Kyrgyz Republic	19.5	Q813	90
Lao PDR	6.8	Q819	91
Latvia	27.2	Q211	92
Lebanon	24.9	Q822	93
Lesotho	0.0	Q1013	94
Liberia	6.1	Q1014	95
Libya	10.3	Q1016	96
Liechtenstein	-2.0	Q347	97
Lithuania	35.2	Q37	98
Luxembourg	15.4	Q32	99
North Macedonia	0.0	Q221	100
Madagascar	20.3	Q1019	101
Malawi	12.4	Q1020	102
Malaysia	16.7	Q833	103
Maldives	7.9	Q826	104
Mali	43.1	Q912	105
Malta	11.1	Q233	106
Marshall Islands	13.0	Q709	107
Mauritania	10.3	Q1025	108
Mauritius	8.2	Q1027	109
Mexico	27.2	Q96	110
Micronesia, Fed. Sts.	8.5	Q702	111
Moldova	29.9	Q217	112
Mongolia	13.5	Q711	113
Montenegro	13.4	Q236	114
Morocco	23.3	Q1028	115
Mozambique	4.5	Q1029	116
Myanmar	0.3	Q836	117
Namibia	1.9	Q1030	118
Nepal	26.2	Q837	119
Netherlands	20.5	Q55	120
New Zealand	2.8	Q664	121
Nicaragua	23.7	Q811	122
Niger	22.3	Q1032	123
Nigeria	13.5	Q1033	124
Norway	15.9	Q20	125
Oman	13.0	Q842	126
Pakistan	15.0	Q843	127
Palau	10.7	Q695	128
Panama	20.0	Q804	129
Papua New Guinea	9.5	Q691	130
Paraguay	18.6	Q733	131
Peru	11.0	Q419	132
Philippines	8.9	Q928	133
Poland	25.3	Q36	134
Portugal	26.8	Q45	135
Puerto Rico	13.4	Q1183	136
Qatar	11.3	Q846	137
Romania	3.4	Q218	138
Russian Federation	36.7	Q159	139
Rwanda	6.0	Q1037	140
Samoa	8.5	Q683	141
San Marino	30.9	Q238	142
Sao Tome and Principe	6.8	Q1039	143
Saudi Arabia	13.5	Q851	144
Senegal	23.6	Q1041	145
Serbia	20.2	Q403	146
Seychelles	2.3	Q1042	147
Sierra Leone	11.3	Q1044	148
Singapore	17.8	Q334	149
Slovak Republic	39.7	Q214	150
Slovenia	18.2	Q215	151
Solomon Islands	8.5	Q685	152
South Africa	4.0	Q258	153
South Sudan	19.2	Q958	154
Spain	35.8	Q29	155
Sri Lanka	16.9	Q854	156
St. Kitts and Nevis	11.2	Q763	157
St. Lucia	5.6	Q760	158
St. Vincent and the Grenadines	6.2	Q757	159
Sudan	19.2	Q1049	160
Suriname	0.0	Q730	161
Eswatini	6.4	Q1050	162
Sweden	35.4	Q34	163
Switzerland	17.7	Q39	164
Syrian Arab Republic	19.3	Q858	165
Tajikistan	28.5	Q863	166
Tanzania	17.5	Q924	167
Thailand	5.4	Q869	168
Timor-Leste	6.8	Q574	169
Togo	23.1	Q945	170
Tonga	5.6	Q678	171
Trinidad and Tobago	9.4	Q754	172
Tunisia	25.3	Q948	173
Turkey	19.7	Q43	174
Uganda	11.3	Q1036	175
Ukraine	33.8	Q212	176
United Arab Emirates	14.1	Q878	177
United Kingdom	12.0	Q145	178
United States	9.8	Q30	179
Uruguay	15.6	Q77	180
Uzbekistan	17.4	Q265	181
Vanuatu	4.5	Q686	182
Venezuela, RB	18.2	Q717	183
Vietnam	24.3	Q881	184
West Bank and Gaza	0.0	Q407199	185
Yemen, Rep.	11.3	Q805	186
Zambia	10.4	Q953	187
Zimbabwe	5.6	Q954	188
