Country	Modeledestimates	ID	id_row
United Kingdom	7.0	Q145	174
United States	19.0	Q30	175
Uruguay	17.0	Q77	176
Uzbekistan	29.0	Q265	177
Vanuatu	72.0	Q686	178
Venezuela, RB	125.0	Q717	179
Vietnam	43.0	Q881	180
West Bank and Gaza	27.0	Q407199	181
Yemen, Rep.	164.0	Q805	182
Zambia	213.0	Q953	183
Zimbabwe	458.0	Q954	184
