Country	UnitedStates	EUinstitutions	UnitedKingdom	Germany	Japan	France	Norway	Australia	Sweden	Netherlands	ID	id_row
Rwanda	168.7	92.3	73.0	45.6	37.8	3.6	3.1	0.9	31.1	47.1	Q1037	43
Senegal	178.3	114.7	1.0	47.3	25.4	220.1	0.4	0.1	0.4	4.1	Q1041	44
Somalia	382.1	266.7	258.5	190.4	10.2	0.8	66.8	6.9	107.1	17.1	Q1045	45
South Africa	575.7	17.6	39.3	111.6	9.1	-20.5	4.6	3.3	3.8	0.4	Q258	46
South Sudan	678.7	101.5	201.8	137.0	32.4	0.7	75.8	11.4	37.8	70.4	Q958	47
Sri Lanka	37.0	27.3	11.3	-0.8	8.3	5.5	6.8	16.8	2.0	0.2	Q854	48
Sudan	227.1	166.6	119.3	60.8	29.6	4.8	13.3	3.6	38.5	13.6	Q1049	49
Syrian Arab Republic	694.5	569.8	307.9	768.8	57.7	73.9	123.2	2020.1	73.7	48.7	Q858	50
Tajikistan	35.4	43.5	6.8	32.7	37.9	0.2	1.1	0.1	0.3	0.0	Q863	51
Tanzania	658.7	157.6	202.8	40.0	75.4	26.4	48.8	3.1	125.3	0.1	Q924	52
Thailand	40.0	10.3	11.9	-2.1	-540.5	20.0	0.6	2.4	2.2	0.0	Q869	53
Timor-Leste	22.6	14.9	0.4	6.4	31.6	0.2	0.3	59.2	0.4	0.2	Q574	54
Tunisia	45.2	240.1	15.7	217.5	70.8	9.5	7.6	0.0	2.8	5.2	Q948	55
Turkey	58.2	441.7	96.6	242.8	-64.8	150.0	7.4	0.2	15.2	2.6	Q43	56
Uganda	611.4	86.8	143.3	52.6	71.4	59.7	35.3	2020.1	59.7	2020.4	Q1036	57
Ukraine	190.9	356.5	37.6	234.2	5.3	16.4	22.5	0.1	36.1	6.6	Q212	58
Vietnam	113.3	79.3	13.9	130.7	203.8	7.3	4.5	48.7	1.6	0.2	Q881	59
West Bank and Gaza	269.6	290.6	65.9	212.3	48.3	78.8	78.3	2020.9	61.6	2020.7	Q407199	60
Yemen, Rep.	598.7	160.7	221.9	233.3	34.1	2020.9	2020.3	2020.1	41.9	48.4	Q805	61
Zimbabwe	202.5	65.4	125.2	44.7	12.7	1.7	11.0	1.4	42.5	1.6	Q954	62
