Country	Age	ID	id_row
Nauru	27.0	Q697	149
Cabo Verde	26.8	Q1011	150
Tuvalu	26.6	Q672	151
Cambodia	26.4	Q424	152
Micronesia, Federated States of	26.3	Q702	153
Oman	26.2	Q842	154
Libya	25.8	Q1016	155
Botswana	25.7	Q963	156
Kiribati	25.7	Q710	157
Samoa	25.6	Q683	158
Bolivia	25.3	Q750	159
Nepal	25.3	Q837	160
Tajikistan	25.3	Q863	161
Djibouti	24.9	Q977	162
Lesotho	24.7	Q1013	163
Honduras	24.4	Q783	164
Egypt	24.1	Q79	165
Haiti	24.1	Q790	166
Philippines	24.1	Q928	167
Tonga	24.1	Q678	168
Laos	24.0	Q819	169
Papua New Guinea	24.0	Q691	170
Belize	23.9	Q242	171
Marshall Islands	23.8	Q709	172
Eswatini	23.7	Q1050	173
Jordan	23.5	Q810	174
Solomon Islands	23.5	Q685	175
Syria	23.5	Q858	176
Guatemala	23.2	Q774	177
Vanuatu	23.0	Q686	178
Pakistan	22.0	Q843	179
West Bank	21.9	Q36678	180
Gambia, The	21.8	Q1005	181
Namibia	21.8	Q1030	182
Western Sahara	21.8	Q6250	183
Ghana	21.4	Q117	184
Iraq	21.2	Q796	185
Gabon	21.0	Q1000	186
Mauritania	21.0	Q1025	187
Comoros	20.9	Q970	188
Zimbabwe	20.5	Q954	189
Cote d'Ivoire	20.3	Q1008	190
Equatorial Guinea	20.3	Q983	191
Eritrea	20.3	Q986	192
Madagascar	20.3	Q1019	193
Central African Republic	20.0	Q929	194
Kenya	20.0	Q114	195
Togo	20.0	Q945	196
Ethiopia	19.8	Q115	197
Yemen	19.8	Q805	198
Rwanda	19.7	Q1037	199
Timor-Leste	19.6	Q574	200
Afghanistan	19.5	Q889	201
Congo, Republic of the	19.5	Q971	202
Senegal	19.4	Q1041	203
Sao Tome and Principe	19.3	Q1039	204
Guinea	19.1	Q1006	205
Sierra Leone	19.1	Q1044	206
Nigeria	18.6	Q1033	207
South Sudan	18.6	Q958	208
Cameroon	18.5	Q1009	209
Somalia	18.5	Q1045	210
Sudan	18.3	Q1049	211
Tanzania	18.2	Q924	212
Gaza Strip	18.0	Q39760	213
Guinea-Bissau	18.0	Q1007	214
Liberia	18.0	Q1014	215
Burkina Faso	17.9	Q965	216
Burundi	17.7	Q967	217
Benin	17.0	Q962	218
Mozambique	17.0	Q1029	219
Zambia	16.9	Q953	220
Malawi	16.8	Q1020	221
Congo, Democratic Republic of the	16.7	Q974	222
Chad	16.1	Q657	223
Mali	16.0	Q912	224
Angola	15.9	Q916	225
Uganda	15.7	Q1036	226
Niger	14.8	Q1032	227
