Country	Physicians	Nursesandmidwives	ID	id_row
Oman	2.0	4.2	Q842	123
Pakistan	1.0	0.7	Q843	124
Palau	1.4	7.3	Q695	125
Panama	1.6	3.1	Q804	126
Papua New Guinea	0.1	0.5	Q691	127
Paraguay	1.4	1.7	Q733	128
Peru	1.3	2.4	Q419	129
Philippines	0.6	4.9	Q928	130
Poland	2.4	6.9	Q36	131
Portugal	5.1	7.0	Q45	132
Qatar	2.5	7.3	Q846	133
Romania	3.0	7.4	Q218	134
Russian Federation	4.0	8.5	Q159	135
Rwanda	0.1	1.2	Q1037	136
Samoa	0.3	2.5	Q683	137
San Marino	6.1	8.2	Q238	138
Sao Tome and Principe	0.1	1.9	Q1039	139
Saudi Arabia	2.6	5.5	Q851	140
Senegal	0.1	0.3	Q1041	141
Serbia	3.1	6.1	Q403	142
Seychelles	2.1	8.1	Q1042	143
Singapore	2.3	6.2	Q334	144
Slovak Republic	3.4	6.1	Q214	145
Slovenia	3.1	10.0	Q215	146
Solomon Islands	0.2	2.2	Q685	147
Somalia	0.0	0.1	Q1045	148
South Africa	0.9	1.3	Q258	149
Spain	3.9	5.7	Q29	150
Sri Lanka	1.0	2.2	Q854	151
St. Kitts and Nevis	2.7	4.2	Q763	152
St. Lucia	0.6	3.2	Q760	153
Sudan	0.3	0.7	Q1049	154
Suriname	1.2	2.8	Q730	155
Sweden	4.0	11.8	Q34	156
Switzerland	4.3	17.5	Q39	157
Syrian Arab Republic	1.3	1.5	Q858	158
Tajikistan	2.1	4.8	Q863	159
Tanzania	0.0	0.6	Q924	160
Thailand	0.8	2.8	Q869	161
Timor-Leste	0.7	1.7	Q574	162
Togo	0.1	0.4	Q945	163
Tonga	0.5	4.2	Q678	164
Trinidad and Tobago	4.2	4.1	Q754	165
Tunisia	1.3	2.5	Q948	166
Turkey	1.8	2.7	Q43	167
Turkmenistan	2.2	4.4	Q874	168
Tuvalu	0.9	4.3	Q672	169
Uganda	0.2	1.2	Q1036	170
Ukraine	3.0	6.7	Q212	171
United Arab Emirates	2.5	5.7	Q878	172
United Kingdom	2.8	8.2	Q145	173
United States	2.6	14.5	Q30	174
Uruguay	5.1	1.9	Q77	175
Uzbekistan	2.4	11.3	Q265	176
Vanuatu	0.2	1.4	Q686	177
Vietnam	0.8	1.4	Q881	178
Yemen, Rep.	0.5	0.8	Q805	179
Zambia	1.2	1.3	Q953	180
Zimbabwe	0.2	1.9	Q954	181
