Country	TemperatureC	Date	ID	id_row
France	4600.0	28 June 2019	Q142	64
Germany	4260.0	25 July 2019	Q183	65
Greece	4800.0	10 July 1977	Q41	66
Hungary	4190.0	20 July 2007	Q28	67
Iceland	3050.0	22 June 1939	Q189	68
Ireland	3330.0	26 June 1887	Q27	69
Italy	4700.0	25 June 2007	Q38	70
Latvia	3780.0	4 August 2014	Q211	71
Lithuania	3750.0	30 July 1994	Q37	72
Luxembourg	4080.0	25 July 2019	Q32	73
Malta	4380.0	9 August 1999	Q233	74
Moldova	4240.0	7 August 2012	Q217	75
Montenegro	4480.0	8 August 2012	Q236	76
Netherlands	4070.0	25 July 2019	Q55	77
North Macedonia	4570.0	24 July 2007	Q221	78
Norway	3560.0	20 June 1970	Q20	79
Poland	4020.0	29 July 1921	Q36	80
Portugal	4740.0	1 August 2003	Q45	81
Romania	4450.0	10 August 1951	Q218	82
Russia (in Europe)	4540.0	12 July 2010	Q875134	83
San Marino	4030.0	9 August 2017	Q238	84
Serbia	4490.0	24 July 2007	Q403	85
Slovakia	4030.0	20 July 2007	Q214	86
Slovenia	4080.0	8 August 2013	Q215	87
Spain	4730.0	13 July 2017	Q29	88
Sweden	3800.0	29 June 1947	Q34	89
Switzerland	4150.0	11 August 2003	Q39	90
Ukraine	4200.0	12 August 2010	Q212	91
United Kingdom	3870.0	25 July 2019	Q145	92
Vatican City	4070.0	2 August 2017	Q237	93
Anguilla	3420.0	12 September 2015	Q25228	94
Antigua and Barbuda	3490.0	12 August 1995	Q781	95
British Virgin Islands	3500.0	22 July 2016	Q25305	96
Canada	4500.0	5 July 1937	Q16	97
Cayman Islands	3490.0	21 August 2016	Q5785	98
Cuba	3910.0	30 June 2019	Q241	99
Dominica	3550.0	3 October 2015	Q784	100
Dominican Republic	4300.0	31 August 1954	Q786	101
Greenland	29.1	23 June 1915	Q223	102
Martinique	3650.0	6 October 2010	Q17054	103
Mexico	5200.0	28 July 1995	Q96	104
Panama	4000.0	20 March 1998	Q804	105
Puerto Rico	4000.0	2 July 1996	Q1183	106
United States	5670.0	10 July 1913	Q30	107
United States Virgin Islands	3720.0	23 June 1996	Q11703	108
Australia	5070.0	2 January 1960	Q408	109
Marshall Islands	3560.0	24 August 2016	Q709	110
New Zealand	4240.0	7 February 1973	Q664	111
Palau	3500.0	22 March 2018	Q695	112
Samoa	3530.0	24 December 1968	Q683	113
Solomon Islands	3610.0	1 February 2010	Q685	114
Tonga	3550.0	1 February 2016	Q678	115
Vanuatu	3620.0	8 February 2016	Q686	116
Wallis and Futuna	3580.0	10 January 2016	Q35555	117
Argentina	4890.0	11 December 1905	Q414	118
Bolivia	4670.0	29 October 2010	Q750	119
Brazil	4470.0	21 November 2005	Q155	120
Chile	4490.0	26 January 2017	Q298	121
Colombia	4500.0	29 December 2015	Q739	122
French Guiana	3800.0	27 September 2016	Q3769	123
Paraguay	4500.0	14 November 2009	Q733	124
Uruguay	4400.0	20 January 1943	Q77	125
Venezuela	4360.0	29 April 2015	Q717	126
