Country	70yearsold	5069yearsold	1549yearsold	ID	id_row
Northern Ireland	1494.0	42.0	1.0	Q26	129
Northern Mariana Islands	10.0	1.0		Q16644	130
Norway	4332.0	131.0	2.0	Q20	131
Oman	373.0	29.0	1.0	Q842	132
Pakistan	20625.0	1922.0	44.0	Q843	133
Palestine	639.0	50.0	1.0	Q219060	134
Panama	1239.0	50.0	1.0	Q804	135
Papua New Guinea	377.0	117.0	5.0	Q691	136
Paraguay	145.0	104.0	2.0	Q733	137
Peru	9782.0	406.0	7.0	Q419	138
Philippines	13981.0	1724.0	30.0	Q928	139
Poland	27715.0	1027.0	12.0	Q36	140
Portugal	10537.0	253.0	5.0	Q45	141
Puerto Rico	2915.0	119.0	2.0	Q1183	142
Qatar	77.0	17.0		Q846	143
Romania	13921.0	527.0	8.0	Q218	144
Russia	8069.0	362.0	58.0	Q159	145
Rwanda	101.0	112.0	3.0	Q1037	146
Saint Lucia	76.0	3.0		Q760	147
Saint Vincent and the Grenadines	32.0	2.0		Q757	148
Samoa	46.0	3.0		Q683	149
Sao Tome and Principe	23.0	1.0		Q1039	150
Saudi Arabia	3043.0	314.0	13.0	Q851	151
Scotland	5314.0	157.0	5.0	Q22	152
Senegal	1822.0	134.0	4.0	Q1041	153
Serbia	6.0	229.0	3.0	Q403	154
Seychelles	31.0	2.0		Q1042	155
Sierra Leone	704.0	50.0	2.0	Q1044	156
Singapore	2.0	76.0	1.0	Q334	157
Slovakia	3.0	129.0	3.0	Q214	158
Slovenia	1.0	44.0		Q215	159
Solomon Islands	54.0	8.0		Q685	160
Somalia	841.0	185.0	6.0	Q1045	161
South Africa	11.0	595.0	33.0	Q258	162
South Korea	30.0	1225.0	24.0	Q884	163
South Sudan	615.0	80.0	3.0	Q958	164
Spain	51.0	1064.0	22.0	Q29	165
Sri Lanka	5.0	504.0	7.0	Q854	166
Sudan	4.0	361.0	9.0	Q1049	167
Suriname	158.0	11.0		Q730	168
Swaziland	99.0	11.0	1.0	Q1050	169
Sweden	9.0	198.0	3.0	Q34	170
