Country	Total1990	Total2018	Total1990	Total2018	ID	id_row
Madagascar	2733.0	9767.0	24.0	37.0	Q1019	115
Malawi	1087.0	3073.0	12.0	17.0	Q1020	116
Malaysia	8978.0	23973.0	50.0	76.0	Q833	117
Maldives	58.0	205.0	26.0	40.0	Q826	118
Mali	1971.0	8081.0	23.0	42.0	Q912	119
Malta	320.0	459.0	90.0	95.0	Q233	120
Marshall Islands	31.0	45.0	65.0	77.0	Q709	121
Mauritania	800.0	2363.0	39.0	54.0	Q1025	122
Mauritius	465.0	516.0	44.0	41.0	Q1027	123
Mexico	59951.0	101149.0	71.0	80.0	Q96	124
Micronesia, Fed. Sts.	25.0	26.0	26.0	23.0	Q702	125
Moldova	1388.0	1154.0	47.0	43.0	Q217	126
Monaco	29.0	39.0	100.0	100.0	Q235	127
Mongolia	1246.0	2170.0	57.0	68.0	Q711	128
Montenegro	291.0	416.0	48.0	67.0	Q236	129
Morocco	12005.0	22501.0	48.0	62.0	Q1028	130
Mozambique	3247.0	10615.0	25.0	36.0	Q1029	131
Myanmar	10434.0	16423.0	25.0	31.0	Q836	132
Namibia	396.0	1225.0	28.0	50.0	Q1030	133
Nepal	1674.0	5545.0	9.0	20.0	Q837	134
Netherlands	10269.0	15765.0	69.0	91.0	Q55	135
New Caledonia	102.0	201.0	60.0	71.0	Q33788	136
New Zealand	2822.0	4189.0	85.0	87.0	Q664	137
Nicaragua	2215.0	3784.0	53.0	59.0	Q811	138
Niger	1234.0	3686.0	15.0	16.0	Q1032	139
Nigeria	28259.0	98611.0	30.0	50.0	Q1033	140
Northern Mariana Islands	41.0	52.0	90.0	92.0	Q16644	141
Norway	3052.0	4369.0	72.0	82.0	Q20	142
Oman	1198.0	4083.0	66.0	85.0	Q842	143
Pakistan	32914.0	77811.0	31.0	37.0	Q843	144
Palau	10.0	14.0	70.0	80.0	Q695	145
Panama	1332.0	2828.0	54.0	68.0	Q804	146
Papua New Guinea	692.0	1133.0	15.0	13.0	Q691	147
Paraguay	2057.0	4284.0	49.0	62.0	Q733	148
Peru	15207.0	24922.0	69.0	78.0	Q419	149
Philippines	29082.0	50027.0	47.0	47.0	Q928	150
Poland	23350.0	22807.0	61.0	60.0	Q36	151
Portugal	4783.0	6706.0	48.0	65.0	Q45	152
Puerto Rico	3287.0	2988.0	93.0	94.0	Q1183	153
Qatar	442.0	2758.0	93.0	99.0	Q846	154
Romania	12347.0	10515.0	53.0	54.0	Q218	155
Russian Federation	108601.0	107539.0	73.0	74.0	Q159	156
Rwanda	395.0	2117.0	5.0	17.0	Q1037	157
Samoa	35.0	36.0	21.0	18.0	Q683	158
San Marino	22.0	33.0	90.0	97.0	Q238	159
Sao Tome and Principe	52.0	154.0	44.0	73.0	Q1039	160
Saudi Arabia	12432.0	28255.0	77.0	84.0	Q851	161
Senegal	2927.0	7482.0	39.0	47.0	Q1041	162
Serbia	3823.0	3917.0	50.0	56.0	Q403	163
Seychelles	34.0	55.0	49.0	57.0	Q1042	164
Sierra Leone	1436.0	3217.0	33.0	42.0	Q1044	165
Singapore	3047.0	5639.0	100.0	100.0	Q334	166
Slovak Republic	2994.0	2926.0	56.0	54.0	Q214	167
Slovenia	1007.0	1131.0	50.0	55.0	Q215	168
Solomon Islands	43.0	155.0	14.0	24.0	Q685	169
Somalia	2143.0	6749.0	30.0	45.0	Q1045	170
South Africa	19150.0	38340.0	52.0	66.0	Q258	171
South Sudan	729.0	2153.0	13.0	20.0	Q958	172
Spain	29287.0	37588.0	75.0	80.0	Q29	173
Sri Lanka	3211.0	4004.0	19.0	18.0	Q854	174
St. Kitts and Nevis	14.0	16.0	35.0	31.0	Q763	175
St. Lucia	41.0	34.0	29.0	19.0	Q760	176
St. Vincent and the Grenadines	45.0	58.0	41.0	52.0	Q757	177
Sudan	5764.0	14481.0	29.0	35.0	Q1049	178
Suriname	266.0	381.0	66.0	66.0	Q730	179
Sweden	7112.0	8896.0	83.0	87.0	Q34	180
Switzerland	4965.0	6283.0	74.0	74.0	Q39	181
Syrian Arab Republic	6090.0	9157.0	49.0	54.0	Q858	182
Tajikistan	1673.0	2469.0	32.0	27.0	Q863	183
Tanzania	4759.0	19022.0	19.0	34.0	Q924	184
Thailand	16642.0	34679.0	29.0	50.0	Q869	185
Timor-Leste	154.0	388.0	21.0	31.0	Q574	186
Togo	1079.0	3290.0	29.0	42.0	Q945	187
Tonga	22.0	24.0	23.0	23.0	Q678	188
Trinidad and Tobago	661.0	739.0	54.0	53.0	Q754	189
Tunisia	4776.0	7974.0	58.0	69.0	Q948	190
Turkey	31923.0	61858.0	59.0	75.0	Q43	191
Turkmenistan	1661.0	3019.0	45.0	52.0	Q874	192
Turks and Caicos Islands	9.0	35.0	74.0	93.0	Q18221	193
Tuvalu	4.0	7.0	41.0	62.0	Q672	194
Uganda	1922.0	10157.0	11.0	24.0	Q1036	195
Ukraine	34641.0	30947.0	67.0	69.0	Q212	196
United Arab Emirates	1445.0	8333.0	79.0	87.0	Q878	197
United Kingdom	44733.0	55427.0	78.0	83.0	Q145	198
United States	187966.0	268720.0	75.0	82.0	Q30	199
Uruguay	2767.0	3288.0	89.0	95.0	Q77	200
Uzbekistan	8484.0	16636.0	41.0	50.0	Q265	201
Vanuatu	27.0	74.0	19.0	25.0	Q686	202
Venezuela, RB	16547.0	25466.0	84.0	88.0	Q717	203
Vietnam	13773.0	34317.0	20.0	36.0	Q881	204
Virgin Islands (U.S.)	91.0	102.0	88.0	96.0	Q11703	205
West Bank and Gaza	1339.0	3480.0	68.0	76.0	Q407199	206
Yemen, Rep.	2451.0	10442.0	21.0	37.0	Q805	207
Zambia	3167.0	7552.0	39.0	44.0	Q953	208
Zimbabwe	3024.0	4651.0	29.0	32.0	Q954	209
