Country	Growth	ID	id_row
North Macedonia	0.4	Q221	114
Madagascar	4.5	Q1019	115
Malawi	4.0	Q1020	116
Malaysia	2.1	Q833	117
Maldives	4.9	Q826	118
Mali	4.9	Q912	119
Malta	3.6	Q233	120
Marshall Islands	1.1	Q709	121
Mauritania	4.4	Q1025	122
Mauritius	-0.1	Q1027	123
Mexico	1.5	Q96	124
Micronesia, Fed. Sts.	1.5	Q702	125
Moldova	-1.6	Q217	126
Monaco	0.8	Q235	127
Mongolia	1.9	Q711	128
Montenegro	0.5	Q236	129
Morocco	2.1	Q1028	130
Mozambique	4.4	Q1029	131
Myanmar	1.5	Q836	132
Namibia	4.0	Q1030	133
Nepal	3.7	Q837	134
Netherlands	1.0	Q55	135
New Caledonia	1.9	Q33788	136
New Zealand	1.1	Q664	137
Nicaragua	1.6	Q811	138
Niger	4.3	Q1032	139
Nigeria	4.2	Q1033	140
Northern Mariana Islands	0.7	Q16644	141
Norway	1.1	Q20	142
Oman	4.6	Q842	143
Pakistan	2.7	Q843	144
Palau	1.3	Q695	145
Panama	2.2	Q804	146
Papua New Guinea	2.5	Q691	147
Paraguay	1.8	Q733	148
Peru	2.0	Q419	149
Philippines	1.9	Q928	150
Poland	-0.1	Q36	151
Portugal	0.7	Q45	152
Puerto Rico	-4.1	Q1183	153
Qatar	2.1	Q846	154
Romania	-0.5	Q218	155
Russian Federation	0.2	Q159	156
Rwanda	3.1	Q1037	157
Samoa	-0.7	Q683	158
San Marino	0.5	Q238	159
Sao Tome and Principe	3.0	Q1039	160
Saudi Arabia	2.1	Q851	161
Senegal	3.7	Q1041	162
Serbia	-0.3	Q403	163
Seychelles	1.7	Q1042	164
Sierra Leone	3.1	Q1044	165
Singapore	0.5	Q334	166
Sint Maarten (Dutch part)	0.2	Q26273	167
Slovak Republic	0.1	Q214	168
Slovenia	0.9	Q215	169
Solomon Islands	4.6	Q685	170
Somalia	4.1	Q1045	171
South Africa	2.1	Q258	172
South Sudan	2.0	Q958	173
Spain	0.7	Q29	174
Sri Lanka	1.5	Q854	175
St. Kitts and Nevis	0.8	Q763	176
St. Lucia	0.9	Q760	177
St. Vincent and the Grenadines	1.1	Q757	178
Sudan	3.2	Q1049	179
Suriname	1.0	Q730	180
Sweden	1.5	Q34	181
Switzerland	0.8	Q39	182
Syrian Arab Republic	0.3	Q858	183
Tajikistan	3.0	Q863	184
Tanzania	5.1	Q924	185
Thailand	1.8	Q869	186
Timor-Leste	3.2	Q574	187
Togo	3.7	Q945	188
Tonga	1.0	Q678	189
Trinidad and Tobago	0.4	Q754	190
Tunisia	1.6	Q948	191
Turkey	2.2	Q43	192
Turkmenistan	2.5	Q874	193
Turks and Caicos Islands	1.8	Q18221	194
Tuvalu	2.6	Q672	195
Uganda	6.2	Q1036	196
Ukraine	-0.3	Q212	197
United Arab Emirates	1.8	Q878	198
United Kingdom	0.9	Q145	199
United States	0.8	Q30	200
Uruguay	0.5	Q77	201
Uzbekistan	1.6	Q265	202
Vanuatu	2.9	Q686	203
Venezuela, RB	-1.8	Q717	204
Vietnam	3.0	Q881	205
Virgin Islands (U.S.)	-0.1	Q11703	206
West Bank and Gaza	2.9	Q407199	207
Yemen, Rep.	4.1	Q805	208
Zambia	4.2	Q953	209
Zimbabwe	1.3	Q954	210
