Country	Bothsexes	Male	Female	ID	id_row
Cyprus	591.0	287.0	304.0	Q229	42
Czechia	3818.0	1728.0	2090.0	Q213	43
Democratic People's Republic of Korea	3182.0	1465.0	1717.0	Q423	44
Democratic Republic of the Congo	7985.0	5078.0	2906.0	Q974	45
Denmark	1485.0	833.0	651.0	Q35	46
Djibouti	185.0	109.0	76.0	Q977	47
Dominican Republic	2453.0	1144.0	1309.0	Q786	48
Ecuador	6507.0	3002.0	3504.0	Q736	49
Egypt	17851.0	8858.0	8993.0	Q79	50
El Salvador	2270.0	878.0	1392.0	Q792	51
Equatorial Guinea	290.0	185.0	105.0	Q983	52
Eritrea	865.0	506.0	359.0	Q986	53
Estonia	152.0	60.0	93.0	Q191	54
Eswatini	739.0	284.0	456.0	Q1050	55
Ethiopia	13028.0	7629.0	5399.0	Q115	56
Fiji	1440.0	756.0	684.0	Q712	57
Finland	510.0	275.0	235.0	Q33	58
France	12375.0	6184.0	6191.0	Q142	59
Gabon	394.0	218.0	177.0	Q1000	60
Gambia	202.0	89.0	112.0	Q1005	61
Georgia	1329.0	644.0	685.0	Q230	62
Germany	24764.0	11231.0	13533.0	Q183	63
Ghana	5693.0	2985.0	2708.0	Q117	64
Greece	1769.0	889.0	880.0	Q41	65
Grenada	82.0	36.0	46.0	Q769	66
Guatemala	6628.0	2665.0	3963.0	Q774	67
Guinea	2105.0	783.0	1321.0	Q1006	68
Guinea-Bissau	258.0	94.0	164.0	Q1007	69
Guyana	546.0	234.0	312.0	Q734	70
Haiti	3994.0	1398.0	2597.0	Q790	71
Honduras	842.0	269.0	573.0	Q783	72
Hungary	2789.0	1267.0	1522.0	Q28	73
Iceland	28.0	19.0	9.0	Q189	74
India	308985.0	152030.0	156954.0	Q668	75
Indonesia	102800.0	45549.0	57250.0	Q252	76
Iran (Islamic Republic of)	14842.0	6685.0	8157.0	Q794	77
Iraq	7279.0	3010.0	4269.0	Q796	78
Ireland	572.0	324.0	247.0	Q27	79
Israel	2676.0	1284.0	1392.0	Q801	80
Italy	22112.0	9867.0	12246.0	Q38	81
Jamaica	2340.0	888.0	1452.0	Q766	82
Japan	14446.0	7414.0	7032.0	Q17	83
Jordan	2347.0	1231.0	1116.0	Q810	84
Kazakhstan	1334.0	501.0	832.0	Q232	85
Kenya	2288.0	1426.0	862.0	Q114	86
Kiribati	82.0	36.0	46.0	Q710	87
Kuwait	326.0	175.0	152.0	Q817	88
Kyrgyzstan	428.0	186.0	242.0	Q813	89
Lao People's Democratic Republic	1696.0	533.0	1163.0	Q819	90
Latvia	494.0	177.0	317.0	Q211	91
Lebanon	1886.0	1336.0	550.0	Q822	92
Lesotho	1212.0	444.0	768.0	Q1013	93
Liberia	606.0	241.0	365.0	Q1014	94
Libya	1292.0	612.0	680.0	Q1016	95
Lithuania	307.0	140.0	167.0	Q37	96
Luxembourg	89.0	44.0	45.0	Q32	97
Madagascar	2174.0	1190.0	984.0	Q1019	98
Malawi	1448.0	822.0	626.0	Q1020	99
Malaysia	4635.0	2123.0	2512.0	Q833	100
Maldives	42.0	21.0	20.0	Q826	101
Mali	2438.0	898.0	1539.0	Q912	102
Malta	145.0	76.0	69.0	Q233	103
Mauritania	569.0	207.0	362.0	Q1025	104
Mauritius	2372.0	1273.0	1099.0	Q1027	105
Mexico	99623.0	48674.0	50949.0	Q96	106
Micronesia (Federated States of)	60.0	29.0	31.0	Q702	107
Mongolia	95.0	59.0	36.0	Q711	108
Montenegro	160.0	68.0	92.0	Q236	109
Morocco	10645.0	3762.0	6883.0	Q1028	110
Mozambique	2704.0	1407.0	1297.0	Q1029	111
Myanmar	16882.0	7457.0	9425.0	Q836	112
Namibia	831.0	352.0	478.0	Q1030	113
Nepal	6555.0	2591.0	3964.0	Q837	114
Netherlands	3030.0	1447.0	1584.0	Q55	115
New Zealand	880.0	480.0	400.0	Q664	116
Nicaragua	1639.0	642.0	997.0	Q811	117
Niger	2548.0	1117.0	1431.0	Q1032	118
Nigeria	25811.0	9991.0	15821.0	Q1033	119
Norway	681.0	352.0	329.0	Q20	120
Oman	903.0	539.0	364.0	Q842	121
Pakistan	44666.0	15089.0	29578.0	Q843	122
Panama	1428.0	649.0	779.0	Q804	123
Papua New Guinea	2373.0	952.0	1420.0	Q691	124
Paraguay	2414.0	950.0	1464.0	Q733	125
Peru	6062.0	3005.0	3057.0	Q419	126
Philippines	25528.0	12490.0	13038.0	Q928	127
Poland	8721.0	3821.0	4900.0	Q36	128
Portugal	4715.0	2004.0	2711.0	Q45	129
Qatar	359.0	262.0	97.0	Q846	130
Republic of Korea	11986.0	5793.0	6193.0	Q884	131
Republic of Moldova	475.0	190.0	285.0	Q217	132
North Macedonia	927.0	382.0	545.0	Q221	133
Romania	2705.0	1253.0	1453.0	Q218	134
Russian Federation	9812.0	3136.0	6676.0	Q159	135
Rwanda	1435.0	807.0	628.0	Q1037	136
Saint Lucia	116.0	49.0	67.0	Q760	137
Saint Vincent and the Grenadines	96.0	46.0	50.0	Q757	138
Samoa	82.0	45.0	38.0	Q683	139
Sao Tome and Principe	13.0	7.0	6.0	Q1039	140
Saudi Arabia	3737.0	2150.0	1588.0	Q851	141
Senegal	2167.0	890.0	1278.0	Q1041	142
Serbia	3063.0	1379.0	1683.0	Q403	143
Seychelles	21.0	9.0	12.0	Q1042	144
Sierra Leone	1433.0	494.0	938.0	Q1044	145
Singapore	400.0	173.0	227.0	Q334	146
Slovakia	944.0	430.0	514.0	Q214	147
Slovenia	340.0	160.0	180.0	Q215	148
Solomon Islands	206.0	96.0	110.0	Q685	149
Somalia	1887.0	1055.0	832.0	Q1045	150
South Africa	37228.0	16981.0	20247.0	Q258	151
South Sudan	1634.0	888.0	746.0	Q958	152
Spain	10074.0	4358.0	5715.0	Q29	153
Sri Lanka	12399.0	5450.0	6949.0	Q854	154
Sudan	5774.0	2485.0	3289.0	Q1049	155
Suriname	254.0	124.0	130.0	Q730	156
Sweden	2124.0	1155.0	968.0	Q34	157
Switzerland	1381.0	676.0	705.0	Q39	158
Syrian Arab Republic	1322.0	549.0	774.0	Q858	159
Tajikistan	809.0	423.0	386.0	Q863	160
Thailand	23929.0	9619.0	14310.0	Q869	161
Timor-Leste	104.0	40.0	64.0	Q574	162
Togo	992.0	433.0	559.0	Q945	163
Tonga	82.0	35.0	46.0	Q678	164
Trinidad and Tobago	1860.0	894.0	966.0	Q754	165
Tunisia	3523.0	1660.0	1863.0	Q948	166
Turkey	21788.0	9523.0	12265.0	Q43	167
Turkmenistan	691.0	307.0	384.0	Q874	168
Uganda	4564.0	2572.0	1992.0	Q1036	169
Ukraine	2546.0	1013.0	1533.0	Q212	170
United Arab Emirates	707.0	522.0	185.0	Q878	171
United Kingdom of Great Britain and Northern Ireland	6553.0	3180.0	3374.0	Q145	172
United Republic of Tanzania	6444.0	3498.0	2946.0	Q924	173
United States of America	84332.0	46499.0	37833.0	Q30	174
Uruguay	934.0	447.0	487.0	Q77	175
Uzbekistan	5714.0	2783.0	2931.0	Q265	176
Vanuatu	79.0	38.0	40.0	Q686	177
Venezuela (Bolivarian Republic of)	14933.0	7678.0	7255.0	Q717	178
Viet Nam	20754.0	7322.0	13432.0	Q881	179
Yemen	3854.0	1585.0	2269.0	Q805	180
Zambia	1475.0	829.0	646.0	Q953	181
Zimbabwe	3590.0	1490.0	2100.0	Q954	182
