Country	Lowest20	ID	id_row
Iceland	1.9	Q189	82
India	5.0	Q668	83
Indonesia	5.0	Q252	84
Iran, Islamic Rep.	3.8	Q794	85
Iraq	4.4	Q796	86
Ireland	5.5	Q27	87
Isle of Man	3.6	Q9676	88
Israel	3.5	Q801	89
Italy	0.3	Q38	90
Jamaica	0.7	Q766	91
Japan	0.7	Q17	92
Jordan	2.0	Q810	93
Kazakhstan	4.5	Q232	94
Kenya	5.4	Q114	95
Kiribati	2.2	Q710	96
Korea, Rep.	2.0	Q884	97
Kosovo	4.2	Q1246	98
Kuwait	0.4	Q817	99
Kyrgyz Republic	4.5	Q813	100
Lao PDR	4.7	Q819	101
Latvia	2.2	Q211	102
Lebanon	-5.6	Q822	103
Lesotho	1.5	Q1013	104
Liberia	-2.3	Q1014	105
Libya	2.5	Q1016	106
Lithuania	3.9	Q37	107
Luxembourg	2.3	Q32	108
Madagascar	4.8	Q1019	109
Malawi	4.4	Q1020	110
Malaysia	4.3	Q833	111
Maldives	5.2	Q826	112
Mali	5.0	Q912	113
Malta	4.4	Q233	114
Marshall Islands	3.6	Q709	115
Mauritania	5.9	Q1025	116
Mauritius	3.6	Q1027	117
Mexico	-0.1	Q96	118
Micronesia, Fed. Sts.	0.2	Q702	119
Moldova	3.5	Q217	120
Monaco	6.1	Q235	121
Mongolia	5.1	Q711	122
Montenegro	3.6	Q236	123
Morocco	2.3	Q1028	124
Mozambique	2.2	Q1029	125
Myanmar	2.9	Q836	126
Namibia	-1.1	Q1030	127
Nepal	0.0	Q837	128
Netherlands	7.0	Q55	129
New Caledonia	1.8	Q33788	130
Nicaragua	2.2	Q811	131
Niger	-3.9	Q1032	132
Nigeria	5.8	Q1033	133
North Macedonia	2.2	Q221	134
Northern Mariana Islands	3.6	Q16644	135
Norway	-19.6	Q20	136
Oman	1.2	Q842	137
Pakistan	0.5	Q843	138
Palau	1.0	Q695	139
Panama	1.7	Q804	140
Papua New Guinea	3.0	Q691	141
Paraguay	5.6	Q733	142
Peru	0.0	Q419	143
Philippines	2.2	Q928	144
Poland	6.0	Q36	145
Portugal	4.1	Q45	146
Puerto Rico	2.2	Q1183	147
Qatar	1.2	Q846	148
Romania	-0.2	Q218	149
Russian Federation	4.1	Q159	150
Rwanda	1.3	Q1037	151
Samoa	9.4	Q683	152
San Marino	3.5	Q238	153
Sao Tome and Principe	1.2	Q1039	154
Saudi Arabia	2.4	Q851	155
Senegal	0.3	Q1041	156
Serbia	5.3	Q403	157
Seychelles	4.2	Q1042	158
Sierra Leone	4.7	Q1044	159
Singapore	5.5	Q334	160
Sint Maarten (Dutch part)	0.7	Q26273	161
Slovak Republic	-8.4	Q214	162
Slovenia	2.4	Q215	163
Solomon Islands	2.4	Q685	164
Somalia	2.7	Q1045	165
South Sudan	0.2	Q958	166
Sri Lanka	2.0	Q854	167
St. Kitts and Nevis	2.3	Q763	168
St. Lucia	2.5	Q760	169
St. Martin (French part)	1.7	Q126125	170
Sudan	0.3	Q1049	171
Suriname	-2.6	Q730	172
Sweden	-0.8	Q34	173
Switzerland	1.2	Q39	174
Syrian Arab Republic	0.9	Q858	175
Tanzania	7.0	Q924	176
Thailand	5.8	Q869	177
Timor-Leste	2.4	Q574	178
Togo	3.4	Q945	179
Tonga	5.3	Q678	180
Trinidad and Tobago	0.3	Q754	181
Tunisia	0.0	Q948	182
Turkey	1.0	Q43	183
Turkmenistan	0.9	Q874	184
Turks and Caicos Islands	6.2	Q18221	185
Tuvalu	5.3	Q672	186
Uganda	9.8	Q1036	187
Ukraine	6.5	Q212	188
United Arab Emirates	3.2	Q878	189
United Kingdom	1.7	Q145	190
United States	1.4	Q30	191
Uruguay	2.3	Q77	192
Uzbekistan	0.2	Q265	193
Vanuatu	5.6	Q686	194
Venezuela, RB	2.9	Q717	195
Virgin Islands (U.S.)	7.0	Q11703	196
West Bank and Gaza	-1.7	Q407199	197
Yemen, Rep.	0.9	Q805	198
Zambia	0.8	Q953	199
Zimbabwe	1.7	Q954	200
