Country	Migrants	ID	id_row
Eswatini	32.0	Q1050	64
Ethiopia	1073.0	Q115	65
Faroe Islands	6.0	Q4628	66
Fiji	14.0	Q712	67
Finland	316.0	Q33	68
France	7784.0	Q142	69
French Polynesia	30.0	Q30971	70
Gabon	268.0	Q1000	71
Gambia, The	193.0	Q1005	72
Georgia	169.0	Q230	73
Germany	12006.0	Q183	74
Ghana	399.0	Q117	75
Greece	1243.0	Q41	76
Greenland	6.0	Q223	77
Grenada	7.0	Q769	78
Guam	76.0	Q16635	79
Guatemala	76.0	Q774	80
Guinea	228.0	Q1006	81
Guinea-Bissau	22.0	Q1007	82
Guyana	15.0	Q734	83
Haiti	40.0	Q790	84
Honduras	28.0	Q783	85
Hungary	450.0	Q28	86
Iceland	38.0	Q189	87
India	5241.0	Q668	88
Indonesia	329.0	Q252	89
Iran, Islamic Rep.	2726.0	Q794	90
Iraq	354.0	Q796	91
Ireland	746.0	Q27	92
Isle of Man	45.0	Q9676	93
Israel	2012.0	Q801	94
Italy	5789.0	Q38	95
Jamaica	23.0	Q766	96
Japan	2044.0	Q17	97
Jordan	3112.0	Q810	98
Kazakhstan	3547.0	Q232	99
Kenya	1084.0	Q114	100
Kiribati	3.0	Q710	101
Korea, Dem. Peopleâ€™s Rep.	48.0	Q423	102
Korea, Rep.	1327.0	Q884	103
Kuwait	2866.0	Q817	104
Kyrgyz Republic	204.0	Q813	105
Lao PDR	22.0	Q819	106
Latvia	263.0	Q211	107
Lebanon	1998.0	Q822	108
Lesotho	7.0	Q1013	109
Liberia	114.0	Q1014	110
Libya	771.0	Q1016	111
Liechtenstein	23.0	Q347	112
Lithuania	136.0	Q37	113
Luxembourg	249.0	Q32	114
North Macedonia	131.0	Q221	115
Madagascar	32.0	Q1019	116
Malawi	215.0	Q1020	117
Malaysia	2514.0	Q833	118
Maldives	94.0	Q826	119
Mali	363.0	Q912	120
Malta	41.0	Q233	121
Marshall Islands	3.0	Q709	122
Mauritania	138.0	Q1025	123
Mauritius	29.0	Q1027	124
Mexico	1193.0	Q96	125
Micronesia, Fed. Sts.	3.0	Q702	126
Moldova	143.0	Q217	127
Monaco	21.0	Q235	128
Mongolia	18.0	Q711	129
Montenegro	83.0	Q236	130
Morocco	89.0	Q1028	131
Mozambique	223.0	Q1029	132
Myanmar	73.0	Q836	133
Namibia	94.0	Q1030	134
Nepal	518.0	Q837	135
Netherlands	1979.0	Q55	136
New Caledonia	64.0	Q33788	137
New Zealand	1040.0	Q664	138
Nicaragua	40.0	Q811	139
Niger	189.0	Q1032	140
Nigeria	1199.0	Q1033	141
Northern Mariana Islands	22.0	Q16644	142
Norway	742.0	Q20	143
Oman	1845.0	Q842	144
Pakistan	3629.0	Q843	145
Palau	6.0	Q695	146
Panama	185.0	Q804	147
Papua New Guinea	26.0	Q691	148
Paraguay	156.0	Q733	149
Peru	91.0	Q419	150
Philippines	212.0	Q928	151
Poland	619.0	Q36	152
Portugal	837.0	Q45	153
Puerto Rico	275.0	Q1183	154
Qatar	1688.0	Q846	155
Romania	227.0	Q218	156
Russian Federation	11643.0	Q159	157
Rwanda	442.0	Q1037	158
Samoa	5.0	Q683	159
San Marino	5.0	Q238	160
Sao Tome and Principe	2.0	Q1039	161
Saudi Arabia	10186.0	Q851	162
Senegal	263.0	Q1041	163
Serbia	807.0	Q403	164
Seychelles	13.0	Q1042	165
Sierra Leone	91.0	Q1044	166
Singapore	2544.0	Q334	167
Sint Maarten (Dutch part)	27.0	Q26273	168
Slovak Republic	177.0	Q214	169
Slovenia	236.0	Q215	170
Solomon Islands	3.0	Q685	171
Somalia	25.0	Q1045	172
South Africa	3143.0	Q258	173
South Sudan	824.0	Q958	174
Spain	5853.0	Q29	175
Sri Lanka	39.0	Q854	176
St. Kitts and Nevis	7.0	Q763	177
St. Lucia	13.0	Q760	178
St. Vincent and the Grenadines	5.0	Q757	179
Sudan	503.0	Q1049	180
Suriname	47.0	Q730	181
Sweden	1640.0	Q34	182
Switzerland	2439.0	Q39	183
Syrian Arab Republic	875.0	Q858	184
Tajikistan	275.0	Q863	185
Tanzania	261.0	Q924	186
Thailand	3913.0	Q869	187
Timor-Leste	11.0	Q574	188
Togo	277.0	Q945	189
Tonga	6.0	Q678	190
Trinidad and Tobago	50.0	Q754	191
Tunisia	57.0	Q948	192
Turkey	2965.0	Q43	193
Turkmenistan	196.0	Q874	194
Turks and Caicos Islands	12.0	Q18221	195
Tuvalu	0.0	Q672	196
Uganda	749.0	Q1036	197
Ukraine	4835.0	Q212	198
United Arab Emirates	8095.0	Q878	199
United Kingdom	8543.0	Q145	200
United States	46627.0	Q30	201
Uruguay	72.0	Q77	202
Uzbekistan	1171.0	Q265	203
Vanuatu	3.0	Q686	204
Venezuela, RB	1404.0	Q717	205
Vietnam	73.0	Q881	206
Virgin Islands (U.S.)	57.0	Q11703	207
West Bank and Gaza	256.0	Q407199	208
Yemen, Rep.	344.0	Q805	209
Zambia	128.0	Q953	210
Zimbabwe	399.0	Q954	211
