Country	Urban2000	Urban2017	Rural2000	Rural2017	ID	id_row
Cote d'Ivoire	39.0	46.1	7.3	18.0	Q1008	35
Croatia	97.5	97.8	94.6	94.8	Q224	36
Cuba	91.5	92.2	73.3	94.8	Q241	37
Cyprus	99.8	99.5	100.0	98.4	Q229	38
Czech Republic	99.1	99.1	99.3	99.2	Q213	39
Denmark	99.6	99.6	99.6	99.6	Q35	40
Djibouti	58.1	76.3	12.0	19.4	Q977	41
Dominican Republic	81.8	86.4	71.3	73.6	Q786	42
Ecuador	80.1	90.9	53.8	83.0	Q736	43
Egypt, Arab Rep.	95.1	98.3	90.1	91.1	Q79	44
El Salvador	89.7	91.0	73.9	78.6	Q792	45
Equatorial Guinea	64.4	69.9	45.5	57.3	Q983	46
Eritrea	27.3	22.0	1.4	5.6	Q986	47
Estonia	99.9	99.0	99.4	99.4	Q191	48
Eswatini	68.1	50.9	44.9	60.7	Q1050	49
Ethiopia	16.0	19.6	1.2	4.2	Q115	50
Fiji	90.1	95.3	69.8	94.7	Q712	51
Finland	99.4	99.4	99.5	99.5	Q33	52
France	98.6	98.6	98.9	98.9	Q142	53
Gabon	35.5	48.7	30.5	37.4	Q1000	54
Gambia, The	50.5	45.5	64.2	29.6	Q1005	55
Georgia	94.2	95.3	96.0	82.7	Q230	56
Germany	99.3	99.3	99.0	99.0	Q183	57
Ghana	14.0	23.7	4.3	11.9	Q117	58
Greece	98.5	99.2	94.3	98.1	Q41	59
Greenland	99.6	99.6	99.6	99.6	Q223	60
Guatemala	81.5	79.2	48.2	50.5	Q774	61
Guinea	23.6	33.8	3.1	16.6	Q1006	62
Guinea-Bissau	24.6	36.9	4.3	8.2	Q1007	63
Guyana	84.5	91.5	76.5	83.7	Q734	64
Haiti	27.8	43.8	10.7	23.9	Q790	65
Honduras	75.8	85.3	51.7	76.0	Q783	66
Hungary	97.8	97.8	98.6	98.6	Q28	67
Iceland	98.7	98.7	100.0	100.0	Q189	68
India	49.3	72.0	3.8	53.2	Q668	69
Indonesia	62.7	80.3	25.4	64.5	Q252	70
Iran, Islamic Rep.	91.9	91.7	79.0	78.8	Q794	71
Iraq	78.0	96.7	55.8	88.0	Q796	72
Ireland	88.1	89.4	91.7	94.3	Q27	73
Israel	100.0	100.0	100.0	100.0	Q801	74
Jamaica	82.0	85.5	82.0	89.5	Q766	75
Jordan	98.6	97.4	98.1	96.3	Q810	76
Kazakhstan	96.6	97.0	97.0	99.0	Q232	77
Kenya	35.7	34.7	33.1	27.0	Q114	78
Korea, Dem. Peopleâ€™s Rep.	80.6	89.9	67.3	72.3	Q423	79
Kyrgyz Republic	94.1	91.8	91.6	99.2	Q813	80
Lao PDR	67.1	95.4	17.4	63.5	Q819	81
Latvia	96.0	96.2	72.5	83.4	Q211	82
Lesotho	21.1	42.7	5.9	42.8	Q1013	83
Liberia	25.3	27.7	4.1	5.9	Q1014	84
Lithuania	93.1	97.3	66.5	85.1	Q37	85
Luxembourg	97.5	97.5	98.8	98.7	Q32	86
North Macedonia	91.0	100.0	77.0	97.9	Q221	87
Madagascar	9.4	17.8	2.7	6.3	Q1019	88
Malawi	32.0	34.1	18.9	24.7	Q1020	89
Malaysia	98.3	99.9	94.4	98.7	Q833	90
Maldives	92.5	99.3	66.6	99.4	Q826	91
Mali	33.9	53.3	9.2	29.4	Q912	92
Malta	100.0	100.0	100.0	100.0	Q233	93
Marshall Islands	89.0	91.1	58.7	58.5	Q709	94
Mauritania	34.5	74.8	7.0	18.9	Q1025	95
Mauritius	92.3	96.0	88.5	95.2	Q1027	96
Mexico	82.8	93.4	52.7	82.4	Q96	97
Moldova	89.1	86.2	62.4	68.9	Q217	98
Mongolia	64.2	66.3	26.4	41.5	Q711	99
Morocco	83.1	94.4	45.8	79.0	Q1028	100
Mozambique	31.7	52.3	1.8	16.8	Q1029	101
Myanmar	82.5	76.0	66.6	59.3	Q836	102
Namibia	59.2	51.5	13.3	18.2	Q1030	103
Nepal	32.6	67.3	12.4	60.8	Q837	104
Netherlands	97.5	97.5	99.9	99.9	Q55	105
New Zealand	100.0	100.0	100.0	100.0	Q664	106
Nicaragua	70.5	83.7	43.4	61.5	Q811	107
Niger	25.2	43.8	1.2	7.7	Q1032	108
Nigeria	30.1	47.8	29.2	30.7	Q1033	109
Norway	98.0	98.0	98.3	98.3	Q20	110
Oman	93.5	100.0	76.7	100.0	Q842	111
Pakistan	65.7	76.6	14.5	50.3	Q843	112
Palau	99.6	100.0	98.7	100.0	Q695	113
Panama	71.5	92.3	43.9	64.8	Q804	114
Papua New Guinea	58.5	47.8	15.2	7.7	Q691	115
Paraguay	85.1	94.2	52.0	82.8	Q733	116
Peru	77.2	79.6	28.9	56.1	Q419	117
Philippines	72.2	78.5	53.5	74.8	Q928	118
Poland	94.0	98.5	77.2	99.2	Q36	119
Portugal	98.5	99.5	96.0	99.8	Q45	120
Romania	93.2	95.3	54.5	71.5	Q218	121
Russian Federation	93.7	94.8	55.0	78.1	Q159	122
Rwanda	63.3	51.9	42.3	69.6	Q1037	123
Samoa	99.1	98.5	97.1	98.1	Q683	124
Sao Tome and Principe	26.2	47.6	13.7	31.0	Q1039	125
Senegal	63.1	65.0	22.6	39.6	Q1041	126
Serbia	96.1	99.5	94.3	95.1	Q403	127
Sierra Leone	20.4	25.7	4.5	8.5	Q1044	128
Slovak Republic	98.8	98.9	96.6	96.8	Q214	129
Slovenia	99.1	99.1	99.1	99.1	Q215	130
Solomon Islands	61.7	77.9	12.7	20.1	Q685	131
Somalia	44.7	61.1	7.2	20.2	Q1045	132
South Africa	71.1	76.3	42.5	74.7	Q258	133
Spain	99.9	99.9	100.0	100.0	Q29	134
Sri Lanka	84.6	94.8	84.7	96.0	Q854	135
St. Lucia	82.7	77.8	81.0	90.8	Q760	136
Sudan	40.5	60.1	11.0	24.2	Q1049	137
Suriname	89.3	89.4	59.2	74.8	Q730	138
Sweden	99.3	99.2	99.7	99.6	Q34	139
Switzerland	99.9	99.9	99.9	99.9	Q39	140
Syrian Arab Republic	96.4	91.4	88.4	91.0	Q858	141
Tajikistan	92.7	94.9	88.6	97.8	Q863	142
Tanzania	10.6	42.6	2.5	23.7	Q924	143
Thailand	89.2	99.2	93.3	98.3	Q869	144
Timor-Leste	61.7	75.9	29.0	43.8	Q574	145
Togo	24.4	28.6	2.9	7.4	Q945	146
Tonga	98.9	96.6	85.7	92.5	Q678	147
Tunisia	93.6	95.3	48.4	81.4	Q948	148
Turkey	88.9	99.8	69.2	89.9	Q43	149
Turkmenistan	89.4	98.0	95.7	99.5	Q874	150
Tuvalu	84.9	82.8	75.3	86.2	Q672	151
Uganda	30.6	26.1	15.1	16.2	Q1036	152
Ukraine	97.1	97.4	88.9	93.6	Q212	153
United Kingdom	99.0	99.0	99.5	99.5	Q145	154
United States	100.0	100.0	99.9	99.9	Q30	155
Uruguay	94.6	96.6	84.7	97.1	Q77	156
Uzbekistan	97.6	100.0	88.4	100.0	Q265	157
Vanuatu	67.5	48.3	60.3	29.3	Q686	158
Vietnam	80.6	94.3	43.3	77.7	Q881	159
West Bank and Gaza	91.5	97.2	86.7	96.1	Q407199	160
Yemen, Rep.	85.8	87.9	26.6	42.8	Q805	161
Zambia	45.9	36.2	11.8	18.9	Q953	162
Zimbabwe	65.0	46.2	36.2	31.5	Q954	163
