Country	Numberofprocedurestobuildawarehouse	Timerequiredtobuildawarehouse	ID	id_row
Thailand	14.0	113.0	Q869	165
Timor-Leste	16.0	207.0	Q574	166
Togo	12.0	168.5	Q945	167
Tonga	14.0	77.0	Q678	168
Trinidad and Tobago	16.0	254.0	Q754	169
Tunisia	14.0	133.0	Q948	170
Turkey	18.0	100.0	Q43	171
Uganda	18.0	113.0	Q1036	172
Ukraine	10.0	72.5	Q212	173
United Arab Emirates	11.0	47.5	Q878	174
United Kingdom	9.0	86.0	Q145	175
United States	16.0	80.6	Q30	176
Uruguay	19.0	265.0	Q77	177
Uzbekistan	17.0	246.0	Q265	178
Vanuatu	15.0	123.0	Q686	179
Venezuela, RB	11.0	434.0	Q717	180
Vietnam	10.0	166.0	Q881	181
West Bank and Gaza	20.0	108.0	Q407199	182
Zambia	10.0	188.0	Q953	183
Zimbabwe	10.0	178.0	Q954	184
