Country	Kg2000	Kg2016	ID	id_row
Mauritania	864.0	1265.0	Q1025	105
Mauritius	8900.0	3455.0	Q1027	106
Mexico	2761.0	3749.0	Q96	107
Micronesia, Fed. Sts.	1231.0	1638.0	Q702	108
Moldova	2033.0	3197.0	Q217	109
Mongolia	770.0	1279.0	Q711	110
Morocco	367.0	936.0	Q1028	111
Mozambique	868.0	835.0	Q1029	112
Myanmar	3054.0	3607.0	Q836	113
Namibia	391.0	443.0	Q1030	114
Nepal	2136.0	2605.0	Q837	115
Netherlands	7906.0	7777.0	Q55	116
New Caledonia	3761.0	6894.0	Q33788	117
New Zealand	6317.0	8384.0	Q664	118
Nicaragua	1688.0	1934.0	Q811	119
Niger	289.0	537.0	Q1032	120
Nigeria	1172.0	1535.0	Q1033	121
Norway	3931.0	4650.0	Q20	122
Oman	5154.0	12931.0	Q842	123
Pakistan	2405.0	3021.0	Q843	124
Panama	2237.0	2610.0	Q804	125
Papua New Guinea	4024.0	4760.0	Q691	126
Paraguay	1980.0	4426.0	Q733	127
Peru	3084.0	4188.0	Q419	128
Philippines	2581.0	3529.0	Q928	129
Poland	2535.0	4034.0	Q36	130
Portugal	2794.0	4422.0	Q45	131
Puerto Rico	1724.0	3132.0	Q1183	132
Qatar	4099.0	4693.0	Q846	133
Romania	1928.0	3971.0	Q218	134
Russian Federation	1561.0	2651.0	Q159	135
Rwanda	848.0	1461.0	Q1037	136
Sao Tome and Principe	2230.0	2087.0	Q1039	137
Saudi Arabia	3516.0	5401.0	Q851	138
Senegal	879.0	1340.0	Q1041	139
Sierra Leone	1078.0	1910.0	Q1044	140
Slovak Republic	2710.0	6430.0	Q214	141
Slovenia	4803.0	6467.0	Q215	142
Solomon Islands	4650.0	1705.0	Q685	143
Somalia	733.0	507.0	Q1045	144
South Africa	2766.0	3819.0	Q258	145
Spain	3603.0	3863.0	Q29	146
Sri Lanka	3338.0	3184.0	Q854	147
St. Vincent and the Grenadines	15000.0	24743.0	Q757	148
Suriname	3896.0	4433.0	Q730	149
Sweden	4560.0	5438.0	Q34	150
Switzerland	6402.0	5155.0	Q39	151
Syrian Arab Republic	1149.0	1554.0	Q858	152
Tajikistan	1311.0	3349.0	Q863	153
Tanzania	1441.0	1546.0	Q924	154
Thailand	2719.0	2975.0	Q869	155
Timor-Leste	1937.0	2394.0	Q574	156
Togo	1058.0	1132.0	Q945	157
Trinidad and Tobago	2277.0	1483.0	Q754	158
Tunisia	985.0	1542.0	Q948	159
Turkey	2371.0	3105.0	Q43	160
Turkmenistan	2122.0	844.0	Q874	161
Uganda	1539.0	1886.0	Q1036	162
Ukraine	1951.0	4652.0	Q212	163
United Arab Emirates	17505.0	28130.0	Q878	164
United Kingdom	7165.0	7023.0	Q145	165
United States	5854.0	8145.0	Q30	166
Uruguay	3892.0	4941.0	Q77	167
Uzbekistan	2695.0	4586.0	Q265	168
Vanuatu	515.0	609.0	Q686	169
Venezuela, RB	3248.0	3427.0	Q717	170
Vietnam	4112.0	5441.0	Q881	171
West Bank and Gaza	2185.0	1808.0	Q407199	172
Yemen, Rep.	1085.0	687.0	Q805	173
Zambia	1682.0	2418.0	Q953	174
Zimbabwe	1160.0	582.0	Q954	175
