Country	Exports2010	Exports2019	ID	id_row
Guatemala	46.0	35.0	Q774	67
Guinea	3.0	6.0	Q1006	68
Guinea-Bissau	31.0	53.0	Q1007	69
Guyana	32.0	18.0	Q734	70
Haiti	95.0	94.0	Q790	71
Honduras	30.0	24.0	Q783	72
Hungary	29.0	24.0	Q28	73
Iceland	27.0	48.0	Q189	74
India	12.0	14.0	Q668	75
Indonesia	43.0	55.0	Q252	76
Iraq	75.0	51.0	Q796	77
Ireland	5.0	2.0	Q27	78
Israel	19.0	14.0	Q801	79
Italy	39.0	41.0	Q38	80
Jamaica	77.0	82.0	Q766	81
Japan	10.0	23.0	Q17	82
Jordan	69.0	75.0	Q810	83
Kazakhstan	26.0	33.0	Q232	84
Kenya	27.0	24.0	Q114	85
Kiribati	41.0	44.0	Q710	86
Korea, Rep.	13.0	20.0	Q884	87
Kosovo	64.0	80.0	Q1246	88
Kuwait	3.0	6.0	Q817	89
Kyrgyz Republic	27.0	57.0	Q813	90
Lao PDR	78.0	80.0	Q819	91
Latvia	16.0	16.0	Q211	92
Lebanon	49.0	54.0	Q822	93
Lesotho	55.0	80.0	Q1013	94
Lithuania	22.0	12.0	Q37	95
Luxembourg	7.0	4.0	Q32	96
Madagascar	34.0	54.0	Q1019	97
Malawi	41.0	23.0	Q1020	98
Malaysia	52.0	49.0	Q833	99
Maldives	95.0	91.0	Q826	100
Mali	58.0	47.0	Q912	101
Malta	11.0	11.0	Q233	102
Marshall Islands	48.0	23.0	Q709	103
Mauritania	38.0	4.0	Q1025	104
Mauritius	48.0	59.0	Q1027	105
Mexico	78.0	82.0	Q96	106
Moldova	22.0	26.0	Q217	107
Mongolia	51.0	42.0	Q711	108
Montenegro	68.0	65.0	Q236	109
Morocco	47.0	44.0	Q1028	110
Mozambique	44.0	31.0	Q1029	111
Myanmar	21.0	37.0	Q836	112
Namibia	50.0	54.0	Q1030	113
Nepal	59.0	43.0	Q837	114
Netherlands	9.0	10.0	Q55	115
New Caledonia	31.0	46.0	Q33788	116
New Zealand	57.0	63.0	Q664	117
Nicaragua	43.0	44.0	Q811	118
Niger	89.0	44.0	Q1032	119
Nigeria	22.0	45.0	Q1033	120
North Macedonia	20.0	22.0	Q221	121
Norway	11.0	13.0	Q20	122
Oman	43.0	39.0	Q842	123
Pakistan	10.0	11.0	Q843	124
Palau	89.0	89.0	Q695	125
Panama	27.0	33.0	Q804	126
Papua New Guinea	1.0	1.0	Q691	127
Paraguay	38.0	39.0	Q733	128
Peru	64.0	57.0	Q419	129
Philippines	15.0	24.0	Q928	130
Poland	27.0	19.0	Q36	131
Portugal	44.0	52.0	Q45	132
Qatar	21.0	30.0	Q846	133
Romania	11.0	12.0	Q218	134
Russian Federation	18.0	18.0	Q159	135
Rwanda	83.0	58.0	Q1037	136
Samoa	71.0	72.0	Q683	137
Sao Tome and Principe	85.0	97.0	Q1039	138
Saudi Arabia	65.0	70.0	Q851	139
Senegal	48.0	41.0	Q1041	140
Serbia	23.0	21.0	Q403	141
Seychelles	62.0	53.0	Q1042	142
Sierra Leone	46.0	37.0	Q1044	143
Singapore	14.0	10.0	Q334	144
Sint Maarten (Dutch part)	80.0	69.0	Q26273	145
Slovak Republic	35.0	27.0	Q214	146
Slovenia	42.0	32.0	Q215	147
Solomon Islands	49.0	57.0	Q685	148
South Africa	58.0	58.0	Q258	149
Spain	51.0	51.0	Q29	150
Sri Lanka	23.0	53.0	Q854	151
St. Kitts and Nevis	69.0	84.0	Q763	152
St. Lucia	84.0	94.0	Q760	153
St. Vincent and the Grenadines	63.0	86.0	Q757	154
Sudan	39.0	70.0	Q1049	155
Suriname	29.0	43.0	Q730	156
Sweden	16.0	20.0	Q34	157
Switzerland	16.0	14.0	Q39	158
Tajikistan	1.0	6.0	Q863	159
Tanzania	63.0	61.0	Q924	160
Thailand	59.0	74.0	Q869	161
Timor-Leste	78.0	93.0	Q574	162
Togo	23.0	26.0	Q945	163
Tonga	55.0	61.0	Q678	164
Trinidad and Tobago	52.0	54.0	Q754	165
Tunisia	50.0	47.0	Q948	166
Turkey	63.0	47.0	Q43	167
Uganda	76.0	68.0	Q1036	168
Ukraine	21.0	10.0	Q212	169
United Kingdom	12.0	12.0	Q145	170
United States	25.0	26.0	Q30	171
Uruguay	57.0	45.0	Q77	172
Vanuatu	80.0	80.0	Q686	173
Venezuela, RB	51.0	38.0	Q717	174
West Bank and Gaza	79.0	44.0	Q407199	175
Yemen, Rep.	79.0	32.0	Q805	176
Zambia	86.0	81.0	Q953	177
Zimbabwe	47.0	40.0	Q954	178
