Country	latitude	longitude	ID	id_row
Northern Mariana Islands	1.7330830000000002	14.538469	Q16644	144
Martinique	14.641528	-61.024174	Q17054	145
Mauritania	2.100789	-10.940835	Q1025	146
Montserrat	16.742498	-62.187366	Q13353	147
Malta	35.937496	14.375416	Q233	148
Mauritius	-20.348404	57.552152	Q1027	149
Maldives	3.202778	7.322067999999999	Q826	150
Malawi	-13.254307999999998	34.301525	Q1020	151
Mexico	23.634501	-102.552784	Q96	152
Malaysia	4.210483999999999	101.975766	Q833	153
Mozambique	-18.665695	35.529562	Q1029	154
Namibia	-2.295764	1.849041	Q1030	155
New Caledonia	-20.904305	165.618042	Q33788	156
Niger	17.607789	8.081666	Q1032	157
Norfolk Island	-29.040835	167.954712	Q31057	158
Nigeria	9.081999	8.675277000000001	Q1033	159
Nicaragua	12.865416	-85.207229	Q811	160
Netherlands	52.132633	5.291266	Q55	161
Norway	60.472024	8.468946	Q20	162
Nepal	28.394857	84.12400799999998	Q837	163
Nauru	-0.522778	166.931503	Q697	164
Niue	-19.054445	-169.867233	Q34020	165
New Zealand	-40.900557	174.88597099999996	Q664	166
Oman	21.512583	55.92325500000001	Q842	167
Panama	8.537981	-80.782127	Q804	168
Peru	-9.189967	-75.015152	Q419	169
French Polynesia	-17.679742	-149.40684299999995	Q30971	170
Papua New Guinea	-6.314993	14.395554999999998	Q691	171
Philippines	12.879721	121.774017	Q928	172
Pakistan	30.375321000000003	69.345116	Q843	173
Poland	51.919438	19.145136	Q36	174
Saint Pierre and Miquelon	46.941936	-5.627111	Q34617	175
Pitcairn Islands	-24.703615	-127.439308	Q35672	176
Puerto Rico	18.220833	-66.590149	Q1183	177
Palestinian Territories	31.952162	35.233154	Q219060	178
Portugal	39.399872	-8.224454	Q45	179
Palau	7.51498	13.458251999999998	Q695	180
Paraguay	-23.442503	-58.44383199999999	Q733	181
Qatar	25.354826	51.183884	Q846	182
Réunion	-21.115141	55.536384	Q17070	183
Romania	45.943161	2.496676	Q218	184
Serbia	44.016521	21.005859	Q403	185
Russia	6.152401	105.318756	Q159	186
Rwanda	-1.940278	29.873888	Q1037	187
Saudi Arabia	23.885942	45.079162	Q851	188
Solomon Islands	-9.64571	160.156194	Q685	189
Seychelles	-4.679574	55.491977	Q1042	190
Sudan	12.862807	30.217636	Q1049	191
Sweden	60.128161	18.643501	Q34	192
Singapore	1.352083	103.819836	Q334	193
Saint Helena	-24.143474	-10.030696	Q192184	194
Slovenia	46.151241	14.995463	Q215	195
Svalbard and Jan Mayen	77.553604	23.670272	Q842829	196
Slovakia	48.669026	19.699024	Q214	197
Sierra Leone	8.460555000000001	-11.779889	Q1044	198
San Marino	4.394236	12.457777	Q238	199
Senegal	14.497401000000002	-14.452362	Q1041	200
Somalia	5.152149	46.199616	Q1045	201
Suriname	3.919305000000001	-56.02778299999999	Q730	202
São Tomé and Príncipe	0.18636	6.613081	Q1039	203
El Salvador	13.794185	-8.889653	Q792	204
Syria	34.802075	38.99681500000001	Q858	205
Swaziland	-26.522503000000004	31.465866	Q1050	206
Turks and Caicos Islands	21.694025	-71.797928	Q18221	207
Chad	15.454166	18.732207	Q657	208
French Southern Territories	-49.280366	69.348557	Q129003	209
Togo	8.619543	0.824782	Q945	210
Thailand	15.870032	100.992541	Q869	211
Tajikistan	38.861034	71.276093	Q863	212
Tokelau	-8.967363	-171.855881	Q36823	213
Timor-Leste	-8.874217	125.727539	Q574	214
Turkmenistan	38.969719	59.556278000000006	Q874	215
Tunisia	33.886917	9.537499	Q948	216
Tonga	-21.178986	-175.198242	Q678	217
Turkey	38.963745	35.243322	Q43	218
Trinidad and Tobago	10.691803	-61.222503	Q754	219
Tuvalu	-7.109535	17.764933	Q672	220
Taiwan	2.369781	120.960515	Q865	221
Tanzania	-6.369028	34.888822	Q924	222
Ukraine	48.379433	3.1165580000000004	Q212	223
Uganda	1.373333	32.290275	Q1036	224
United States	3.709024	-95.712891	Q30	225
Uruguay	-32.522779	-55.765835	Q77	226
Uzbekistan	41.377491	64.585262	Q265	227
Vatican City	41.902916	12.453389	Q237	228
Saint Vincent and the Grenadines	12.984305	-61.287228000000006	Q757	229
Venezuela	6.42375	-6.658973	Q717	230
British Virgin Islands	18.420695	-64.63996800000001	Q25305	231
U.S. Virgin Islands	18.335765	-64.896335	Q11703	232
Vietnam	14.058324	108.277199	Q881	233
Vanuatu	-15.376706	166.959158	Q686	234
Wallis and Futuna	-13.768752	-177.156097	Q35555	235
Samoa	-13.759029	-172.10462900000005	Q683	236
Kosovo	42.602636	20.902977	Q1246	237
Yemen	15.552727	48.516388	Q805	238
Mayotte	-12.8275	45.166244	Q17063	239
South Africa	-30.559482	22.937506	Q258	240
Zambia	-13.133897	27.849332	Q953	241
Zimbabwe	-19.015438	29.154857	Q954	242
