Country	meanannualexposure	ID	id_row
Kazakhstan	13.1	Q232	90
Kenya	28.6	Q114	91
Kiribati	10.5	Q710	92
Korea, Dem. People’s Rep.	31.8	Q423	93
Korea, Rep.	25.1	Q884	94
Kuwait	60.8	Q817	95
Kyrgyz Republic	23.2	Q813	96
Lao PDR	25.8	Q819	97
Latvia	13.4	Q211	98
Lebanon	30.2	Q822	99
Lesotho	28.3	Q1013	100
Liberia	17.9	Q1014	101
Libya	52.1	Q1016	102
Lithuania	11.8	Q37	103
Luxembourg	10.3	Q32	104
Madagascar	29.6	Q1019	105
Malawi	22.9	Q1020	106
Malaysia	23.1	Q833	107
Maldives	15.8	Q826	108
Mali	8.0	Q912	109
Malta	38.5	Q233	110
Marshall Islands	13.8	Q709	111
Mauritania	10.2	Q1025	112
Mauritius	46.7	Q1027	113
Mexico	14.3	Q96	114
Micronesia, Fed. Sts.	20.7	Q702	115
Moldova	11.1	Q217	116
Monaco	16.4	Q235	117
Montenegro	38.2	Q236	118
Morocco	20.9	Q1028	119
Mozambique	32.9	Q1029	120
Myanmar	21.5	Q836	121
Namibia	36.0	Q1030	122
Nepal	25.6	Q837	123
Netherlands	98.1	Q55	124
New Caledonia	12.0	Q33788	125
Nicaragua	6.0	Q811	126
Niger	17.7	Q1032	127
Nigeria	87.7	Q1033	128
North Macedonia	71.4	Q221	129
Northern Mariana Islands	9.9	Q16644	130
Norway	7.0	Q20	131
Oman	41.8	Q842	132
Pakistan	58.6	Q843	133
Panama	11.5	Q804	134
Papua New Guinea	12.6	Q691	135
Paraguay	11.6	Q733	136
Peru	25.5	Q419	137
Philippines	18.2	Q928	138
Poland	21.0	Q36	139
Portugal	8.1	Q45	140
Puerto Rico	8.3	Q1183	141
Qatar	88.2	Q846	142
Romania	14.5	Q218	143
Russian Federation	16.2	Q159	144
Rwanda	42.8	Q1037	145
Samoa	11.4	Q683	146
Sao Tome and Principe	28.7	Q1039	147
Saudi Arabia	84.5	Q851	148
Senegal	38.7	Q1041	149
Serbia	24.8	Q403	150
Seychelles	20.4	Q1042	151
Sierra Leone	21.3	Q1044	152
Singapore	18.8	Q334	153
Slovak Republic	17.4	Q214	154
Slovenia	15.9	Q215	155
Solomon Islands	11.8	Q685	156
Somalia	31.8	Q1045	157
South Africa	25.1	Q258	158
South Sudan	44.8	Q958	159
Spain	9.7	Q29	160
Sri Lanka	14.0	Q854	161
St. Lucia	22.4	Q760	162
St. Vincent and the Grenadines	22.1	Q757	163
Sudan	54.1	Q1049	164
Suriname	25.3	Q730	165
Sweden	6.1	Q34	166
Switzerland	10.3	Q39	167
Syrian Arab Republic	43.7	Q858	168
Tajikistan	43.4	Q863	169
Tanzania	28.4	Q924	170
Thailand	26.3	Q869	171
Timor-Leste	20.0	Q574	172
Togo	37.1	Q945	173
Tonga	11.0	Q678	174
Trinidad and Tobago	24.2	Q754	175
Tunisia	38.5	Q948	176
Turkey	44.5	Q43	177
Turkmenistan	21.7	Q874	178
Uganda	51.9	Q1036	179
Ukraine	20.6	Q212	180
United Arab Emirates	40.5	Q878	181
United Kingdom	10.5	Q145	182
United States	7.4	Q30	183
Uruguay	9.2	Q77	184
Uzbekistan	27.8	Q265	185
Vanuatu	11.6	Q686	186
Venezuela, RB	16.8	Q717	187
Vietnam	30.2	Q881	188
Virgin Islands (U.S.)	10.3	Q11703	189
West Bank and Gaza	32.7	Q407199	190
Yemen, Rep.	50.1	Q805	191
