Country	Score	ID	id_row
Seychelles	50.0	Q1042	198
Sierra Leone	50.0	Q1044	199
Singapore	50.0	Q334	200
Solomon Islands	50.0	Q685	201
Somalia	50.0	Q1045	202
South Africa	50.0	Q258	203
Sudan	50.0	Q1049	204
Syria	50.0	Q858	205
Tadjikistan	50.0	Q863	206
Tanzania	50.0	Q924	207
Togo	50.0	Q945	208
Turkmenistan	50.0	Q874	209
Tuvalu	50.0	Q672	210
Uzbekistan	50.0	Q265	211
Vanuatu	50.0	Q686	212
Wales	50.0	Q25	213
Yemen	50.0	Q805	214
Zambia	50.0	Q953	215
Zimbabwe	50.0	Q954	216
Ghana	43.0	Q117	217
