Country	Current	Public	Outofpocket	Percapita	PercapitaPPP	ID	id_row
Jordan	8.1	44.8	30.4	340.7	756.7	Q810	84
Kazakhstan	3.1	62.1	33.1	279.6	820.4	Q232	85
Kenya	4.8	42.7	24.0	76.6	158.2	Q114	86
Kiribati	10.8	75.8	0.1	171.4	234.9	Q710	87
Korea, Rep.	7.6	57.4	33.7	2283.1	2980.2	Q884	88
Kuwait	5.3	87.4	12.6	1529.1	3796.7	Q817	89
Kyrgyz Republic	6.2	38.0	56.4	78.8	241.2	Q813	90
Lao PDR	2.5	35.1	46.2	62.1	177.9	Q819	91
Latvia	6.0	57.1	42.0	930.4	1682.3	Q211	92
Lebanon	8.2	50.0	33.2	719.4	1185.3	Q822	93
Lesotho	8.8	62.9	16.6	104.6	265.5	Q1013	94
Liberia	8.2	17.2	45.5	56.6	104.7	Q1014	95
Lithuania	6.5	65.5	32.3	1078.2	2132.6	Q37	96
Luxembourg	5.5	84.9	10.7	5782.6	5956.5	Q32	97
Madagascar	5.5	46.9	24.7	24.7	85.5	Q1019	98
Malawi	9.6	30.6	10.6	32.3	114.8	Q1020	99
Malaysia	3.9	50.6	37.9	384.1	1139.0	Q833	100
Maldives	9.0	71.5	20.6	1006.9	1506.9	Q826	101
Mali	3.8	34.9	35.1	31.4	84.2	Q912	102
Malta	9.3	63.1	34.8	2585.6	3943.1	Q233	103
Marshall Islands	16.4	37.8	12.4	642.2	709.7	Q709	104
Mauritania	4.4	38.8	49.5	48.8	170.1	Q1025	105
Mauritius	5.7	42.9	48.9	599.7	1278.0	Q1027	106
Mexico	5.5	51.5	41.3	494.7	1035.6	Q96	107
Micronesia, Fed. Sts.	12.4	25.8	2.4	424.8	493.2	Q702	108
Moldova	7.0	50.6	43.6	191.2	476.7	Q217	109
Monaco	1.8	79.7	6.9	2932.4	2991.1	Q235	110
Mongolia	4.0	61.7	32.2	148.8	518.1	Q711	111
Morocco	5.2	42.9	53.9	161.0	438.1	Q1028	112
Mozambique	4.9	29.9	7.4	21.1	61.8	Q1029	113
Myanmar	4.7	14.8	76.2	58.0	287.6	Q836	114
Namibia	8.6	46.1	7.7	447.3	895.4	Q1030	115
Nepal	5.6	22.3	57.8	47.9	150.1	Q837	116
Netherlands	10.1	64.4	11.1	4911.4	5513.1	Q55	117
New Zealand	9.2	75.5	13.6	3937.2	3767.5	Q664	118
Nicaragua	8.6	58.1	32.6	192.1	506.2	Q811	119
Niger	7.7	33.4	47.8	29.3	78.9	Q1032	120
Nigeria	3.8	14.2	77.2	73.9	221.1	Q1033	121
North Macedonia	6.1	67.4	31.9	328.4	926.9	Q221	122
Norway	10.4	85.5	14.2	7936.4	6518.9	Q20	123
Oman	3.8	87.7	6.7	587.6	1590.8	Q842	124
Pakistan	2.9	31.6	60.2	44.6	160.6	Q843	125
Palau	12.0	50.6	15.5	1596.4	1777.8	Q695	126
Panama	7.3	59.9	33.3	1112.3	1794.8	Q804	127
Papua New Guinea	2.5	75.4	9.0	61.5	103.9	Q691	128
Paraguay	6.7	45.5	44.2	381.1	866.6	Q733	129
Peru	5.0	63.4	28.2	332.6	681.2	Q419	130
Philippines	4.4	31.9	53.0	132.9	371.7	Q928	131
Poland	6.5	69.0	23.0	906.8	1958.2	Q36	132
Portugal	9.0	66.3	27.5	1908.0	2917.4	Q45	133
Qatar	2.6	80.7	8.9	1649.2	3354.4	Q846	134
Romania	5.2	78.6	20.5	555.1	1367.8	Q218	135
Russian Federation	5.3	57.1	40.5	585.9	1404.2	Q159	136
Rwanda	6.6	34.3	6.2	49.2	134.4	Q1037	137
Samoa	5.5	74.5	11.9	233.1	364.0	Q683	138
San Marino	7.4	81.6	17.3	3361.6	4369.7	Q238	139
Sao Tome and Principe	6.2	45.6	13.8	119.7	209.2	Q1039	140
Saudi Arabia	5.2	64.1	16.9	1093.4	2826.3	Q851	141
Senegal	4.1	21.0	52.4	55.0	143.1	Q1041	142
Serbia	8.4	56.7	41.8	528.5	1382.2	Q403	143
Seychelles	5.0	73.0	24.6	791.7	1485.5	Q1042	144
Sierra Leone	13.4	13.7	50.4	66.4	205.4	Q1044	145
Singapore	4.4	48.2	32.1	2618.7	4270.0	Q334	146
