Country	billions	percapita	ID	id_row
Russian Federation	1651.6	11.26	Q159	144
Rwanda	10.4	820.0	Q1037	145
Samoa	0.8	4.18	Q683	146
Sao Tome and Principe	0.4	1.96	Q1039	147
Saudi Arabia	782.9	22.85	Q851	148
Senegal	23.6	1.45	Q1041	149
Serbia	48.8	7.02	Q403	150
Seychelles	1.6	16.87	Q1042	151
Sierra Leone	3.9	500.0	Q1044	152
Singapore	339.9	59.59	Q334	153
Slovak Republic	105.3	19.32	Q214	154
Slovenia	53.8	25.75	Q215	155
Solomon Islands	1.4	2.05	Q685	156
South Africa	353.5	6.04	Q258	157
Spain	1430.8	30.39	Q29	158
Sri Lanka	87.7	4.02	Q854	159
St. Kitts and Nevis	1.0	19.03	Q763	160
St. Lucia	2.0	11.02	Q760	161
St. Vincent and the Grenadines	0.8	7.46	Q757	162
Sudan	25.5	590.0	Q1049	163
Suriname	3.2	5.54	Q730	164
Sweden	574.3	55.84	Q34	165
Switzerland	733.1	85.5	Q39	166
Tajikistan	9.6	1.03	Q863	167
Tanzania	60.8	1.08	Q924	168
Thailand	505.2	7.26	Q869	169
Timor-Leste	2.4	1.89	Q574	170
Togo	5.6	690.0	Q945	171
Tonga	0.4	4.3	Q678	172
Trinidad and Tobago	23.6	16.89	Q754	173
Tunisia	39.3	3.36	Q948	174
Turkey	801.4	9.61	Q43	175
Turkmenistan	39.4	6.74	Q874	176
Turks and Caicos Islands	1.0	26.74	Q18221	177
Tuvalu	0.1	5.62	Q672	178
Uganda	34.4	780.0	Q1036	179
Ukraine	141.6	3.37	Q212	180
United Arab Emirates	424.8	43.47	Q878	181
United Kingdom	2831.8	42.37	Q145	182
United States	21584.4	65.76	Q30	183
Uruguay	56.2	16.23	Q77	184
Uzbekistan	60.4	1.8	Q265	185
Vanuatu	1.0	3.17	Q686	186
Vietnam	244.9	2.54	Q881	187
West Bank and Gaza	17.0	3.71	Q407199	188
Yemen, Rep.	26.7	940.0	Q805	189
Zambia	25.9	1.45	Q953	190
Zimbabwe	20.4	1.39	Q954	191
