Country	_2000	_2018	ID	id_row
Gambia, The	17.2	16.8	Q1005	61
Georgia	20.4	34.1	Q230	62
Germany	7.4	5.1	Q183	63
Ghana	16.4	8.4	Q117	64
Greece	38.2	43.9	Q41	65
Guam	30.6	13.9	Q16635	66
Guatemala	5.2	8.1	Q774	67
Guinea	4.7	4.3	Q1006	68
Guinea-Bissau	3.6	3.4	Q1007	69
Guyana	31.6	28.0	Q734	70
Haiti	23.1	38.2	Q790	71
Honduras	8.5	16.0	Q783	72
Hong Kong SAR, China	10.2	7.9	Q8646	73
Hungary	10.4	10.7	Q28	74
Iceland	3.8	5.5	Q189	75
India	16.9	24.3	Q668	76
Indonesia	19.3	16.4	Q252	77
Iran, Islamic Rep.	32.7	42.3	Q794	78
Iraq	19.2	62.8	Q796	79
Ireland	6.7	12.7	Q27	80
Israel	17.4	7.4	Q801	81
Italy	35.7	34.8	Q38	82
Jamaica	43.5	30.8	Q766	83
Japan	7.9	3.1	Q17	84
Jordan	46.6	55.7	Q810	85
Kazakhstan	25.2	3.9	Q232	86
Kenya	6.5	7.3	Q114	87
Korea, Dem. Peopleâ€™s Rep.	5.7	5.5	Q423	88
Korea, Rep.	8.6	10.1	Q884	89
Kuwait	8.3	28.4	Q817	90
Kyrgyz Republic	13.4	22.7	Q813	91
Lao PDR	3.7	1.6	Q819	92
Latvia	21.7	11.8	Q211	93
Lebanon	19.7	21.3	Q822	94
Lesotho	59.2	40.5	Q1013	95
Liberia	3.7	2.0	Q1014	96
Libya	61.5	68.9	Q1016	97
Lithuania	27.3	10.1	Q37	98
Luxembourg	7.3	11.8	Q32	99
Macao SAR, China	7.2	4.0	Q14773	100
Madagascar	7.0	2.8	Q1019	101
Malawi	8.5	8.0	Q1020	102
Malaysia	10.0	11.9	Q833	103
Maldives	5.1	11.3	Q826	104
Mali	8.3	17.0	Q912	105
Malta	10.5	6.9	Q233	106
Mauritania	15.3	16.5	Q1025	107
Mauritius	29.4	30.8	Q1027	108
Mexico	6.2	7.6	Q96	109
Moldova	15.4	7.2	Q217	110
Mongolia	9.7	21.2	Q711	111
Montenegro	64.0	23.6	Q236	112
Morocco	17.0	22.8	Q1028	113
Mozambique	3.9	6.7	Q1029	114
Myanmar	1.5	4.7	Q836	115
Namibia	42.8	38.5	Q1030	116
Nepal	2.0	1.7	Q837	117
Netherlands	5.9	6.7	Q55	118
New Caledonia	46.9	36.3	Q33788	119
New Zealand	12.4	10.8	Q664	120
Nicaragua	14.4	14.4	Q811	121
Niger	1.9	0.4	Q1032	122
Nigeria	8.7	18.1	Q1033	123
North Macedonia	61.1	43.2	Q221	124
Norway	11.2	8.6	Q20	125
Oman	15.0	33.5	Q842	126
Pakistan	0.7	6.8	Q843	127
Panama	10.6	15.4	Q804	128
Papua New Guinea	4.4	3.3	Q691	129
Paraguay	22.0	12.1	Q733	130
Peru	8.7	8.4	Q419	131
Philippines	12.0	8.1	Q928	132
Poland	37.1	12.0	Q36	133
Portugal	11.8	20.8	Q45	134
Puerto Rico	15.9	16.7	Q1183	135
Qatar	10.4	1.8	Q846	136
Romania	15.8	16.3	Q218	137
Russian Federation	22.2	18.0	Q159	138
Rwanda	0.9	2.1	Q1037	139
Samoa	14.2	22.3	Q683	140
Sao Tome and Principe	26.6	31.5	Q1039	141
Saudi Arabia	33.0	62.7	Q851	142
Senegal	11.8	8.7	Q1041	143
Serbia	30.0	31.8	Q403	144
Sierra Leone	3.5	5.6	Q1044	145
Singapore	9.7	12.3	Q334	146
Slovak Republic	33.3	16.1	Q214	147
Slovenia	18.4	9.5	Q215	148
Solomon Islands	3.5	1.4	Q685	149
Somalia	17.8	16.7	Q1045	150
South Africa	59.0	59.2	Q258	151
South Sudan	17.9	17.5	Q958	152
Spain	32.2	33.3	Q29	153
Sri Lanka	30.7	29.4	Q854	154
St. Lucia	38.0	51.9	Q760	155
St. Vincent and the Grenadines	41.3	43.9	Q757	156
Sudan	29.0	42.9	Q1049	157
Suriname	52.0	21.6	Q730	158
Sweden	7.9	15.5	Q34	159
Switzerland	4.1	7.4	Q39	160
Syrian Arab Republic	31.0	46.6	Q858	161
Tajikistan	25.9	20.3	Q863	162
Tanzania	5.3	4.3	Q924	163
Thailand	6.2	4.7	Q869	164
Timor-Leste	12.5	15.1	Q574	165
Togo	7.4	3.6	Q945	166
Tonga	13.6	6.7	Q678	167
Trinidad and Tobago	8.2	6.1	Q754	168
Tunisia	27.6	38.3	Q948	169
Turkey	11.9	24.6	Q43	170
Turkmenistan	18.5	5.6	Q874	171
Uganda	5.3	3.0	Q1036	172
Ukraine	20.7	19.4	Q212	173
United Arab Emirates	6.3	13.1	Q878	174
United Kingdom	10.3	10.2	Q145	175
United States	8.8	7.6	Q30	176
Uruguay	34.6	30.8	Q77	177
Uzbekistan	22.6	11.8	Q265	178
Vanuatu	9.1	9.0	Q686	179
Venezuela, RB	26.8	21.6	Q717	180
Vietnam	4.2	7.3	Q881	181
Virgin Islands (U.S.)	26.0	28.5	Q11703	182
West Bank and Gaza	16.7	69.1	Q407199	183
Yemen, Rep.	14.3	34.1	Q805	184
Zambia	20.3	22.4	Q953	185
Zimbabwe	9.3	9.4	Q954	186
