Country	Index	ID	id_row
Sweden	311.0	Q34	130
Anguilla	312.0	Q25228	131
Malaysia	312.0	Q833	132
Brunei	313.0	Q921	133
Iran	313.0	Q794	134
Cyprus	314.0	Q229	135
Lithuania	314.0	Q37	136
Czech Republic	315.0	Q213	137
Grenada	315.0	Q769	138
Malta	316.0	Q233	139
Indonesia	316.0	Q252	140
Macedonia	316.0	Q221	141
Ukraine	317.0	Q212	142
Ireland	318.0	Q27	143
Moldova	322.0	Q217	144
Bulgaria	323.0	Q219	145
Kuwait	323.0	Q817	146
Dominican Republic	324.0	Q786	147
South Africa	324.0	Q258	148
Taiwan	324.0	Q865	149
Bahrain	326.0	Q398	150
Luxembourg	327.0	Q32	151
Gibraltar	328.0	Q1410	152
Samoa	328.0	Q683	153
Tokelau	328.0	Q36823	154
Cuba	329.0	Q241	155
Albania	330.0	Q222	156
Sri Lanka	331.0	Q854	157
Monaco	332.0	Q235	158
Fiji	333.0	Q712	159
Puerto Rico	334.0	Q1183	160
Portugal	335.0	Q45	161
Romania	335.0	Q218	162
Nigeria	336.0	Q1033	163
Saint Vincent and the Grenadines	337.0	Q757	164
Guatemala	338.0	Q774	165
Palau	338.0	Q695	166
Bangladesh	340.0	Q902	167
Réunion	341.0	Q17070	168
Montserrat	342.0	Q13353	169
Cayman Islands	343.0	Q5785	170
Croatia	343.0	Q224	171
Haiti	343.0	Q790	172
Iraq	344.0	Q796	173
Denmark	345.0	Q35	174
Liechtenstein	346.0	Q347	175
El Salvador	348.0	Q792	176
Marshall Islands	348.0	Q709	177
Switzerland	348.0	Q39	178
Christmas Island	350.0	Q31063	179
Syria	350.0	Q858	180
Spain	352.0	Q29	181
Greece	353.0	Q41	182
Turkey	353.0	Q43	183
Azerbaijan	354.0	Q227	184
Costa Rica	354.0	Q800	185
Poland	354.0	Q36	186
Seychelles	355.0	Q1042	187
Germany	357.0	Q183	188
Vietnam	357.0	Q881	189
Mauritius	358.0	Q1027	190
Saint Kitts and Nevis	359.0	Q763	191
China	360.0	Q148	192
France	361.0	Q142	193
Slovenia	362.0	Q215	194
Hungary	363.0	Q28	195
North Korea	363.0	Q423	196
Martinique	364.0	Q17054	197
Tuvalu	367.0	Q672	198
Pakistan	368.0	Q843	199
Norfolk Island	368.0	Q31057	200
Austria	369.0	Q40	201
Bermuda	373.0	Q23635	202
South Korea	373.0	Q884	203
Brazil	373.0	Q155	204
United Kingdom	373.0	Q145	205
British Virgin Islands	377.0	Q25305	206
Northern Mariana Islands	378.0	Q16644	207
Israel	380.0	Q801	208
French Polynesia	381.0	Q30971	209
Jamaica	381.0	Q766	210
Trinidad and Tobago	381.0	Q754	211
Cook Islands	383.0	Q26988	212
Maldives	383.0	Q826	213
India	385.0	Q668	214
Italy	386.0	Q38	215
Belgium	387.0	Q31	216
Lebanon	387.0	Q822	217
Netherlands	388.0	Q55	218
Japan	389.0	Q17	219
Guam	390.0	Q16635	220
Micronesia	392.0	Q702	221
Tonga	392.0	Q678	222
Saint Lucia	393.0	Q760	223
Kiribati	395.0	Q710	224
United States Virgin Islands	396.0	Q11703	225
Philippines	402.0	Q928	226
Barbados	403.0	Q244	227
Macau	407.0	Q14773	228
Guadeloupe	412.0	Q3118683	229
Nauru	421.0	Q697	230
Singapore	428.0	Q334	231
American Samoa	436.0	Q16641	232
