Country	_2000	_2018	ID	id_row
Mongolia	6.2	6.8	Q711	111
Montenegro	26.3	15.2	Q236	112
Morocco	13.8	8.6	Q1028	113
Mozambique	4.0	3.0	Q1029	114
Myanmar	0.7	1.2	Q836	115
Namibia	19.1	21.1	Q1030	116
Nepal	2.0	1.6	Q837	117
Netherlands	2.2	3.7	Q55	118
New Caledonia	14.9	11.9	Q33788	119
New Zealand	6.3	4.1	Q664	120
Nicaragua	7.4	5.2	Q811	121
Niger	1.9	0.5	Q1032	122
Nigeria	3.9	7.5	Q1033	123
North Macedonia	30.5	21.3	Q221	124
Norway	3.6	4.0	Q20	125
Oman	4.7	1.5	Q842	126
Pakistan	0.7	4.0	Q843	127
Panama	3.0	3.2	Q804	128
Papua New Guinea	3.8	3.5	Q691	129
Paraguay	7.9	4.0	Q733	130
Peru	5.7	3.3	Q419	131
Philippines	3.5	2.1	Q928	132
Poland	14.6	3.8	Q36	133
Portugal	3.0	6.6	Q45	134
Puerto Rico	11.8	10.7	Q1183	135
Qatar	1.1	0.1	Q846	136
Romania	7.5	4.7	Q218	137
Russian Federation	10.8	4.9	Q159	138
Rwanda	1.0	1.0	Q1037	139
Samoa	4.1	7.5	Q683	140
Sao Tome and Principe	12.5	8.8	Q1039	141
Saudi Arabia	3.8	2.9	Q851	142
Senegal	4.5	6.2	Q1041	143
Serbia	10.8	12.0	Q403	144
Sierra Leone	4.5	5.2	Q1044	145
Singapore	3.9	3.8	Q334	146
Slovak Republic	19.4	6.1	Q214	147
Slovenia	6.8	4.6	Q215	148
Solomon Islands	2.4	0.6	Q685	149
Somalia	11.9	11.4	Q1045	150
South Africa	25.9	25.1	Q258	151
South Sudan	11.7	11.1	Q958	152
Spain	9.5	13.7	Q29	153
Sri Lanka	5.9	2.8	Q854	154
St. Lucia	12.9	19.1	Q760	155
St. Vincent and the Grenadines	22.2	20.4	Q757	156
Sudan	13.5	11.6	Q1049	157
Suriname	9.1	4.3	Q730	158
Sweden	5.9	6.4	Q34	159
Switzerland	2.3	4.4	Q39	160
Syrian Arab Republic	7.0	5.8	Q858	161
Tajikistan	15.6	11.8	Q863	162
Tanzania	3.0	1.5	Q924	163
Thailand	2.4	0.8	Q869	164
Timor-Leste	2.6	3.2	Q574	165
Togo	4.5	2.6	Q945	166
Tonga	2.6	0.5	Q678	167
Trinidad and Tobago	3.1	2.5	Q754	168
Tunisia	14.6	12.7	Q948	169
Turkey	6.6	9.5	Q43	170
Turkmenistan	13.6	5.0	Q874	171
Uganda	2.5	1.3	Q1036	172
Ukraine	12.1	10.0	Q212	173
United Arab Emirates	2.2	1.4	Q878	174
United Kingdom	6.1	4.0	Q145	175
United States	3.9	3.9	Q30	176
Uruguay	10.2	6.9	Q77	177
Uzbekistan	12.3	5.9	Q265	178
Vanuatu	4.2	4.0	Q686	179
Venezuela, RB	13.6	6.7	Q717	180
Vietnam	2.4	2.1	Q881	181
Virgin Islands (U.S.)	8.5	7.7	Q11703	182
West Bank and Gaza	11.1	22.4	Q407199	183
Yemen, Rep.	12.3	12.0	Q805	184
Zambia	14.3	10.6	Q953	185
Zimbabwe	6.5	4.6	Q954	186
