Country	Population2000	Population2016	Urban2016	Rural2016	ID	id_row
Gabon	73.6	90.8	96.1	49.9	Q1000	60
Gambia, The	34.3	56.0	74.2	28.9	Q1005	61
Georgia	99.9	100.0	100.0	100.0	Q230	62
Germany	100.0	100.0	100.0	100.0	Q183	63
Ghana	43.7	79.3	89.8	66.6	Q117	64
Greece	100.0	100.0	100.0	100.0	Q41	65
Greenland	100.0	100.0	100.0	100.0	Q223	66
Guam	100.0	100.0	100.0	100.0	Q16635	67
Guatemala	73.3	91.9	95.4	88.4	Q774	68
Guinea	15.5	33.5	82.2	6.7	Q1006	69
Guyana	74.5	89.7	95.9	87.5	Q734	70
Haiti	33.7	40.4	76.4	3.0	Q790	71
Honduras	67.4	91.6	99.1	82.1	Q783	72
Hungary	100.0	100.0	100.0	100.0	Q28	73
Iceland	100.0	100.0	100.0	100.0	Q189	74
India	59.1	89.7	98.3	85.4	Q668	75
Indonesia	86.3	97.6	99.8	95.1	Q252	76
Iran, Islamic Rep.	97.9	100.0	100.0	100.0	Q794	77
Ireland	100.0	100.0	100.0	100.0	Q27	78
Isle of Man	100.0	100.0	100.0	100.0	Q9676	79
Israel	100.0	100.0	100.0	100.0	Q801	80
Italy	100.0	100.0	100.0	100.0	Q38	81
Jamaica	84.4	97.0	99.5	93.9	Q766	82
Japan	100.0	100.0	100.0	100.0	Q17	83
Jordan	98.7	99.9	100.0	99.3	Q810	84
Kazakhstan	99.1	100.0	100.0	100.0	Q232	85
Kenya	15.4	65.4	77.6	61.1	Q114	86
Korea, Rep.	100.0	100.0	100.0	100.0	Q884	87
Kuwait	100.0	100.0	100.0	100.0	Q817	88
Kyrgyz Republic	99.8	99.9	100.0	99.9	Q813	89
Lao PDR	43.1	90.8	98.8	86.6	Q819	90
Latvia	100.0	100.0	100.0	100.0	Q211	91
Lesotho	4.3	35.3	66.4	23.6	Q1013	92
Liechtenstein	100.0	100.0	100.0	100.0	Q347	93
Lithuania	100.0	100.0	100.0	100.0	Q37	94
Luxembourg	100.0	100.0	100.0	100.0	Q32	95
Madagascar	13.6	22.9	67.3	0.0	Q1019	96
Malawi	4.8	11.0	42.0	4.9	Q1020	97
Maldives	83.8	100.0	100.0	99.9	Q826	98
Mali	9.4	41.2	83.1	12.4	Q912	99
Malta	100.0	100.0	100.0	100.0	Q233	100
Marshall Islands	68.6	93.4	95.0	88.5	Q709	101
Mauritania	22.2	41.5	78.3	1.6	Q1025	102
Mauritius	99.0	97.4	89.7	100.0	Q1027	103
Mexico	98.0	99.5	99.8	98.3	Q96	104
Micronesia, Fed. Sts.	46.0	78.0	91.1	74.2	Q702	105
Moldova	99.0	100.0	100.0	100.0	Q217	106
Monaco	100.0	100.0	100.0	100.0	Q235	107
Mongolia	67.3	91.1	98.8	74.4	Q711	108
Morocco	69.7	99.7	99.8	99.6	Q1028	109
Mozambique	6.0	27.7	69.4	5.3	Q1029	110
Myanmar	47.0	55.6	92.3	39.8	Q836	111
