Country	2019	2018	2017	2016	2015	2014	2013	2012	ID	id_row
Bosnia and Herzegovina	36.0	38.0	38.0	39.0	38.0	39.0	42.0	42.0	Q225	90
Panama	36.0	37.0	37.0	38.0	39.0	37.0	35.0	38.0	Q804	91
Kosovo	36.0	37.0	39.0	36.0	33.0	33.0	33.0	34.0	Q1246	92
Thailand	36.0	36.0	37.0	35.0	38.0	38.0	35.0	37.0	Q869	93
Peru	36.0	35.0	37.0	35.0	36.0	38.0	38.0	38.0	Q419	94
Egypt	35.0	35.0	32.0	34.0	36.0	37.0	32.0	32.0	Q79	95
Ivory Coast	35.0	35.0	36.0	34.0	32.0	32.0	27.0	29.0	Q1008	96
Mongolia	35.0	37.0	36.0	38.0	39.0	39.0	38.0	36.0	Q711	97
North Macedonia	35.0	37.0	35.0	37.0	42.0	45.0	44.0	43.0	Q221	98
Albania	35.0	36.0	38.0	39.0	36.0	33.0	31.0	33.0	Q222	99
Brazil	35.0	35.0	37.0	40.0	38.0	43.0	42.0	43.0	Q155	100
Algeria	35.0	35.0	33.0	34.0	36.0	36.0	36.0	34.0	Q262	101
Philippines	34.0	36.0	34.0	35.0	35.0	38.0	36.0	34.0	Q928	102
Zambia	34.0	35.0	37.0	38.0	38.0	38.0	38.0	37.0	Q953	103
El Salvador	34.0	35.0	33.0	36.0	39.0	39.0	38.0	38.0	Q792	104
Kazakhstan	34.0	31.0	31.0	29.0	28.0	29.0	26.0	28.0	Q232	105
Nepal	34.0	31.0	31.0	29.0	27.0	29.0	31.0	27.0	Q837	106
Sierra Leone	33.0	30.0	30.0	30.0	29.0	31.0	30.0	31.0	Q1044	107
Niger	32.0	34.0	33.0	35.0	34.0	35.0	34.0	33.0	Q1032	108
Pakistan	32.0	33.0	32.0	32.0	30.0	29.0	28.0	27.0	Q843	109
Moldova	32.0	33.0	31.0	30.0	33.0	35.0	35.0	36.0	Q217	110
Bolivia	31.0	29.0	33.0	33.0	34.0	35.0	34.0	34.0	Q750	111
Malawi	31.0	32.0	31.0	31.0	31.0	33.0	37.0	37.0	Q1020	112
Gabon	31.0	31.0	32.0	35.0	34.0	37.0	34.0	35.0	Q1000	113
Djibouti	30.0	31.0	31.0	30.0	34.0	34.0	36.0	36.0	Q977	114
Ukraine	30.0	32.0	30.0	29.0	27.0	26.0	25.0	26.0	Q212	115
Azerbaijan	30.0	25.0	31.0	30.0	29.0	29.0	28.0	27.0	Q227	116
Kyrgyzstan	30.0	29.0	29.0	28.0	28.0	27.0	24.0	24.0	Q813	117
Myanmar	29.0	29.0	30.0	28.0	22.0	21.0	21.0	15.0	Q836	118
Mexico	29.0	28.0	29.0	30.0	35.0	35.0	34.0	34.0	Q96	119
Mali	29.0	32.0	31.0	32.0	35.0	32.0	28.0	34.0	Q912	120
Togo	29.0	30.0	32.0	32.0	32.0	29.0	29.0	30.0	Q945	121
Guinea	29.0	28.0	27.0	27.0	25.0	25.0	24.0	24.0	Q1006	122
Laos	29.0	29.0	29.0	30.0	25.0	25.0	26.0	21.0	Q819	123
Liberia	28.0	32.0	31.0	37.0	37.0	37.0	38.0	41.0	Q1014	124
Dominican Republic	28.0	30.0	29.0	31.0	33.0	32.0	29.0	32.0	Q786	125
Paraguay	28.0	29.0	29.0	30.0	27.0	24.0	24.0	25.0	Q733	126
Russia	28.0	28.0	29.0	29.0	29.0	27.0	28.0	28.0	Q159	127
Lebanon	28.0	28.0	28.0	28.0	28.0	27.0	28.0	30.0	Q822	128
Papua New Guinea	28.0	28.0	29.0	28.0	25.0	25.0	25.0	25.0	Q691	129
Mauritania	28.0	27.0	28.0	27.0	31.0	30.0	30.0	31.0	Q1025	130
Uganda	28.0	26.0	26.0	25.0	25.0	26.0	26.0	29.0	Q1036	131
Kenya	28.0	27.0	28.0	26.0	25.0	25.0	27.0	27.0	Q114	132
Honduras	26.0	29.0	29.0	30.0	31.0	29.0	26.0	28.0	Q783	133
Iran	26.0	28.0	30.0	29.0	27.0	27.0	25.0	28.0	Q794	134
Guatemala	26.0	27.0	28.0	28.0	28.0	32.0	29.0	33.0	Q774	135
Nigeria	26.0	27.0	27.0	28.0	26.0	27.0	25.0	27.0	Q1033	136
Mozambique	26.0	23.0	25.0	27.0	31.0	31.0	30.0	31.0	Q1029	137
Bangladesh	26.0	26.0	28.0	26.0	25.0	25.0	27.0	26.0	Q902	138
Angola	26.0	19.0	19.0	18.0	15.0	19.0	23.0	22.0	Q916	139
Comoros	25.0	27.0	27.0	24.0	26.0	26.0	28.0	28.0	Q970	140
Uzbekistan	25.0	23.0	22.0	21.0	19.0	18.0	17.0	17.0	Q265	141
Tajikistan	25.0	25.0	21.0	25.0	26.0	23.0	22.0	22.0	Q863	142
Central African Republic	25.0	26.0	23.0	20.0	24.0	24.0	25.0	26.0	Q929	143
Cameroon	25.0	25.0	25.0	26.0	27.0	27.0	25.0	26.0	Q1009	144
Madagascar	24.0	25.0	24.0	26.0	28.0	28.0	28.0	32.0	Q1019	145
Zimbabwe	24.0	22.0	22.0	22.0	21.0	21.0	21.0	20.0	Q954	146
Eritrea	23.0	24.0	20.0	18.0	18.0	18.0	20.0	25.0	Q986	147
Nicaragua	22.0	25.0	26.0	26.0	27.0	28.0	28.0	29.0	Q811	148
Cambodia	20.0	20.0	21.0	21.0	21.0	21.0	20.0	22.0	Q424	149
Chad	20.0	19.0	20.0	20.0	22.0	22.0	19.0	19.0	Q657	150
Iraq	20.0	18.0	18.0	17.0	16.0	16.0	16.0	18.0	Q796	151
Turkmenistan	19.0	20.0	19.0	22.0	18.0	17.0	17.0	17.0	Q874	152
Republic of the Congo	19.0	19.0	21.0	20.0	23.0	23.0	22.0	26.0	Q971	153
Burundi	19.0	17.0	22.0	20.0	21.0	20.0	21.0	19.0	Q967	154
Haiti	18.0	20.0	22.0	20.0	17.0	19.0	19.0	19.0	Q790	155
DR Congo	18.0	19.0	21.0	21.0	22.0	22.0	22.0	21.0	Q974	156
Guinea-Bissau	18.0	28.0	27.0	16.0	17.0	19.0	19.0	25.0	Q1007	157
Libya	18.0	17.0	17.0	14.0	16.0	18.0	15.0	21.0	Q1016	158
North Korea	17.0	14.0	17.0	8.0	8.0	8.0	8.0	8.0	Q423	159
Venezuela	16.0	18.0	18.0	17.0	17.0	19.0	20.0	19.0	Q717	160
Afghanistan	16.0	16.0	15.0	15.0	11.0	12.0	8.0	8.0	Q889	161
Sudan	16.0	16.0	16.0	14.0	12.0	11.0	11.0	13.0	Q1049	162
Yemen	15.0	14.0	16.0	14.0	18.0	19.0	18.0	23.0	Q805	163
Syria	13.0	13.0	14.0	13.0	18.0	20.0	17.0	26.0	Q858	164
Somalia	9.0	10.0	9.0	10.0	8.0	8.0	8.0	8.0	Q1045	165
