Country	2019	2018	2017	2016	2015	2014	2013	2012
Bulgaria	43	42	43	41	41	43	41	41
Solomon Islands	42	44	39	42				
Bahrain	42	36	36	43	51	49	48	51
Armenia	42	35	35	33	35	37	36	34
Morocco	41	43	40	37	36	39	37	37
India	41	41	40	40	38	38	36	36
Ghana	41	41	40	43	47	48	46	45
Benin	41	40	39	36	37	39	36	36
China	41	39	41	40	37	36	40	39
Burkina Faso	40	41	42	42	38	38	38	38
Kuwait	40	41	39	41	49	44	43	44
Indonesia	40	38	37	37	36	34	32	32
Guyana	40	37	38	34	29	30	27	28
Lesotho	40	41	42	39	44	49	49	45
Trinidad and Tobago	40	41	41	35	39	38	38	39
Serbia	39	39	41	42	40	41	42	39
Turkey	39	41	40	41	42	45	50	49
East Timor	38	35	38	35	28	28	30	33
Sri Lanka	38	38	38	36	37	38	37	40
Ecuador	38	34	32	31	32	33	35	32
Vietnam	37	33	35	33	31	31	31	31
Colombia	37	36	37	37	37	37	36	36
Tanzania	37	36	36	32	30	31	33	35
Ethiopia	37	34	35	34	33	33	33	33
Gambia	37	37	30	26	28	29	28	34
Bosnia and Herzegovina	36	38	38	39	38	39	42	42
Panama	36	37	37	38	39	37	35	38
Kosovo	36	37	39	36	33	33	33	34
Thailand	36	36	37	35	38	38	35	37
Peru	36	35	37	35	36	38	38	38
Egypt	35	35	32	34	36	37	32	32
Ivory Coast	35	35	36	34	32	32	27	29
Mongolia	35	37	36	38	39	39	38	36
North Macedonia	35	37	35	37	42	45	44	43
Albania	35	36	38	39	36	33	31	33
Brazil	35	35	37	40	38	43	42	43
Algeria	35	35	33	34	36	36	36	34
Philippines	34	36	34	35	35	38	36	34
Zambia	34	35	37	38	38	38	38	37
El Salvador	34	35	33	36	39	39	38	38
Kazakhstan	34	31	31	29	28	29	26	28
Nepal	34	31	31	29	27	29	31	27
Sierra Leone	33	30	30	30	29	31	30	31
Niger	32	34	33	35	34	35	34	33
Pakistan	32	33	32	32	30	29	28	27
Moldova	32	33	31	30	33	35	35	36
Bolivia	31	29	33	33	34	35	34	34
Malawi	31	32	31	31	31	33	37	37
Gabon	31	31	32	35	34	37	34	35
Djibouti	30	31	31	30	34	34	36	36
Ukraine	30	32	30	29	27	26	25	26
Azerbaijan	30	25	31	30	29	29	28	27
Kyrgyzstan	30	29	29	28	28	27	24	24
Myanmar	29	29	30	28	22	21	21	15
Mexico	29	28	29	30	35	35	34	34
Mali	29	32	31	32	35	32	28	34
Maldives	29	31	33	36				
Togo	29	30	32	32	32	29	29	30
Guinea	29	28	27	27	25	25	24	24
Laos	29	29	29	30	25	25	26	21
Liberia	28	32	31	37	37	37	38	41
Dominican Republic	28	30	29	31	33	32	29	32
Paraguay	28	29	29	30	27	24	24	25
Russia	28	28	29	29	29	27	28	28
Lebanon	28	28	28	28	28	27	28	30
Papua New Guinea	28	28	29	28	25	25	25	25
Mauritania	28	27	28	27	31	30	30	31
Uganda	28	26	26	25	25	26	26	29
Kenya	28	27	28	26	25	25	27	27
Honduras	26	29	29	30	31	29	26	28
Iran	26	28	30	29	27	27	25	28
Guatemala	26	27	28	28	28	32	29	33
Nigeria	26	27	27	28	26	27	25	27
Mozambique	26	23	25	27	31	31	30	31
Bangladesh	26	26	28	26	25	25	27	26
Angola	26	19	19	18	15	19	23	22
Comoros	25	27	27	24	26	26	28	28
Uzbekistan	25	23	22	21	19	18	17	17
Tajikistan	25	25	21	25	26	23	22	22
Central African Republic	25	26	23	20	24	24	25	26
Cameroon	25	25	25	26	27	27	25	26
Madagascar	24	25	24	26	28	28	28	32
Zimbabwe	24	22	22	22	21	21	21	20
Eritrea	23	24	20	18	18	18	20	25
Nicaragua	22	25	26	26	27	28	28	29
Cambodia	20	20	21	21	21	21	20	22
Chad	20	19	20	20	22	22	19	19
Iraq	20	18	18	17	16	16	16	18
Turkmenistan	19	20	19	22	18	17	17	17
Republic of the Congo	19	19	21	20	23	23	22	26
Burundi	19	17	22	20	21	20	21	19
Haiti	18	20	22	20	17	19	19	19
DR Congo	18	19	21	21	22	22	22	21
Guinea-Bissau	18	28	27	16	17	19	19	25
Libya	18	17	17	14	16	18	15	21
North Korea	17	14	17	8	8	8	8	8
Venezuela	16	18	18	17	17	19	20	19
Afghanistan	16	16	15	15	11	12	8	8
Sudan	16	16	16	14	12	11	11	13
Yemen	15	14	16	14	18	19	18	23
Syria	13	13	14	13	18	20	17	26
South Sudan	12	13	12	11	15	15	14	
Somalia	9	10	9	10	8	8	8	8
