Country	Tons	Change %	From energy processes	Agricultural
Philippines	57170	37.6	10.5	62.7
Poland	65071	-39.5	63	23.6
Portugal	12976	31.5	12.7	33.8
Puerto Rico	2406	31.9	0	21.5
Qatar	41124	834.7	97.6	0.4
Romania	25708	-31.3	46.5	32.9
Russian Federation	545819	-12.7	79.5	8.2
Rwanda	2942	98.2	33.3	38.7
Samoa	133	16.2	5.1	70.5
San Marino	..	..	..	..
Sao Tome and Principe	46	60.6	40.1	12.6
Saudi Arabia	62903	104.5	85.5	3.4
Senegal	9928	76.4	16.5	65.6
Serbia	6589	-100	0	0
Seychelles	24	35.6	16	14
Sierra Leone	3352	15.2	24.2	57.3
Singapore	2386	143.3	59.2	1.4
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	4075	-36.8	23	33.5
Slovenia	2822	-7	38.9	36.5
Solomon Islands	1449	-29.2	1	96.8
Somalia	16206	24.1	16.6	77.9
South Africa	63156	18.3	47.1	30.3
South Sudan	..	..	..	..
Spain	37208	13.4	9.2	55.5
Sri Lanka	11864	3	5.1	67.1
St. Kitts and Nevis	30	16.4	1.2	34.3
St. Lucia	44	18.2	5.4	44.7
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	40	34.1	5.2	24.7
Sudan	96531	104.8	6.4	87.9
Suriname	709	-28.1	3.6	79.3
Eswatini	1377	21.4	11.7	57.3
Sweden	10304	-10.6	11	28.2
Switzerland	4900	-17	21.6	64.6
Syrian Arab Republic	12783	52.5	45.4	35
Tajikistan	5408	25.8	11.8	71.3
Tanzania	27994	4.1	22.2	60.2
Thailand	106499	25.3	22.2	62.4
Timor-Leste	732	115	1.2	86.4
Togo	5343	72.9	27.9	39
Tonga	61	8.7	1.5	70.7
Trinidad and Tobago	14789	386.9	86.6	0.5
Tunisia	7647	88.4	56	31.8
Turkey	78853	79.8	19.6	31.9
Turkmenistan	22009	-26.3	76.7	20.5
Turks and Caicos Islands	6	165.8	5.7	0
Tuvalu	3	25.6	0	35.2
Uganda	21161	72.8	22.3	65.5
Ukraine	68061	-44.4	69.6	15
United Arab Emirates	26120	92	92.9	2.5
United Kingdom	58980	-49.8	22.6	39.5
United States	499809	-21.6	40.1	36
Uruguay	19549	24.1	3	92.8
Uzbekistan	47333	43.7	59.2	32.8
Vanuatu	254	18.8	1.4	85.4
Venezuela, RB	58199	31.9	41.2	44.1
Vietnam	113564	87.8	34.7	54.2
Virgin Islands (U.S.)	47	39.5	0	7.2
West Bank and Gaza	..	..	..	..
Yemen, Rep.	8940	128.5	27.8	46.8
Zambia	6551	-77.5	40.3	38.3
Zimbabwe	8589	-16.3	12.2	69.8
World	8014067	20.2	36.9	44.4
East Asia & Pacific	2694982	46.9	39.7	43.6
Europe & Central Asia	1432390	-17.7	54	25.4
Latin America & Caribbean	991163	30.7	18.8	65.8
Middle East & North Africa	476559	93.7	72.2	15.2
North America	606687	-15.1	40.4	34.4
South Asia	951305	30	17.4	63.8
Sub-Saharan Africa	851188	33	20.5	56.8
Low income	566692	35.8	13.4	63.1
Lower middle income	1802276	24	26.4	55.7
Upper middle income	4035291	50	44.3	39.3
High income	1600017	-10.3	39.5	37.6
